No,Vulnerability,Category,Keywords,Description,Prevention,Code Good,Code Bad,Severity,OWASP,Docs URL
11,Session Security,Session,"session,cookie,secure,httponly,samesite",Insecure session configuration enables session hijacking and fixation attacks,Configure secure session settings in production,"// config/session.php production:\n'secure' => true,        // HTTPS only\n'http_only' => true,     // No JS access\n'same_site' => 'lax',   // CSRF protection\n'lifetime' => 120,       // 2 hours\n\n// .env:\nSESSION_DRIVER=redis\nSESSION_SECURE_COOKIE=true\n\n// Regenerate on auth:\nAuth::login($user);\n$request->session()->regenerate();","// DANGEROUS: Insecure session config\n'secure' => false,       // Available over HTTP\n'http_only' => false,    // JS can read session cookie\n'same_site' => null,     // No CSRF protection\n'lifetime' => 0,         // Never expires\n\n// Not regenerating session on login - session fixation risk",High,A07:2021,https://laravel.com/docs/session
12,Authorization Bypass,Authorization,"authorize,gate,policy,acl,bypass",Missing authorization checks allow users to access or modify resources they do not own,Always check authorization. Use policies and form requests authorize(),"// In controller with policy:\npublic function update(UpdatePostRequest $request, Post $post): JsonResponse {\n    $this->authorize('update', $post); // Checks PostPolicy\n    $post->update($request->validated());\n    return new PostResource($post);\n}\n\n// In Form Request:\npublic function authorize(): bool {\n    return $this->user()->can('update', $this->route('post'));\n}\n\n// In middleware:\nRoute::put('/posts/{post}', [PostController::class, 'update'])\n    ->can('update', 'post');","// DANGEROUS: No authorization\npublic function update(Request $request, Post $post): JsonResponse {\n    $post->update($request->all());\n    return response()->json($post);\n    // ANY authenticated user can update ANY post!\n}",Critical,A01:2021,https://laravel.com/docs/authorization
13,CORS Misconfiguration,Transport,"cors,origin,cross-origin,api,header",Overly permissive CORS settings allow any website to make requests to your API,Configure specific allowed origins methods and headers,"// config/cors.php\nreturn [\n    'paths' => ['api/*'],\n    'allowed_origins' => ['https://app.example.com'],\n    'allowed_methods' => ['GET', 'POST', 'PUT', 'DELETE'],\n    'allowed_headers' => ['Content-Type', 'Authorization', 'X-Requested-With'],\n    'exposed_headers' => [],\n    'max_age' => 3600,\n    'supports_credentials' => true,\n];","// DANGEROUS: Allow all origins\n'allowed_origins' => ['*'],\n'allowed_methods' => ['*'],\n'allowed_headers' => ['*'],\n// Any website can make authenticated requests to your API",High,A05:2021,https://laravel.com/docs/routing#cors
14,Debug Mode in Production,Information Disclosure,"debug,stack trace,env,production,app_debug",Debug mode reveals stack traces environment variables and database details to users,Set APP_DEBUG=false in production. Use custom error pages,"// .env production:\nAPP_ENV=production\nAPP_DEBUG=false\nLOG_LEVEL=error\n\n// Custom error pages:\n// resources/views/errors/500.blade.php\n// resources/views/errors/404.blade.php\n\n// Sentry for error tracking:\nSENTRY_DSN=https://xxx@sentry.io/project","// CATASTROPHIC in production:\nAPP_DEBUG=true\n// Reveals:\n// - Full stack traces with file paths\n// - Database credentials from .env\n// - Internal class names and methods\n// - SQL queries with bindings",Critical,A05:2021,https://laravel.com/docs/configuration
15,Insecure Deserialization,Injection,"unserialize,deserialization,object injection,phar",PHP unserialize() on untrusted data can lead to remote code execution,Never use unserialize() on user input. Use JSON for data interchange,"// SAFE: Use JSON\n$data = json_decode($request->input('data'), true);\n\n// SAFE: Validate and type-cast\n$config = json_decode(file_get_contents('config.json'), true);\nif (!is_array($config)) throw new InvalidArgumentException();\n\n// If unserialize is truly needed, restrict classes:\n$data = unserialize($string, ['allowed_classes' => [DateTime::class]]);","// DANGEROUS: Unserialize user input\n$data = unserialize($request->input('data'));\n// Attacker crafts serialized object triggering __destruct or __wakeup\n// Can lead to remote code execution\n\n// DANGEROUS: Unserialize from cookie\n$prefs = unserialize($_COOKIE['preferences']);",Critical,A08:2021,https://cheatsheetseries.owasp.org/cheatsheets/Deserialization_Cheat_Sheet.html
16,Path Traversal,File,"path traversal,directory traversal,file access,../ ",User input in file paths allows reading arbitrary files on the server,Validate file paths. Use basename(). Never use raw user input in file paths,"// SAFE: Strip directory components\n$filename = basename($request->input('file'));\n$path = storage_path('exports/' . $filename);\nif (!file_exists($path)) abort(404);\nreturn response()->download($path);\n\n// SAFE: Use Storage facade\n$content = Storage::disk('exports')->get($request->input('file'));\n// Storage restricts to configured disk root","// DANGEROUS: Direct user input in path\n$file = $request->input('file');\nreturn response()->file('/var/www/exports/' . $file);\n// Attacker sends: file=../../.env\n// Reads: /var/www/.env exposing database credentials",Critical,A01:2021,https://cheatsheetseries.owasp.org/cheatsheets/Path_Traversal_Prevention_Cheat_Sheet.html
17,API Key Security,Authentication,"api key,token,bearer,header,secret",API keys exposed in URLs or client-side code can be stolen and abused,Pass API keys in headers not URLs. Rotate keys regularly. Use scoped tokens,"// API key in header (safe):\n$request->header('X-API-Key');\n\n// Generate secure API keys:\n$key = Str::random(64);\n$hashedKey = hash('sha256', $key);\n// Store hash, give plaintext to user ONCE\n\n// Scoped tokens with Sanctum:\n$token = $user->createToken('api-key', ['orders:read', 'orders:create']);\n// Check abilities:\nif ($request->user()->tokenCan('orders:create')) { ... }","// DANGEROUS: API key in URL\nRoute::get('/api/data?key={key}', ...);\n// Key appears in:\n// - Browser history\n// - Server access logs\n// - Referer headers\n// - Proxy logs\n\n// DANGEROUS: Hardcoded in frontend JS\nconst API_KEY = 'secret_key_123';",High,A02:2021,https://laravel.com/docs/sanctum
18,Server-Side Request Forgery,Injection,"ssrf,internal,url,fetch,redirect",Application makes HTTP requests to attacker-controlled URLs accessing internal services,Validate and restrict URLs before making server-side HTTP requests,"function fetchUrl(string $url): string {\n    // Validate URL scheme\n    $parsed = parse_url($url);\n    if (!in_array($parsed['scheme'] ?? '', ['http', 'https'])) {\n        throw new InvalidArgumentException('Invalid URL scheme');\n    }\n    // Block internal IPs\n    $ip = gethostbyname($parsed['host']);\n    if (filter_var($ip, FILTER_VALIDATE_IP, FILTER_FLAG_NO_PRIV_RANGE | FILTER_FLAG_NO_RES_RANGE) === false) {\n        throw new SecurityException('Internal URLs are not allowed');\n    }\n    return Http::get($url)->body();\n}","// DANGEROUS: Fetch any URL from user input\npublic function preview(Request $request) {\n    $content = file_get_contents($request->input('url'));\n    // Attacker sends: url=http://169.254.169.254/latest/meta-data/\n    // Reads AWS metadata, gets IAM credentials\n    return $content;\n}",Critical,A10:2021,https://cheatsheetseries.owasp.org/cheatsheets/Server_Side_Request_Forgery_Prevention_Cheat_Sheet.html
19,Logging Sensitive Data,Information Disclosure,"log,sensitive,password,credit card,pii",Logging sensitive information exposes it in log files which may be less protected,Sanitize sensitive fields before logging. Use hidden attributes on models,"// Hide sensitive attributes:\nclass User extends Model {\n    protected $hidden = ['password', 'remember_token', 'ssn'];\n}\n\n// Sanitize log context:\nLog::info('User login', [\n    'email' => $request->email,\n    // Don't log password!\n]);\n\n// Mask sensitive data:\nfunction maskEmail(string $email): string {\n    [$name, $domain] = explode('@', $email);\n    return substr($name, 0, 2) . '***@' . $domain;\n}","// DANGEROUS: Logging everything\nLog::info('Login attempt', $request->all());\n// Logs: {email: 'user@x.com', password: 'secretpass'}\n\n// DANGEROUS: Logging full model\nLog::info('User created', $user->toArray());\n// May include: SSN, tokens, encrypted fields",High,A09:2021,https://laravel.com/docs/logging
20,Dependency Vulnerabilities,Supply Chain,"vulnerability,cve,audit,dependency,composer",Using packages with known security vulnerabilities puts your application at risk,Regularly audit dependencies. Keep packages updated. Use security advisories,"# Regular audit:\ncomposer audit\n\n# Update dependencies:\ncomposer update --with-all-dependencies\n\n# Use Roave security advisories:\ncomposer require --dev roave/security-advisories:dev-latest\n// This package prevents installing packages with known CVEs\n\n# GitHub Dependabot:\n// .github/dependabot.yml\nupdates:\n  - package-ecosystem: 'composer'\n    schedule:\n      interval: 'weekly'","# Never auditing:\ncomposer install\n# Running for years without updating\n# Using packages with known CVEs\n# No automated security scanning",High,A06:2021,https://packagist.org/advisories
