No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Package
11,Transaction Error Handling,"transaction,db,rollback,atomic",Wrap database operations in transactions and handle failures with proper rollback,Use DB::transaction() which auto-rolls back on exception. Clean up side effects manually if needed,Make multiple DB changes without transactions leaving data inconsistent on failure,"DB::transaction(function () use ($orderData, $items) {\n    $order = Order::create($orderData);\n    foreach ($items as $item) {\n        $order->items()->create($item);\n        Product::where('id', $item['product_id'])\n            ->decrement('stock', $item['quantity']);\n    }\n    event(new OrderPlaced($order));\n});\n// If any step fails, ALL changes are rolled back","$order = Order::create($orderData);\nforeach ($items as $item) {\n    $order->items()->create($item); // If this fails halfway...\n    Product::decrement('stock'); // ...stock is already decremented\n}\n// Inconsistent state: order items partially created",Critical,laravel/framework
12,Retry Logic,"retry,backoff,transient,resilient",Automatically retry operations that may fail due to transient issues like network timeouts,Use retry() helper or custom retry logic with exponential backoff for external service calls,Fail immediately on first transient error or retry forever without limits,"use Illuminate\\Support\\Facades\\Http;\n\n$response = Http::retry(3, 100, function (\\Exception $e, $request) {\n    return $e instanceof ConnectionException;\n})->post('https://api.example.com/webhook', $payload);\n\n// Or manual retry:\nfunction retryWithBackoff(callable $fn, int $maxAttempts = 3): mixed {\n    for ($attempt = 1; $attempt <= $maxAttempts; $attempt++) {\n        try {\n            return $fn();\n        } catch (TransientException $e) {\n            if ($attempt === $maxAttempts) throw $e;\n            usleep(100000 * pow(2, $attempt)); // exponential backoff\n        }\n    }\n}","try {\n    $response = Http::post($url, $data);\n} catch (\\Exception $e) {\n    // Fails on first network hiccup\n    throw $e;\n}",Medium,laravel/framework
13,Graceful Degradation,"fallback,degrade,circuit breaker,resilience",When external services fail provide a degraded but functional experience rather than a hard error,Implement fallbacks for non-critical services. Cache last known good values. Skip optional features on failure,"Crash the entire request because one non-critical service is down","class RecommendationService {\n    public function getForUser(User $user): Collection {\n        try {\n            return $this->mlService->recommend($user);\n        } catch (ServiceUnavailableException $e) {\n            Log::warning('Recommendation service down, falling back', ['user_id' => $user->id]);\n            return $this->getCachedRecommendations($user)\n                ?? $this->getPopularProducts();\n        }\n    }\n}","public function show(Product $product) {\n    $recommendations = $this->mlService->recommend($product); // If ML service is down...\n    $reviews = $this->reviewService->get($product);            // ...entire page crashes\n    return view('product', compact('product', 'recommendations', 'reviews'));\n}",Medium,laravel/framework
14,Abort Helpers,"abort,abort_if,abort_unless,http exception",Use Laravel abort helpers for quick HTTP exception responses in controllers,"Use abort() abort_if() abort_unless() for simple HTTP error responses in controllers",Write full response construction for simple error cases,"// Clean and readable:\nabort_if(!$user->ownsTeam($team), 403, 'You do not own this team');\nabort_unless($order->isPending(), 422, 'Order cannot be modified');\n\n// With custom response:\nabort_if($rateLimitExceeded, 429, 'Rate limit exceeded');","if (!$user->ownsTeam($team)) {\n    return response()->json(['error' => 'You do not own this team'], 403);\n}\n// Works but verbose for simple checks",Low,laravel/framework
15,Error Context Enrichment,"context,metadata,debug,trace",Add contextual information to exceptions as they propagate up the call stack,Catch rethrow with additional context using previous exception chaining or custom properties,Return bare exceptions with no context making debugging difficult,"class OrderService {\n    public function process(int $orderId): void {\n        try {\n            $order = $this->orders->findOrFail($orderId);\n            $this->paymentGateway->charge($order->total);\n        } catch (PaymentException $e) {\n            throw new OrderProcessingException(\n                message: \"Failed to process order #{$orderId}\",\n                previous: $e,\n                context: ['order_id' => $orderId, 'amount' => $order->total]\n            );\n        }\n    }\n}","public function process(int $orderId): void {\n    $order = Order::findOrFail($orderId);\n    $this->paymentGateway->charge($order->total);\n    // If payment fails, we get a generic PaymentException\n    // with no info about which order or amount\n}",High,laravel/framework
16,Reportable and Renderable Exceptions,"reportable,renderable,self-handling,exception",Create self-reporting and self-rendering exceptions that know how to log and display themselves,"Implement report() and render() methods on custom exceptions for self-contained error handling",Handle all exception rendering in a single giant Handler class,"class StaleModelException extends RuntimeException {\n    public function __construct(public readonly Model $model) {\n        parent::__construct('The model has been modified by another process');\n    }\n    public function report(): void {\n        Log::warning('Stale model detected', [\n            'model' => get_class($this->model),\n            'id' => $this->model->getKey(),\n        ]);\n    }\n    public function render(Request $request): JsonResponse {\n        return response()->json([\n            'error' => 'Data has been modified. Please refresh and try again.',\n        ], 409);\n    }\n}","// All rendering in Handler.php:\npublic function render($request, Throwable $e) {\n    if ($e instanceof StaleModelException) { ... }\n    if ($e instanceof PaymentException) { ... }\n    if ($e instanceof NotFound) { ... }\n    // grows into hundreds of lines\n}",Medium,laravel/framework
17,Production Error Pages,"error page,user friendly,custom,blade",Create user-friendly error pages for common HTTP status codes in production,Design custom error views for 404 403 419 429 500 503 that match your app design,Show default Laravel error pages or raw exception messages in production,"// resources/views/errors/404.blade.php\n@extends('layouts.error')\n@section('title', 'Page Not Found')\n@section('code', '404')\n@section('message', 'The page you are looking for could not be found.')\n\n// resources/views/errors/500.blade.php\n@extends('layouts.error')\n@section('title', 'Server Error')\n@section('code', '500')\n@section('message', 'Something went wrong. Our team has been notified.')\n\n// resources/views/errors/503.blade.php - maintenance mode\n@extends('layouts.error')\n@section('title', 'Maintenance')\n@section('message', 'We are performing scheduled maintenance. Be right back!')","// No custom error pages\n// Users see: 'Whoops, looks like something went wrong.'\n// Or worse: full stack trace with file paths and SQL queries",Medium,laravel/framework
18,Auth Error Masking,"auth,401,403,login,credential,leak",Return generic auth error messages to prevent user enumeration and credential guessing,Return identical error messages for wrong email AND wrong password. Log specific reason internally,Return different messages revealing whether email exists or which field is wrong,"public function login(LoginRequest $request): JsonResponse {\n    if (!Auth::attempt($request->validated())) {\n        // Same message for all auth failures\n        Log::info('Login failed', [\n            'email' => $request->email,\n            'reason' => User::where('email', $request->email)->exists() ? 'wrong_password' : 'unknown_email',\n            'ip' => $request->ip(),\n        ]);\n        throw ValidationException::withMessages([\n            'email' => ['The provided credentials are incorrect.'],\n        ]);\n    }\n    return ApiResponse::success(['token' => $request->user()->createToken('api')->plainTextToken]);\n}","if (!$user = User::where('email', $request->email)->first()) {\n    return response()->json(['error' => 'Email not found'], 404); // reveals email existence\n}\nif (!Hash::check($request->password, $user->password)) {\n    return response()->json(['error' => 'Wrong password'], 401); // confirms email exists\n}",Critical,laravel/framework
19,External Service Error Wrapping,"external,api,third party,wrap,service",Wrap third-party service exceptions into your domain exceptions to decouple layers,Catch vendor-specific exceptions at the adapter level and throw your own domain exceptions,Let GuzzleException or StripeException leak through your service layer,"class StripePaymentAdapter implements PaymentGateway {\n    public function charge(Money $amount, string $token): PaymentResult {\n        try {\n            $charge = \\Stripe\\Charge::create([...]);\n            return new PaymentResult(true, $charge->id);\n        } catch (\\Stripe\\Exception\\CardException $e) {\n            throw new CardDeclinedException($e->getMessage(), previous: $e);\n        } catch (\\Stripe\\Exception\\ApiErrorException $e) {\n            throw new PaymentGatewayException('Stripe API error', previous: $e);\n        }\n    }\n}","class OrderService {\n    public function checkout(): void {\n        // Stripe exception leaks into domain layer\n        $charge = \\Stripe\\Charge::create([...]);\n        // Controller now needs to catch \\Stripe\\Exception\\CardException\n        // Tight coupling to Stripe SDK\n    }\n}",High,stripe/stripe-php
20,Queue Job Error Handling,"queue,job,failed,retry,dead letter",Handle errors in queued jobs with retry limits backoff and failed job logging,"Set $tries, $backoff, and implement failed() method on jobs for proper error handling",Let jobs fail silently or retry forever without limits,"class ProcessPayment implements ShouldQueue {\n    public int $tries = 3;\n    public array $backoff = [10, 60, 300]; // seconds\n\n    public function handle(PaymentGateway $gateway): void {\n        $gateway->charge($this->order->total);\n        $this->order->markAsPaid();\n    }\n\n    public function failed(Throwable $e): void {\n        Log::error('Payment job failed permanently', [\n            'order_id' => $this->order->id,\n            'error' => $e->getMessage(),\n        ]);\n        $this->order->markAsFailed();\n        Notification::send($this->order->user, new PaymentFailedNotification($this->order));\n    }\n}","class ProcessPayment implements ShouldQueue {\n    // No $tries limit - retries forever\n    // No failed() method - no notification on final failure\n    public function handle(): void {\n        $this->paymentGateway->charge($this->order->total);\n    }\n}",High,laravel/framework
