No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
11,Facade Pattern,Structural,"facade,static proxy,simple api,laravel facade",Provides a static-like interface to classes registered in the service container,"For convenient access to services; when you want clean readable code in blades/views","In service classes where DI is preferred; when it hides too many dependencies","// Using Laravel Facade\nuse Illuminate\\Support\\Facades\\Cache;\n\nCache::put('key', 'value', 3600);\n$value = Cache::get('key');\n\n// Behind the scenes this resolves from container:\n// app('cache')->put('key', 'value', 3600);","Accessing global variables or static methods without any abstraction layer",Low,None,laravel/framework,https://laravel.com/docs/facades
12,Action Pattern,Behavioral,"action,single responsibility,invokable,command",Single-purpose invokable classes that encapsulate one specific business operation,"When a service method grows complex; for discrete business operations that can be tested independently","When logic is trivial enough for a controller method","class CreateInvoiceAction {\n    public function __construct(\n        private InvoiceRepository $invoices,\n        private TaxCalculator $taxCalculator\n    ) {}\n\n    public function __invoke(CreateInvoiceDTO $dto): Invoice {\n        $tax = $this->taxCalculator->calculate($dto->amount, $dto->country);\n        $invoice = Invoice::create([\n            'amount' => $dto->amount,\n            'tax' => $tax,\n            'total' => $dto->amount + $tax,\n            'user_id' => $dto->userId,\n        ]);\n        return $invoice;\n    }\n}","Bloated service classes with dozens of methods and responsibilities",Low,None,lorisleiva/laravel-actions,https://laravelactions.com
13,Specification Pattern,Behavioral,"specification,filter,criteria,query scope,reusable",Encapsulates business rules as reusable specification objects that can be combined,"For complex filtering where rules are reused across the app; for combining conditions with AND/OR","Simple one-off where clauses; when Eloquent scopes cover the need","interface Specification {\n    public function isSatisfiedBy(mixed $candidate): bool;\n    public function toQuery(Builder $query): Builder;\n}\n\nclass ActiveUserSpec implements Specification {\n    public function isSatisfiedBy(mixed $candidate): bool {\n        return $candidate->is_active && $candidate->email_verified_at !== null;\n    }\n    public function toQuery(Builder $query): Builder {\n        return $query->where('is_active', true)->whereNotNull('email_verified_at');\n    }\n}","Duplicating the same where clauses across multiple controllers and services",Medium,None,happyr/doctrine-specification,https://refactoring.guru/design-patterns/specification
14,Pipeline Pattern,Behavioral,"pipeline,stages,chain,processing,transform",Passes data through a series of processing stages where each stage transforms the result,"For multi-step data processing; for request validation chains; for ETL-like operations","When processing is a single simple step","use Illuminate\\Pipeline\\Pipeline;\n\n$result = app(Pipeline::class)\n    ->send($order)\n    ->through([\n        ValidateInventory::class,\n        CalculateShipping::class,\n        ApplyDiscount::class,\n        ChargePayment::class,\n    ])\n    ->thenReturn();","Deeply nested function calls or sequential if/else blocks for multi-step processing",Medium,Low,illuminate/pipeline,https://laravel.com/docs/helpers#pipeline
15,Adapter Pattern,Structural,"adapter,wrapper,convert,interface compatibility,integration",Converts one interface to another to make incompatible types work together,"When integrating third-party SDKs; when wrapping legacy code with your interface","When types already satisfy the required interface","interface FileStorageInterface {\n    public function store(string $path, string $contents): string;\n    public function get(string $path): ?string;\n    public function delete(string $path): bool;\n}\n\nclass S3Adapter implements FileStorageInterface {\n    public function __construct(private S3Client $client, private string $bucket) {}\n    public function store(string $path, string $contents): string {\n        $this->client->putObject(['Bucket' => $this->bucket, 'Key' => $path, 'Body' => $contents]);\n        return $path;\n    }\n    public function get(string $path): ?string {\n        try {\n            $result = $this->client->getObject(['Bucket' => $this->bucket, 'Key' => $path]);\n            return $result['Body']->getContents();\n        } catch (S3Exception $e) { return null; }\n    }\n    public function delete(string $path): bool {\n        $this->client->deleteObject(['Bucket' => $this->bucket, 'Key' => $path]);\n        return true;\n    }\n}","Calling third-party SDK methods directly throughout your codebase",Medium,None,"aws/aws-sdk-php,league/flysystem",https://refactoring.guru/design-patterns/adapter/php
16,Value Object,Domain-Driven,"value object,immutable,domain,equality",Immutable objects that represent domain concepts and are compared by value not identity,"For domain concepts like Money, Email, Address; when validation at creation ensures correctness","When a primitive type is clear enough; for entities that need identity","final readonly class Email {\n    public function __construct(public string $value) {\n        if (!filter_var($value, FILTER_VALIDATE_EMAIL)) {\n            throw new InvalidArgumentException(\"Invalid email: {$value}\");\n        }\n    }\n    public function equals(self $other): bool {\n        return $this->value === $other->value;\n    }\n    public function domain(): string {\n        return substr($this->value, strpos($this->value, '@') + 1);\n    }\n    public function __toString(): string {\n        return $this->value;\n    }\n}","Using raw strings for email/money/phone throughout the app without validation",Low,None,spatie/laravel-data,https://php.net/readonly
17,Form Request Validation,Behavioral,"validation,form request,authorize,rules,laravel",Laravel Form Requests encapsulate validation and authorization logic per request type,"Always for Laravel projects — separates validation from controllers; for complex validation rules","For simple one-field validations in API endpoints","class StoreArticleRequest extends FormRequest {\n    public function authorize(): bool {\n        return $this->user()->can('create', Article::class);\n    }\n    public function rules(): array {\n        return [\n            'title' => ['required', 'string', 'max:255'],\n            'body' => ['required', 'string', 'min:10'],\n            'tags' => ['array', 'max:5'],\n            'tags.*' => ['string', 'exists:tags,slug'],\n            'published_at' => ['nullable', 'date', 'after:now'],\n        ];\n    }\n    public function messages(): array {\n        return [\n            'title.required' => 'Every article needs a title.',\n            'tags.max' => 'You can add up to 5 tags.',\n        ];\n    }\n}","Validating manually in the controller with if/else: if (empty($request->title)) { return error; }",Low,None,laravel/framework,https://laravel.com/docs/validation
18,Presenter/Resource Pattern,Structural,"presenter,resource,transform,api response,json",Transforms models into API-friendly JSON responses with controlled field exposure,"For API responses where model structure differs from desired output; for hiding internal fields","When the model structure exactly matches the desired output","class UserResource extends JsonResource {\n    public function toArray(Request $request): array {\n        return [\n            'id' => $this->id,\n            'name' => $this->name,\n            'email' => $this->email,\n            'avatar_url' => $this->avatar ? asset('storage/' . $this->avatar) : null,\n            'role' => $this->role->name,\n            'joined' => $this->created_at->toISOString(),\n            'posts_count' => $this->whenCounted('posts'),\n            'links' => [\n                'self' => route('users.show', $this),\n                'posts' => route('users.posts.index', $this),\n            ],\n        ];\n    }\n}\n// return UserResource::collection($users);","Returning $user->toArray() or $user->toJson() directly exposing all database columns",Low,None,laravel/framework,https://laravel.com/docs/eloquent-resources
19,Policy Pattern,Authorization,"policy,authorization,gate,permission,acl",Centralizes authorization logic per model into policy classes,"When authorization rules are model-specific; for role-based access control","For simple boolean checks not tied to a model","class PostPolicy {\n    public function update(User $user, Post $post): bool {\n        return $user->id === $post->user_id || $user->isAdmin();\n    }\n    public function delete(User $user, Post $post): bool {\n        return $user->id === $post->user_id || $user->hasRole('moderator');\n    }\n    public function publish(User $user, Post $post): bool {\n        return $user->hasPermissionTo('publish posts') && $post->status === 'draft';\n    }\n}\n\n// In controller:\n$this->authorize('update', $post);","Checking permissions inline in every controller: if ($user->id !== $post->user_id) { abort(403); }",Low,None,"laravel/framework,spatie/laravel-permission",https://laravel.com/docs/authorization
20,Enum Pattern,Domain-Driven,"enum,status,type,backed enum,cases,php 8.1",PHP 8.1+ backed enums for type-safe status/type values with built-in validation,"For status fields (order status, user role); for any fixed set of values","When values are truly dynamic and come from a database table","enum OrderStatus: string {\n    case Pending = 'pending';\n    case Processing = 'processing';\n    case Shipped = 'shipped';\n    case Delivered = 'delivered';\n    case Cancelled = 'cancelled';\n\n    public function label(): string {\n        return match($this) {\n            self::Pending => 'Pending',\n            self::Processing => 'Processing',\n            self::Shipped => 'Shipped',\n            self::Delivered => 'Delivered',\n            self::Cancelled => 'Cancelled',\n        };\n    }\n    public function canTransitionTo(self $new): bool {\n        return match($this) {\n            self::Pending => in_array($new, [self::Processing, self::Cancelled]),\n            self::Processing => in_array($new, [self::Shipped, self::Cancelled]),\n            self::Shipped => $new === self::Delivered,\n            default => false,\n        };\n    }\n}","Using string constants or plain strings: const STATUS_PENDING = 'pending'; without type safety",Low,None,laravel/framework,https://php.net/enumerations
21,Scope Pattern,Behavioral,"scope,query scope,eloquent,reusable query,filter",Eloquent local and global scopes encapsulate reusable query constraints,"For frequently used query filters; for status-based filtering; for multi-tenant queries","When a query is used only once in the entire codebase","class Post extends Model {\n    public function scopePublished(Builder $query): Builder {\n        return $query->where('status', 'published')->whereNotNull('published_at');\n    }\n    public function scopeByAuthor(Builder $query, int $userId): Builder {\n        return $query->where('user_id', $userId);\n    }\n    public function scopeRecent(Builder $query, int $days = 7): Builder {\n        return $query->where('created_at', '>=', now()->subDays($days));\n    }\n}\n// Post::published()->recent()->byAuthor($userId)->paginate();","Repeating ->where('status', 'published')->whereNotNull('published_at') in every query",Low,None,laravel/framework,https://laravel.com/docs/eloquent#local-scopes
22,Command Bus Pattern,Behavioral,"command,bus,handler,cqrs,dispatch",Separates command (what to do) from handler (how to do it) for clear intent and testability,"For CQRS; when actions need to be queued/async; for complex business operations","Simple CRUD that doesn't need command/handler separation","class CreateOrderCommand {\n    public function __construct(\n        public readonly int $userId,\n        public readonly array $items,\n        public readonly string $shippingAddress\n    ) {}\n}\n\nclass CreateOrderHandler {\n    public function __construct(\n        private OrderRepository $orders,\n        private InventoryService $inventory\n    ) {}\n\n    public function handle(CreateOrderCommand $command): Order {\n        $this->inventory->reserve($command->items);\n        return $this->orders->create([\n            'user_id' => $command->userId,\n            'items' => $command->items,\n            'shipping_address' => $command->shippingAddress,\n        ]);\n    }\n}","Putting all creation logic directly in the controller with no separation of concern",Medium,None,"illuminate/bus,tactician",https://laravel.com/docs/bus
23,Trait Composition,Structural,"trait,composition,reuse,mixin,horizontal",PHP traits for composing reusable behavior across unrelated classes,"For shared behavior that doesn't fit inheritance (HasUuid, Sluggable, SoftDeletes)","When inheritance is more appropriate; when a trait does too much (God trait)","trait HasUuid {\n    protected static function bootHasUuid(): void {\n        static::creating(function (Model $model) {\n            if (empty($model->{$model->getKeyName()})) {\n                $model->{$model->getKeyName()} = Str::uuid()->toString();\n            }\n        });\n    }\n    public function getIncrementing(): bool { return false; }\n    public function getKeyType(): string { return 'string'; }\n}\n\nclass Order extends Model {\n    use HasUuid, SoftDeletes;\n}","Duplicating UUID generation logic in every model's boot method",Low,None,laravel/framework,https://php.net/language.oop5.traits
24,Null Object Pattern,Behavioral,"null object,default,avoid null check,missing",Provides a default no-op implementation instead of returning null to avoid null checks,"When null checks proliferate through the code; for optional dependencies","When null has meaningful semantics that should be handled differently","interface DiscountInterface {\n    public function calculate(float $amount): float;\n}\n\nclass NoDiscount implements DiscountInterface {\n    public function calculate(float $amount): float {\n        return 0.0;\n    }\n}\n\nclass PercentageDiscount implements DiscountInterface {\n    public function __construct(private float $percent) {}\n    public function calculate(float $amount): float {\n        return $amount * ($this->percent / 100);\n    }\n}\n// No null checks needed:\n$discount = $user->discount ?? new NoDiscount();\n$total = $subtotal - $discount->calculate($subtotal);","if ($discount !== null) { $total -= $discount->calculate($subtotal); } else { $total = $subtotal; }",Low,None,laravel/framework,https://refactoring.guru/design-patterns/null-object
25,Container Binding,Creational,"container,binding,service provider,dependency injection,ioc",Registering implementations in the service container for automatic dependency injection,"For swapping implementations; for configuring complex object graphs; for testing with mocks","When a class has no interface and no complex construction","// In AppServiceProvider\npublic function register(): void {\n    $this->app->bind(PaymentGateway::class, function ($app) {\n        return match($app['config']['payments.default']) {\n            'stripe' => new StripeGateway($app['config']['services.stripe.key']),\n            'paypal' => new PayPalGateway($app['config']['services.paypal.client_id']),\n            default => throw new RuntimeException('Unknown payment gateway'),\n        };\n    });\n\n    $this->app->singleton(SearchEngine::class, MeilisearchEngine::class);\n}","Using new StripeGateway() everywhere instead of resolving from container",Low,None,laravel/framework,https://laravel.com/docs/container
26,Aggregate Root,Domain-Driven,"aggregate,root,ddd,consistency,boundary",An entity that serves as the entry point for a cluster of domain objects maintaining consistency,"For complex domains with invariants; when multiple entities must change together","Simple CRUD; when business rules are minimal","class Order extends AggregateRoot {\n    private Collection $items;\n    private OrderStatus $status;\n\n    public function addItem(Product $product, int $quantity): void {\n        if ($this->status !== OrderStatus::Draft) {\n            throw new DomainException('Cannot modify a non-draft order');\n        }\n        $this->items->push(new OrderItem($product, $quantity));\n        $this->recordEvent(new ItemAddedToOrder($this->id, $product->id, $quantity));\n    }\n\n    public function place(): void {\n        if ($this->items->isEmpty()) {\n            throw new DomainException('Cannot place an empty order');\n        }\n        $this->status = OrderStatus::Placed;\n        $this->recordEvent(new OrderPlaced($this->id));\n    }\n}","Modifying order items directly from outside the Order without going through the aggregate",High,None,spatie/laravel-event-sourcing,https://www.domainlanguage.com
27,RBAC Pattern,Authorization,"rbac,roles,permissions,middleware,auth,admin,access control,authorization",Define roles with hierarchy and check permissions in middleware. Use spatie/laravel-permission or similar,"When you need fine-grained access control; for admin panels; for multi-tenant apps","For simple binary auth; for public APIs without user roles","// With spatie/laravel-permission\nclass RoleMiddleware {\n    public function handle(Request $request, Closure $next, string $role): Response {\n        if (!$request->user()->hasRole($role)) {\n            abort(403, 'Insufficient permissions');\n        }\n        return $next($request);\n    }\n}\n\n// Route definition\nRoute::middleware(['auth', 'role:admin'])->group(function () {\n    Route::resource('users', AdminUserController::class);\n});\n\n// Policy based\nif ($user->can('publish posts')) { ... }","Checking role strings in every controller: if ($user->role !== 'admin') { abort(403); }",Medium,Low,"spatie/laravel-permission,laravel/framework",https://spatie.be/docs/laravel-permission
28,Model Observer,Behavioral,"observer,model events,lifecycle,hook,eloquent",Listens to Eloquent model lifecycle events (creating, updating, deleting) for side effects,"For audit logging; for cache invalidation on model changes; for sending notifications on state change","When the side effect is a one-time thing; when event dispatch is more appropriate","class UserObserver {\n    public function created(User $user): void {\n        AuditLog::create([\n            'action' => 'user_created',\n            'model_type' => User::class,\n            'model_id' => $user->id,\n            'data' => $user->toArray(),\n        ]);\n        Cache::tags('users')->flush();\n    }\n    public function updated(User $user): void {\n        if ($user->isDirty('email')) {\n            $user->sendEmailVerificationNotification();\n        }\n    }\n}","Adding audit/cache/notification logic in every save() call across the app",Low,None,laravel/framework,https://laravel.com/docs/eloquent#observers
29,Queued Job Pattern,Behavioral,"job,queue,async,background,dispatch",Dispatches time-consuming tasks to a background queue for async processing,"For sending emails; for processing uploads; for any I/O-heavy task that shouldn't block the response","For instant lightweight operations; when the user needs an immediate result","class ProcessImageUpload implements ShouldQueue {\n    use Dispatchable, InteractsWithQueue, Queueable, SerializesModels;\n\n    public function __construct(private Image $image) {}\n\n    public function handle(ImageProcessor $processor): void {\n        $processor->resize($this->image, 800, 600);\n        $processor->generateThumbnail($this->image, 200, 200);\n        $this->image->update(['processed' => true]);\n    }\n\n    public function failed(Throwable $e): void {\n        Log::error('Image processing failed', ['image_id' => $this->image->id, 'error' => $e->getMessage()]);\n    }\n}\n// ProcessImageUpload::dispatch($image);","Processing images synchronously in the controller making the user wait 10+ seconds",Medium,Low,laravel/framework,https://laravel.com/docs/queues
30,Composite Pattern,Structural,"composite,tree,hierarchical,recursive,menu",Treats individual objects and compositions of objects uniformly through a tree structure,"For menu systems; for permission hierarchies; for category trees","When a flat structure suffices; when recursion adds complexity without benefit","interface MenuComponent {\n    public function render(): string;\n}\n\nclass MenuItem implements MenuComponent {\n    public function __construct(private string $label, private string $url) {}\n    public function render(): string {\n        return \"<a href='{$this->url}'>{$this->label}</a>\";\n    }\n}\n\nclass SubMenu implements MenuComponent {\n    private array $children = [];\n    public function __construct(private string $label) {}\n    public function add(MenuComponent $item): void { $this->children[] = $item; }\n    public function render(): string {\n        $html = \"<li>{$this->label}<ul>\";\n        foreach ($this->children as $child) { $html .= '<li>' . $child->render() . '</li>'; }\n        return $html . '</ul></li>';\n    }\n}","Building nested menus with deeply nested arrays and manual recursive rendering logic",Medium,None,laravel/framework,https://refactoring.guru/design-patterns/composite/php
