No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
11,Readonly Properties,Immutability,"readonly,immutable,construct,php 8.1",Mark properties as readonly to prevent modification after initialization,Use readonly for DTOs value objects and any property that should not change after construction,Leave properties mutable when they should never change,"final readonly class UserDTO {\n    public function __construct(\n        public int $id,\n        public string $name,\n        public string $email,\n        public ?string $avatar = null,\n    ) {}\n}\n\n$dto = new UserDTO(id: 1, name: 'John', email: 'john@example.com');\n// $dto->name = 'Jane'; // Error! Cannot modify readonly property","class UserDTO {\n    public int $id;\n    public string $name;\n    public string $email;\n    public function __construct(int $id, string $name, string $email) {\n        $this->id = $id;\n        $this->name = $name;\n        $this->email = $email;\n    }\n}\n$dto->name = 'Hacked'; // No protection",https://php.net/language.oop5.properties#language.oop5.properties.readonly-properties
12,Spread Operator,Syntax,"spread,unpack,variadic,array merge,splat",Use the spread operator (...) for array unpacking variadic parameters and function forwarding,"Use ... for combining arrays, forwarding arguments, and variadic params",Use array_merge() for simple array combining or func_get_args(),"// Array spreading:\n$defaults = ['timeout' => 30, 'retry' => 3];\n$custom = ['timeout' => 60];\n$config = [...$defaults, ...$custom]; // custom overrides defaults\n\n// Variadic parameters:\nfunction log(string $level, string ...$messages): void {\n    foreach ($messages as $msg) {\n        echo \"[$level] $msg\\n\";\n    }\n}\n\n// Function forwarding:\nfunction createWithDefaults(string $name, mixed ...$args): Model {\n    return Model::create(['name' => $name, ...$args]);\n}","$config = array_merge($defaults, $custom);\n\nfunction log() {\n    $args = func_get_args();\n    $level = array_shift($args);\n    foreach ($args as $msg) { ... }\n}",https://php.net/language.types.array#language.types.array.unpacking
13,Null Safe Operator,Safety,"null safe,?->,optional chaining,null,php 8",Use ?-> to safely access methods and properties on potentially null objects,Use ?-> for optional property/method access chains,"Check for null at every step of a chain","$country = $user?->address?->city?->country?->name ?? 'Unknown';\n\n$avatar = $user?->profile?->getAvatarUrl() ?? '/default-avatar.png';\n\n// Safe method call:\n$user?->sendNotification($message);","if ($user !== null) {\n    if ($user->address !== null) {\n        if ($user->address->city !== null) {\n            if ($user->address->city->country !== null) {\n                $country = $user->address->city->country->name;\n            }\n        }\n    }\n}\n$country = $country ?? 'Unknown';",https://php.net/language.oop5.basic#language.oop5.basic.nullsafe
14,Property Hooks (PHP 8.4),Modern PHP,"property hooks,getter,setter,computed,php 8.4",PHP 8.4 property hooks allow defining get/set behavior directly on properties,Use property hooks for computed properties and validation,"Create separate getter/setter methods for simple property access (pre-8.4)","class Temperature {\n    public float $celsius {\n        set(float $value) {\n            if ($value < -273.15) {\n                throw new ValueError('Below absolute zero');\n            }\n            $this->celsius = $value;\n        }\n    }\n    public float $fahrenheit {\n        get => $this->celsius * 9 / 5 + 32;\n        set(float $value) => $this->celsius = ($value - 32) * 5 / 9;\n    }\n}\n$t = new Temperature();\n$t->celsius = 100;\necho $t->fahrenheit; // 212","// Pre-8.4 verbose getter/setter:\nclass Temperature {\n    private float $celsius;\n    public function getCelsius(): float { return $this->celsius; }\n    public function setCelsius(float $v): void {\n        if ($v < -273.15) throw new ValueError();\n        $this->celsius = $v;\n    }\n    public function getFahrenheit(): float { return $this->celsius * 9/5 + 32; }\n}",https://wiki.php.net/rfc/property-hooks
15,Fibers for Async,Concurrency,"fiber,async,cooperative,coroutine,php 8.1",PHP 8.1 Fibers enable cooperative multitasking within PHP. Used internally by frameworks,Use Fibers through framework abstractions (ReactPHP AMPHP RevoltPHP). Avoid creating raw Fibers,"Use raw Fibers directly when a framework provides a cleaner abstraction","// Framework-level async (ReactPHP):\nuse React\\Promise\\Promise;\n\nfunction fetchAsync(string $url): PromiseInterface {\n    $client = new React\\Http\\Browser();\n    return $client->get($url)->then(\n        function (ResponseInterface $response) {\n            return json_decode($response->getBody(), true);\n        }\n    );\n}\n\n// Revolt event loop:\nuse Revolt\\EventLoop;\nEventLoop::delay(1.0, function () {\n    echo 'Executed after 1 second';\n});","// Raw Fiber (usually too low-level):\n$fiber = new Fiber(function (): void {\n    $value = Fiber::suspend('hello');\n    echo 'Resumed with: ' . $value;\n});\n$result = $fiber->start();\n$fiber->resume('world');\n// Complex manual management",https://php.net/language.fibers
16,String Interpolation Best Practices,Syntax,"string,interpolation,heredoc,template,format",Use appropriate string syntax for the complexity level,Use double quotes for simple vars. Heredoc for multi-line. sprintf for formatted output,Concatenate everything with dots or use sprintf for simple cases,"// Simple variable:\n$greeting = \"Hello, {$user->name}!\";\n\n// Heredoc for multi-line:\n$html = <<<HTML\n<div class='card'>\n    <h2>{$product->name}</h2>\n    <p>Price: \${$product->price}</p>\n</div>\nHTML;\n\n// sprintf for complex formatting:\n$message = sprintf(\n    'Order #%d: %d items totaling $%.2f',\n    $order->id,\n    $order->items->count(),\n    $order->total\n);","$greeting = 'Hello, ' . $user->name . '!';\n\n$html = '<div class=\"card\"><h2>' . $product->name . '</h2><p>Price: $' . $product->price . '</p></div>';",https://php.net/language.types.string
17,Immutable Date Operations,Best Practice,"carbon,datetime,immutable,timezone,date",Use CarbonImmutable or DateTimeImmutable for date operations to prevent accidental mutations,Use immutable date objects. Chain operations without modifying the original,Use mutable DateTime or Carbon which modifies the original object,"use Carbon\\CarbonImmutable;\n\n// In AppServiceProvider:\nDate::use(CarbonImmutable::class);\n\n$startDate = CarbonImmutable::now();\n$endDate = $startDate->addDays(30); // Returns NEW instance\n// $startDate is still today!\n\n$formattedDate = $startDate\n    ->startOfMonth()\n    ->addWeek()\n    ->format('Y-m-d');","use Carbon\\Carbon;\n\n$startDate = Carbon::now();\n$endDate = $startDate->addDays(30); // MUTATES $startDate!\n// $startDate is now 30 days later too!\n// Bug: both variables point to same modified date",https://carbon.nesbot.com/docs/
18,Configuration via Environment,Configuration,"env,config,environment,dotenv,secret",Store configuration in environment variables. Access via config() helper not env() directly,Use env() only in config files. Access config via config() helper elsewhere,"Call env() directly in application code","// config/services.php:\nreturn [\n    'stripe' => [\n        'key' => env('STRIPE_KEY'),\n        'secret' => env('STRIPE_SECRET'),\n    ],\n];\n\n// In application code:\n$stripeKey = config('services.stripe.key');\n\n// With default:\n$timeout = config('app.timeout', 30);","// BAD: env() in application code\nclass PaymentService {\n    public function __construct() {\n        $this->key = env('STRIPE_KEY');\n        // Returns null when config is cached!\n    }\n}",https://laravel.com/docs/configuration
19,Dependency Injection Over Facades,Best Practice,"dependency injection,constructor,facade,testable,explicit",Prefer constructor injection over Facades for explicit dependencies and better testability,Inject dependencies via constructor. Use DI in services and controllers,"Use Facades everywhere hiding true dependencies","class OrderService {\n    public function __construct(\n        private readonly OrderRepository $orders,\n        private readonly PaymentGateway $payments,\n        private readonly LoggerInterface $logger\n    ) {}\n    // Dependencies are explicit and testable\n}\n\n// Test:\n$service = new OrderService(\n    $mockRepo,\n    $mockGateway,\n    new NullLogger()\n);","class OrderService {\n    public function create(array $data): Order {\n        $order = Order::create($data);       // Facade\n        Cache::forget('orders');              // Facade\n        Log::info('Order created');           // Facade\n        Mail::send(new OrderMail($order));    // Facade\n        // Hidden dependencies, hard to test\n    }\n}",https://laravel.com/docs/container
20,Type-Safe Configuration Objects,Type Safety,"config,typed,object,validated,settings",Convert raw config arrays into typed configuration objects for IDE support and validation,Create typed config classes. Validate on construction,Access raw config arrays throughout the codebase,"final readonly class DatabaseConfig {\n    public function __construct(\n        public string $driver,\n        public string $host,\n        public int $port,\n        public string $database,\n        public string $username,\n        public string $password,\n    ) {}\n\n    public static function fromConfig(): self {\n        return new self(\n            driver: config('database.default'),\n            host: config('database.connections.mysql.host'),\n            port: (int) config('database.connections.mysql.port'),\n            database: config('database.connections.mysql.database'),\n            username: config('database.connections.mysql.username'),\n            password: config('database.connections.mysql.password'),\n        );\n    }\n}","$host = config('database.connections.mysql.host');\n$port = config('database.connections.mysql.port');\n// No type safety, IDE can't autocomplete\n// Typos in config keys only discovered at runtime",https://php.net/language.oop5.properties#language.oop5.properties.readonly-properties
