No,Anti-Pattern,Category,Keywords,What People Do Wrong,Why Its Bad,Better Approach,Code Bad,Code Good,Severity,Detection
11,Over-Using Facades,Testing,"facade,static,hidden dependency,hard to test",Use Facades everywhere hiding true class dependencies and making testing harder,"Invisible dependency graph. Tests need Facade mocking. Hard to tell what a class actually needs",Use constructor injection. Reserve Facades for Blade templates and simple scripts,"class OrderService {\n    public function process(): void {\n        $user = Auth::user();          // Hidden dep\n        Cache::forget('orders');        // Hidden dep\n        Log::info('Processing');        // Hidden dep\n        Mail::send(new OrderMail());    // Hidden dep\n        Event::dispatch(new OrderProcessed()); // Hidden dep\n    }\n    // 5 hidden dependencies!\n}","class OrderService {\n    public function __construct(\n        private CacheManager $cache,\n        private LoggerInterface $logger,\n        private Mailer $mailer,\n        private Dispatcher $events\n    ) {}\n    // All 4 dependencies visible and injectable\n}",Medium,Count Facade usage in service classes; PHPStan
12,Ignoring Mass Assignment Protection,Security,"mass assignment,guarded,fillable,create,update",Leave $guarded empty or use $request->all() with unprotected models,Users can modify any database column by adding fields to the request,"Define $fillable whitelist on every model. Use $request->validated() not $request->all()","class User extends Model {\n    protected $guarded = []; // Everything is fillable!\n}\n\n// Controller:\nUser::create($request->all());\n// Attacker sends: {name: 'Hacker', is_admin: true, role: 'superadmin'}","class User extends Model {\n    protected $fillable = ['name', 'email', 'password'];\n    // is_admin and role are protected\n}\n\n// Controller:\nUser::create($request->validated());\n// Only validated fields accepted",Critical,PHPStan; check for $guarded = []
13,Not Using Eager Loading Constraints,Performance,"eager loading,constraint,over-fetching,relationship",Eager load entire relationships without constraints fetching far more data than needed,"Loads unnecessary data consuming memory and bandwidth. Joins all columns of related models",Use constrained eager loading to load only what you need,"// Over-fetching:\n$users = User::with('posts')->get();\n// Loads ALL posts for each user\n\n$orders = Order::with('items.product')->get();\n// Loads all products even if only need name and price","// Constrained eager loading:\n$users = User::with(['posts' => function ($query) {\n    $query->select('id', 'user_id', 'title')\n        ->where('published', true)\n        ->latest()\n        ->limit(5);\n}])->get();\n\n// Only specific fields:\n$orders = Order::with('items:id,order_id,product_id,quantity', 'items.product:id,name,price')->get();",Medium,Laravel Debugbar query count; check memory usage
14,String-Based Routing,Maintenance,"route,string,action,name,typo",Reference routes and controller methods as strings which break silently on rename,"Route references break silently. No IDE navigation. Renaming a method won't update references",Use route names or controller::class syntax,"// Fragile string references:\nRoute::get('/users', 'UserController@index');\nreturn redirect('/users/' . $user->id);\n\n// In Blade:\n<a href='/users/{{ $user->id }}'>Profile</a>","// Type-safe with ::class:\nRoute::get('/users', [UserController::class, 'index'])->name('users.index');\nreturn redirect()->route('users.show', $user);\n\n// In Blade:\n<a href='{{ route('users.show', $user) }}'>Profile</a>",Medium,Search for string-based route definitions
15,No Error Monitoring,Operations,"error,monitoring,sentry,logging,production",Rely only on log files for error tracking in production,"Errors go unnoticed. No alerting. No error grouping or trends. Hard to reproduce issues",Use Sentry Bugsnag or similar for real-time error tracking with context,"// No monitoring:\n// Errors silently logged to storage/logs/laravel.log\n// Nobody checks the log\n// Users report bugs days later\n// No stack trace context","// Sentry integration:\ncomposer require sentry/sentry-laravel\n\n// .env:\nSENTRY_LARAVEL_DSN=https://xxx@sentry.io/project\n\n// config/sentry.php auto-configured\n// Now get:\n// - Real-time alerts\n// - Error grouping\n// - User context\n// - Release tracking",High,Check for Sentry/Bugsnag in composer.json
16,Storing Passwords Incorrectly,Security,"password,md5,sha1,plaintext,hash",Store passwords as plaintext or use weak hashing like MD5/SHA1,"Database breach exposes all passwords. MD5/SHA1 can be reversed with rainbow tables",Always use bcrypt or Argon2id via Hash::make(),"// CATASTROPHIC:\n$user->password = $request->password;\n\n// BAD:\n$user->password = md5($request->password);\n$user->password = sha1($request->password);\n$user->password = base64_encode($request->password);","$user->password = Hash::make($request->password);\n\n// Verify:\nif (Hash::check($input, $user->password)) { ... }\n\n// Auto-rehash:\nif (Hash::needsRehash($user->password)) {\n    $user->update(['password' => Hash::make($input)]);\n}",Critical,Search for md5( sha1( in password context
17,Debug Mode in Production,Security,"debug,app_debug,whoops,stack trace,env",Leave APP_DEBUG=true in production exposing detailed error info including credentials,Set APP_DEBUG=false in production. Use custom error pages. Use Sentry for error tracking,"// .env production:\nAPP_DEBUG=true\n// Exposes:\n// - Full stack traces\n// - .env contents (database passwords!)\n// - File paths\n// - SQL queries","// .env production:\nAPP_ENV=production\nAPP_DEBUG=false\nLOG_LEVEL=error\n\n// Custom error pages:\n// resources/views/errors/500.blade.php\n// resources/views/errors/404.blade.php",Critical,Check .env on production; automated deployment checks
18,Synchronous External Calls,Performance,"synchronous,blocking,http,api call,slow",Make HTTP calls to external APIs synchronously in the request cycle making users wait,"User waits for slow external API responses. Timeouts cascade. App performance depends on third parties",Queue external calls. Use async HTTP. Cache responses,"public function store(Request $request) {\n    $order = Order::create($request->validated());\n    Http::post('https://slow-api.com/webhook', $order->toArray()); // 2-5 seconds!\n    Http::post('https://analytics.com/track', ['event' => 'order']); // Another 1-2 seconds!\n    Mail::to($user)->send(new OrderMail($order)); // SMTP: 1-3 seconds!\n    return response()->json($order);\n    // Total: 4-10 seconds response time!\n}","public function store(Request $request) {\n    $order = Order::create($request->validated());\n    ProcessOrderWebhook::dispatch($order); // Queued\n    TrackEvent::dispatch('order', $order); // Queued\n    $order->user->notify(new OrderConfirmation($order)); // Queued\n    return response()->json($order);\n    // Total: ~50ms response time\n}",High,Check controller methods for Http:: and Mail:: calls
19,Returning Eloquent Models from API,Architecture,"eloquent,api,response,expose,columns",Return Eloquent models directly from API endpoints exposing all database columns,Use API Resources (JsonResource) to control exactly what fields are exposed,"class UserController {\n    public function show(User $user) {\n        return response()->json($user);\n        // Exposes: password hash, remember_token, \n        // internal IDs, soft delete timestamps, etc.\n    }\n    public function index() {\n        return response()->json(User::all());\n        // All columns, all users, no pagination\n    }\n}","class UserController {\n    public function show(User $user) {\n        return new UserResource($user);\n        // Only exposes: id, name, email, avatar\n    }\n    public function index() {\n        return UserResource::collection(\n            User::select('id','name','email','avatar')->paginate()\n        );\n    }\n}",High,Check for response()->json($model) without Resource
20,Circular Dependencies,Architecture,"circular,dependency,loop,import,coupled",Two or more classes depend on each other creating tight coupling that is impossible to test or modify,Service A depends on Service B which depends on Service A,"Extract shared logic into a third class. Use events or interfaces to break the cycle","class OrderService {\n    public function __construct(private UserService $users) {}\n    public function getOrdersForUser(int $userId): Collection {\n        $user = $this->users->find($userId);\n        return $user->orders;\n    }\n}\nclass UserService {\n    public function __construct(private OrderService $orders) {} // Circular!\n    public function getUserOrderCount(int $userId): int {\n        return $this->orders->getOrdersForUser($userId)->count();\n    }\n}","// Break with events or separate query:\nclass OrderService {\n    public function getOrdersForUser(int $userId): Collection {\n        return Order::where('user_id', $userId)->get();\n    }\n}\nclass UserService {\n    public function getUserOrderCount(int $userId): int {\n        return Order::where('user_id', $userId)->count();\n    }\n}\n// Or use an event: event(new OrderQueried($userId));",High,PHPStan circular dependency detection; container error on boot
