No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
11,Database,Select Only Needed Columns,"select,columns,memory,bandwidth,pluck",SELECT * fetches all columns including BLOBs and large text fields wasting memory and bandwidth,"Use select() to fetch only needed columns. Use pluck() for single column values","Always use get() or all() which fetches every column,"// Only fetch what you need:\n$users = User::select('id', 'name', 'email')->where('active', true)->get();\n\n// Just need IDs?\n$userIds = User::where('active', true)->pluck('id');\n\n// Just need a count?\n$count = User::where('active', true)->count();","// Fetches ALL columns including avatar_blob, bio_text, etc.\n$users = User::where('active', true)->get();\n// Only using $user->name in view, but loaded everything",Medium,"Compare query execution time and memory usage"
12,Database,Raw Queries for Complex Operations,"raw,bulk,batch,insert,update",Using Eloquent for bulk operations is dramatically slower than raw queries,Use insert() for bulk inserts. Use DB::statement() for bulk updates. Use upsert() for upsert,"Loop through records calling save() or create() individually for bulk operations","// Bulk insert - single query:\nUser::insert($arrayOfUsers); // 1 query for 1000 rows\n\n// Bulk upsert:\nProduct::upsert(\n    $products,\n    ['sku'],           // unique key\n    ['price', 'stock'] // columns to update\n);\n\n// Bulk update:\nDB::table('users')\n    ->where('last_login', '<', now()->subYear())\n    ->update(['status' => 'inactive']);","foreach ($records as $record) {\n    User::create($record); // 1000 queries for 1000 rows!\n}\n// 100x slower than bulk insert",Critical,"Benchmark: 1000 individual creates vs insert()"
13,Autoloading,Composer Autoload Optimization,"autoload,classmap,dump-autoload,optimize",Composer PSR-4 autoloading scans directories at runtime. Classmap is faster for production,"Run composer dump-autoload --optimize (-o) in production to generate classmap","Use default PSR-4 autoloading in production without optimization","# Production deployment:\ncomposer install --no-dev --optimize-autoloader\n# Or:\ncomposer dump-autoload --optimize --classmap-authoritative\n\n# In composer.json:\n\"config\": {\n    \"optimize-autoloader\": true,\n    \"classmap-authoritative\": true\n}","# Development autoloading in production:\ncomposer install\n# PSR-4 hits filesystem on every class resolution",Medium,"Compare autoloader overhead with and without optimization"
14,Eloquent,Excessive Model Booting,"boot,observe,events,model,overhead",Model boot methods and observers fire on every model instantiation adding overhead,"Limit model boot operations. Disable events for bulk operations. Use withoutEvents for imports","Register expensive operations in model boot that run on every single model creation/load","// Disable events for bulk operations:\nUser::withoutEvents(function () {\n    User::insert($bulkData);\n});\n\n// Or disable globally during import:\nModel::unguard();\nUser::flushEventListeners();\n// ... bulk import\nModel::reguard();","// boot() runs on EVERY model instance:\nprotected static function boot() {\n    parent::boot();\n    static::creating(function ($model) {\n        $model->slug = Str::slug($model->name); // Fine\n        Cache::flush(); // TERRIBLE - on every create!\n        Http::post('webhook.url', $model->toArray()); // HTTP call on boot!\n    });\n}",Medium,"Profile model instantiation time with Debugbar"
15,Views,View Rendering Performance,"view,blade,cache,compile,partial",Unoptimized Blade views with many includes and unscoped partials slow down rendering,"Cache compiled views. Minimize nested includes. Use fragments and lazy loading components","Include dozens of nested partials in every view re-rendering everything,"// Cache views in production:\nphp artisan view:cache\n\n// Use lazy components for expensive sections:\n<x-lazy :component=\"'dashboard.stats'\" />\n\n// Use @once for assets:\n@once\n    @push('scripts')\n        <script src='/chart.js'></script>\n    @endpush\n@endonce","// Deeply nested includes:\n@include('partials.header')\n    @include('partials.nav')\n        @foreach($items as $item)\n            @include('partials.item', ['item' => $item])\n                @include('partials.item-meta')\n                @include('partials.item-actions')\n// Each @include is a separate file read in dev",Medium,"Measure view render time with Debugbar Timing tab"
16,Session,Session Storage,"session,database,redis,file,lock",File-based sessions don't scale with multiple servers and cause locking issues,"Use Redis or database for sessions in production. Configure session lifetime appropriately","Use file session driver in production with multiple app servers","// .env production:\nSESSION_DRIVER=redis\nSESSION_LIFETIME=120\nSESSION_SECURE_COOKIE=true\n\n// config/session.php\n'driver' => env('SESSION_DRIVER', 'redis'),\n'connection' => 'session', // dedicated Redis connection","SESSION_DRIVER=file\n// Problems:\n// - File locking blocks concurrent requests\n// - Not shared across multiple servers\n// - Disk I/O bottleneck under load",High,"Monitor session read/write times; check for session lock contention"
17,PHP-FPM,PHP-FPM Tuning,"fpm,workers,process,pool,pm",Default PHP-FPM settings are for development. Production needs tuned worker counts,"Calculate workers based on available RAM. Use pm=static for predictable load","Use default dynamic PM settings with too few workers for production load","[www]\npm = static\npm.max_children = 50\npm.max_requests = 500\nrequest_terminate_timeout = 60s\n\n; Formula: max_children = (Total RAM - System RAM) / Avg PHP Process RAM\n; Example: (8GB - 2GB) / 40MB = ~150 workers\n\n; Monitor:\npm.status_path = /fpm-status","[www]\npm = dynamic\npm.max_children = 5\npm.start_servers = 2\npm.min_spare_servers = 1\npm.max_spare_servers = 3\n; Default dev settings, can't handle 50+ concurrent requests",High,"Monitor with pm.status_path; check for max_children reached"
18,Queue,Queue Performance,"queue,batch,chain,horizon,throughput",Processing queue jobs one at a time limits throughput for parallelizable work,"Use Laravel Horizon for Redis queues. Batch independent jobs. Chain dependent jobs","Run single queue worker expecting it to handle high throughput","// Batch processing:\nBus::batch([\n    new ProcessPodcast($podcast1),\n    new ProcessPodcast($podcast2),\n    new ProcessPodcast($podcast3),\n])->then(function (Batch $batch) {\n    Log::info('All podcasts processed');\n})->dispatch();\n\n// Horizon config for throughput:\n'production' => [\n    'supervisor-1' => [\n        'connection' => 'redis',\n        'queue' => ['high', 'default', 'low'],\n        'processes' => 10,\n        'tries' => 3,\n    ],\n];","# Single worker:\nphp artisan queue:work\n# Processes one job at a time\n# No monitoring, no auto-restart",Medium,"Use Horizon dashboard; monitor jobs/second and wait times"
19,Pagination,Loading All Records for Pagination,"pagination,cursor,offset,limit,scroll",Loading all records to paginate in PHP wastes memory and database resources,"Use database-level pagination. Use cursor pagination for large datasets (no count query)","Load all records then slice with array_slice() or collection methods","// Standard pagination (with count):\n$users = User::where('active', true)->paginate(20);\n\n// Cursor pagination (no count, faster for large tables):\n$users = User::where('active', true)->cursorPaginate(20);\n\n// Simple pagination (no count, prev/next only):\n$users = User::where('active', true)->simplePaginate(20);","$allUsers = User::all(); // Loads 100k records\n$page = array_slice($allUsers->toArray(), ($page - 1) * 20, 20);\n// Out of memory with large tables",Critical,"Compare paginate() vs all() memory usage on large tables"
20,Response,Response Compression,"gzip,compression,response,nginx,middleware",Uncompressed API responses transfer more data increasing latency,"Enable gzip/brotli compression at Nginx level. Use resource collections for consistent output","Serve uncompressed JSON responses or compress in PHP","# Nginx configuration:\ngzip on;\ngzip_types application/json text/plain application/xml;\ngzip_min_length 256;\ngzip_comp_level 5;\ngzip_vary on;\n\n# Or in PHP middleware (less efficient):\nclass CompressResponse {\n    public function handle($request, Closure $next) {\n        $response = $next($request);\n        if (str_contains($request->header('Accept-Encoding', ''), 'gzip')) {\n            // Let Nginx handle this instead\n        }\n        return $response;\n    }\n}","# No compression configured\n# JSON responses sent as-is\n# 100KB response could be 15KB with gzip",Medium,"Compare response sizes with/without compression in DevTools"
