No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
11,Factory Pattern,Creational,"factory,creation,widget factory,platform specific",Creates objects/widgets without specifying exact types. Useful for platform-specific implementations,"When creating platform-adaptive widgets; when object creation logic is complex","When a simple constructor call suffices","// Platform-Adaptive Widget Factory\nabstract class PlatformWidget {\n  factory PlatformWidget.adaptive() {\n    if (Platform.isIOS) return CupertinoStyleWidget();\n    return MaterialStyleWidget();\n  }\n  Widget build();\n}\n\n// Or using Dart factory constructor\nclass DialogFactory {\n  static Widget create(DialogType type) {\n    return switch (type) {\n      DialogType.alert => const AlertDialogWidget(),\n      DialogType.confirm => const ConfirmDialogWidget(),\n      DialogType.input => const InputDialogWidget(),\n    };\n  }\n}","Long if/else chains checking platform in every widget",Low,None,"flutter/material,flutter/cupertino",https://api.flutter.dev/flutter/dart-core/Object/Object.html
12,Singleton/Service Locator,Creational,"singleton,service locator,get_it,injection,global",Registers and resolves dependencies globally. Single instance of services throughout app lifecycle,"For core services (API client analytics logger); when full DI framework is overkill","When dependency injection through constructors is feasible; in testable code","// GetIt Service Locator\nfinal sl = GetIt.instance;\n\nvoid setupDependencies() {\n  // Singletons\n  sl.registerLazySingleton<ApiClient>(() => DioApiClient());\n  sl.registerLazySingleton<AuthService>(() => AuthServiceImpl(sl()));\n  \n  // Factories (new instance each time)\n  sl.registerFactory<HomeBloc>(() => HomeBloc(sl()));\n}\n\n// Usage\nclass HomeScreen extends StatelessWidget {\n  @override\n  Widget build(BuildContext context) {\n    return BlocProvider(\n      create: (_) => sl<HomeBloc>()..add(LoadHome()),\n      child: HomeView(),\n    );\n  }\n}","Creating new instances of services everywhere instead of reusing",Low,None,"get_it,injectable,koin",https://pub.dev/packages/get_it
13,Strategy Pattern,Behavioral,"strategy,algorithm,swap,pluggable,auth strategy",Define a family of algorithms and swap them at runtime based on conditions,"For swappable auth methods (biometric PIN social); for different payment providers","When there is only one implementation that will never change","// Auth Strategy\nabstract class AuthStrategy {\n  Future<AuthResult> authenticate();\n}\n\nclass BiometricAuth implements AuthStrategy {\n  @override\n  Future<AuthResult> authenticate() async {\n    final localAuth = LocalAuthentication();\n    final success = await localAuth.authenticate(localizedReason: 'Verify identity');\n    return success ? AuthResult.success() : AuthResult.failure('Biometric failed');\n  }\n}\n\nclass PinAuth implements AuthStrategy {\n  final String expectedPin;\n  PinAuth(this.expectedPin);\n  @override\n  Future<AuthResult> authenticate() async { ... }\n}","Hardcoding auth logic with if/else for different methods in one function",Medium,None,"local_auth,flutter_secure_storage",https://refactoring.guru/design-patterns/strategy
14,Decorator Pattern,Structural,"decorator,wrapper,logging,caching,retry",Wraps existing functionality to add behavior like caching logging or retry without modifying original,"For adding caching/retry/logging around API calls or repositories","When the original class can simply be modified","// Caching Decorator\nclass CachedProductRepository implements ProductRepository {\n  final ProductRepository _inner;\n  final CacheService _cache;\n  \n  CachedProductRepository(this._inner, this._cache);\n  \n  @override\n  Future<List<Product>> getProducts() async {\n    final cached = await _cache.get<List<Product>>('products');\n    if (cached != null) return cached;\n    \n    final products = await _inner.getProducts();\n    await _cache.set('products', products, ttl: Duration(minutes: 5));\n    return products;\n  }\n}","Mixing caching logic inside API call methods",Medium,Low,"hive,shared_preferences",https://refactoring.guru/design-patterns/decorator
15,Command Pattern,Behavioral,"command,undo,redo,action,operation",Encapsulates operations as objects enabling undo/redo queuing and logging,"For text editors with undo; for queuing offline operations; for complex form workflows","Simple one-shot operations that don't need undo","class DrawCommand {\n  final Canvas canvas;\n  final Offset start;\n  final Offset end;\n  final Paint paint;\n  \n  DrawCommand({required this.canvas, required this.start, required this.end, required this.paint});\n  \n  void execute() => canvas.drawLine(start, end, paint);\n  void undo() => canvas.restore();\n}\n\nclass CommandManager {\n  final List<DrawCommand> _history = [];\n  int _currentIndex = -1;\n  \n  void execute(DrawCommand cmd) {\n    cmd.execute();\n    _history.add(cmd);\n    _currentIndex++;\n  }\n  void undo() { if (_currentIndex >= 0) _history[_currentIndex--].undo(); }\n}","Implementing undo by storing full state snapshots instead of operations",Medium,Low,flutter/painting,https://refactoring.guru/design-patterns/command
16,Middleware/Interceptor Pattern,Structural,"middleware,interceptor,request,response,dio,http",Wraps HTTP requests/responses in layers for auth token refresh logging error handling,"For adding auth headers; for token refresh logic; for request/response logging","When a simple one-off HTTP call with no cross-cutting concerns","// Dio Interceptor\nclass AuthInterceptor extends Interceptor {\n  final TokenStorage _tokenStorage;\n  \n  @override\n  void onRequest(RequestOptions options, RequestInterceptorHandler handler) async {\n    final token = await _tokenStorage.getAccessToken();\n    if (token != null) {\n      options.headers['Authorization'] = 'Bearer $token';\n    }\n    handler.next(options);\n  }\n  \n  @override\n  void onError(DioException err, ErrorInterceptorHandler handler) async {\n    if (err.response?.statusCode == 401) {\n      final newToken = await _refreshToken();\n      // Retry with new token\n    }\n    handler.next(err);\n  }\n}","Adding auth headers manually in every API call",Medium,None,"dio,chopper,retrofit",https://pub.dev/packages/dio
17,Freezed/Immutable State,Domain-Driven,"freezed,immutable,sealed,union,copyWith,data class",Immutable data classes with union types pattern matching and copyWith for safe state management,"For all state objects; for API response models; for domain entities","For simple throwaway data structures","// Freezed State\n@freezed\nclass AuthState with _$AuthState {\n  const factory AuthState.initial() = _Initial;\n  const factory AuthState.loading() = _Loading;\n  const factory AuthState.authenticated(User user) = _Authenticated;\n  const factory AuthState.unauthenticated() = _Unauthenticated;\n  const factory AuthState.error(String message) = _Error;\n}\n\n// Usage with pattern matching\nWidget build(BuildContext context) {\n  return state.when(\n    initial: () => const SplashScreen(),\n    loading: () => const LoadingIndicator(),\n    authenticated: (user) => HomeScreen(user: user),\n    unauthenticated: () => const LoginScreen(),\n    error: (msg) => ErrorScreen(message: msg),\n  );\n}","Using mutable classes for state causing accidental mutations",Low,None,"freezed,freezed_annotation,json_serializable",https://pub.dev/packages/freezed
18,Composite Widget Pattern,Structural,"composite,widget composition,reusable,component,design system",Builds complex UIs by composing smaller reusable widgets following a design system,"For building consistent UI across the app; for design system implementation","When a widget is truly one-off and will never be reused","// Design System Button\nclass AppButton extends StatelessWidget {\n  final String text;\n  final VoidCallback onPressed;\n  final AppButtonStyle style;\n  final bool isLoading;\n  \n  const AppButton({required this.text, required this.onPressed, this.style = AppButtonStyle.primary, this.isLoading = false});\n  \n  @override\n  Widget build(BuildContext context) {\n    return ElevatedButton(\n      onPressed: isLoading ? null : onPressed,\n      style: _getButtonStyle(style),\n      child: isLoading\n        ? const SizedBox(width: 20, height: 20, child: CircularProgressIndicator(strokeWidth: 2))\n        : Text(text),\n    );\n  }\n}","Copy-pasting styling code across multiple screens",Low,None,"flutter/material,flutter/cupertino",https://docs.flutter.dev/ui/widgets
19,UseCase/Interactor Pattern,Behavioral,"use case,interactor,business rule,domain logic",Single-responsibility classes encapsulating one business operation in the domain layer,"In Clean Architecture projects; when business logic needs to be tested independently","Simple CRUD with no business rules","// Use Case\nclass PlaceOrderUseCase {\n  final OrderRepository _orderRepo;\n  final InventoryService _inventory;\n  final PaymentService _payment;\n  \n  PlaceOrderUseCase(this._orderRepo, this._inventory, this._payment);\n  \n  Future<Either<Failure, Order>> call(PlaceOrderParams params) async {\n    final available = await _inventory.checkAvailability(params.items);\n    if (!available) return Left(InsufficientStockFailure());\n    \n    final paymentResult = await _payment.charge(params.paymentMethod, params.total);\n    if (paymentResult.isLeft()) return paymentResult.map((_) => throw UnimplementedError());\n    \n    return _orderRepo.createOrder(params.toOrder());\n  }\n}","Putting multi-step business logic directly in ViewModel/BLoC",Medium,None,"dartz,fpdart",https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html
20,VIPER,Architectural,"viper,view interactor presenter entity router,ios",Strict five-layer separation: View Interactor Presenter Entity Router. Common in iOS native,"Large iOS teams needing strict separation; enterprise iOS apps","Small apps; when SwiftUI with MVVM suffices; cross-platform projects","// Swift VIPER\nprotocol HomeViewProtocol: AnyObject {\n    func showProducts(_ products: [ProductViewModel])\n    func showError(_ message: String)\n}\n\nclass HomePresenter {\n    weak var view: HomeViewProtocol?\n    var interactor: HomeInteractorProtocol?\n    var router: HomeRouterProtocol?\n    \n    func viewDidLoad() {\n        interactor?.fetchProducts()\n    }\n}\n\nextension HomePresenter: HomeInteractorOutputProtocol {\n    func didFetch(products: [Product]) {\n        let viewModels = products.map { ProductViewModel(from: $0) }\n        view?.showProducts(viewModels)\n    }\n}","Massive View Controllers with thousands of lines of mixed responsibilities",High,None,"UIKit,Swinject",https://www.objc.io/issues/13-architecture/viper/
21,Redux/Store Pattern,State Management,"redux,store,action,reducer,middleware,single source of truth",Single global store with reducers handling actions. Predictable state with time-travel debugging,"Large apps needing predictable state; when debugging complex state transitions","Small apps; when simpler state management suffices","// Redux in React Native\nconst cartReducer = (state = initialState, action) => {\n  switch (action.type) {\n    case 'ADD_TO_CART':\n      return { ...state, items: [...state.items, action.payload] };\n    case 'REMOVE_FROM_CART':\n      return { ...state, items: state.items.filter(i => i.id !== action.payload.id) };\n    case 'CLEAR_CART':\n      return { ...state, items: [] };\n    default:\n      return state;\n  }\n};\n\nconst store = createStore(cartReducer, applyMiddleware(thunk));","Multiple scattered state sources that can get out of sync",Medium,None,"@reduxjs/toolkit,react-redux,redux-thunk",https://redux.js.org
22,Builder Pattern,Creational,"builder,fluent,method chaining,configuration",Constructs complex objects step-by-step using a fluent interface. Common for request/config building,"For complex object construction with many optional parameters; for building queries/requests","When a simple constructor with named parameters suffices","// Request Builder\nclass ApiRequestBuilder {\n  String _path = '';\n  String _method = 'GET';\n  Map<String, String> _headers = {};\n  Map<String, dynamic> _queryParams = {};\n  dynamic _body;\n  \n  ApiRequestBuilder path(String p) { _path = p; return this; }\n  ApiRequestBuilder method(String m) { _method = m; return this; }\n  ApiRequestBuilder header(String key, String val) { _headers[key] = val; return this; }\n  ApiRequestBuilder query(String key, dynamic val) { _queryParams[key] = val; return this; }\n  ApiRequestBuilder body(dynamic b) { _body = b; return this; }\n  \n  ApiRequest build() => ApiRequest(_path, _method, _headers, _queryParams, _body);\n}","Constructors with 10+ positional parameters",Low,None,"dio,http",https://refactoring.guru/design-patterns/builder
23,Dependency Injection,Creational,"dependency injection,di,constructor injection,ioc,container",Provides dependencies through constructors or containers rather than creating them internally,"Always in production code; for testable architecture; for swapping implementations","Quick prototypes where testability is not a concern","// Injectable + GetIt\n@injectable\nclass AuthBloc extends Bloc<AuthEvent, AuthState> {\n  final LoginUseCase _loginUseCase;\n  final LogoutUseCase _logoutUseCase;\n  \n  AuthBloc(this._loginUseCase, this._logoutUseCase) : super(AuthInitial()) {\n    on<LoginRequested>((event, emit) async {\n      emit(AuthLoading());\n      final result = await _loginUseCase(LoginParams(event.email, event.password));\n      result.fold(\n        (failure) => emit(AuthError(failure.message)),\n        (user) => emit(AuthAuthenticated(user)),\n      );\n    });\n  }\n}","Creating dependencies inside classes with new/direct instantiation",Low,None,"injectable,get_it,koin,hilt",https://pub.dev/packages/injectable
24,Event Bus Pattern,Behavioral,"event bus,publish subscribe,broadcast,cross-module communication",Decoupled communication between app components through a shared event channel,"For cross-module communication; for analytics events; for showing global messages (snackbars)","When direct dependency injection of callbacks is cleaner; when events create spaghetti flow","// Simple Event Bus\nclass EventBus {\n  static final _instance = EventBus._();\n  factory EventBus() => _instance;\n  EventBus._();\n  \n  final _controller = StreamController.broadcast();\n  \n  void fire(AppEvent event) => _controller.add(event);\n  Stream<T> on<T extends AppEvent>() => _controller.stream.whereType<T>();\n  void dispose() => _controller.close();\n}\n\n// Usage\nEventBus().fire(CartUpdatedEvent(itemCount: 3));\nEventBus().on<CartUpdatedEvent>().listen((e) => updateBadge(e.itemCount));","Passing callbacks through 5+ layers of widget tree",Low,None,"event_bus,flutter_bloc",https://pub.dev/packages/event_bus
25,Pagination Pattern,Behavioral,"pagination,infinite scroll,load more,cursor,offset",Loads data in pages as user scrolls. Supports offset-based and cursor-based pagination,"For any list/feed with potentially large datasets; for API endpoints returning paginated data","When the full dataset is small enough to load at once","class PaginatedListBloc<T> extends Cubit<PaginatedState<T>> {\n  final Future<PaginatedResponse<T>> Function(int page) _fetcher;\n  int _currentPage = 1;\n  bool _hasMore = true;\n  \n  PaginatedListBloc(this._fetcher) : super(PaginatedState.initial());\n  \n  Future<void> loadNextPage() async {\n    if (!_hasMore || state.isLoadingMore) return;\n    emit(state.copyWith(isLoadingMore: true));\n    \n    final response = await _fetcher(_currentPage);\n    _hasMore = response.hasMore;\n    _currentPage++;\n    \n    emit(state.copyWith(\n      items: [...state.items, ...response.items],\n      isLoadingMore: false,\n      hasMore: _hasMore,\n    ));\n  }\n}","Loading all data at once and filtering in-memory on mobile",Medium,Low,"infinite_scroll_pagination,flutter_bloc",https://pub.dev/packages/infinite_scroll_pagination
