No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
11,Next.js App Router Full-Stack,"nextjs,app router,server components,server actions,rsc","Full-stack architecture using Next.js App Router with React Server Components for data fetching and Server Actions for mutations.","app/\n  (auth)/\n    login/page.tsx\n  dashboard/\n    layout.tsx\n    page.tsx\n  api/\n    [...route]/route.ts\nlib/\n  db.ts\n  auth.ts\ncomponents/\n  ui/","Full-stack React apps; SEO-important sites; content-heavy applications; when server rendering is beneficial","Pure API backends; non-React frontends; when you need WebSocket support; real-time heavy apps","next,@auth/nextjs,prisma,zod","Server Components by default; Client Components only for interactivity; Server Actions for mutations; Route Handlers for API endpoints"
12,Remix Full-Stack,"remix,loaders,actions,forms,progressive enhancement","Full-stack web framework based on web standards. Loaders fetch data, Actions handle mutations. Progressive enhancement with HTML forms.","app/\n  routes/\n    _index.tsx\n    dashboard.tsx\n    dashboard.users.tsx\n  models/\n    user.server.ts\n  utils/\n    session.server.ts\n  components/","Form-heavy applications; progressive enhancement needs; when web standards matter; content sites","Heavy SPA interactions; real-time apps; when you need extensive client-side state","@remix-run/node,@remix-run/react,prisma","Loaders for data; Actions for mutations; Progressive enhancement; Nested routes; .server suffix for server-only code"
13,Plugin Architecture,"plugin,extensible,hooks,registry","Core system with extension points. Plugins register handlers/middleware via a plugin registry. Fastify uses this pattern natively.","src/\n  core/\n    plugin-registry.ts\n    hooks.ts\n  plugins/\n    auth/\n    logging/\n    metrics/\n  app.ts","Extensible systems; when third-party extensions are needed; Fastify apps; build systems","Simple apps; when all features are known upfront; tight coupling is acceptable","fastify,fastify-plugin,tapable","Plugin isolation; lifecycle hooks; dependency ordering; graceful degradation if plugin fails"
14,API Gateway,"api gateway,proxy,routing,aggregation,bff","Single entry point that routes requests to internal services. Handles cross-cutting concerns: auth, rate limiting, request aggregation.","gateway/\n  src/\n    routes/\n    middleware/\n      auth.ts\n      rate-limit.ts\n    proxy/\n    aggregation/","Microservice architectures; BFF (Backend For Frontend); when clients need unified API; cross-cutting concerns","Monolithic apps; single service; when gateway becomes a bottleneck","http-proxy-middleware,express,fastify,express-rate-limit","Thin gateway (no business logic); consistent auth/logging; request aggregation for reducing round trips; circuit breaker for downstream services"
15,Module-per-Feature,"feature module,colocation,vertical slice,self-contained","Each feature is a self-contained module with its own controller, service, repository, and tests colocated together.","src/\n  modules/\n    user/\n      user.controller.ts\n      user.service.ts\n      user.repository.ts\n      user.schema.ts\n      user.test.ts\n      index.ts\n    product/\n    order/","Medium to large apps; when features are relatively independent; team-per-feature organization","Tiny apps; when features share heavy logic; when horizontal layers are clearer","express,fastify,prisma","Feature isolation; colocated tests; barrel export per module; shared utilities in /shared; minimal cross-module imports"
16,12-Factor App,"12-factor,config,environment,stateless,disposable","Methodology for building scalable SaaS apps. Config in env vars, stateless processes, explicit dependencies, port binding.","src/\n  config/\n    env.ts (Zod-validated)\n  index.ts\nDockerfile\n.env.example","Production applications; containerized deployments; cloud-native apps","Quick prototypes; desktop applications; embedded systems","zod,dotenv,pino,prisma","Config via env vars (validated with Zod); explicit deps in package.json; stateless processes; logs as event streams; dev/prod parity"
17,Graceful Shutdown Pattern,"graceful shutdown,sigterm,sigint,cleanup,health","Proper process lifecycle management: handle signals, drain connections, close database pools, finish in-flight requests before exit.","// In src/index.ts\nprocess.on('SIGTERM', () => shutdown())\nprocess.on('SIGINT', () => shutdown())\n\nasync function shutdown() {\n  server.close()\n  await db.$disconnect()\n  process.exit(0)\n}","All production Node.js servers; containerized apps (Kubernetes); long-running processes","One-off scripts; serverless functions (platform handles lifecycle)","@godaddy/terminus,stoppable,prisma","Handle SIGTERM + SIGINT; close server first (stop accepting); drain active connections; close DB pools; set timeout for force exit"
18,Health Check Pattern,"health check,readiness,liveness,kubernetes,monitoring","Expose /health and /ready endpoints for load balancers and orchestrators to check application status.","GET /health → { status: 'ok', uptime }\nGET /ready → { status: 'ok', db: 'connected', redis: 'connected' }","Kubernetes deployments; load-balanced services; any production app behind a health-checking proxy","Simple scripts; development-only apps","@godaddy/terminus,lightship,express","Liveness = process alive; Readiness = can serve traffic; check DB/Redis connections in readiness; return quickly (no heavy queries)"
19,Flat Structure,"flat,simple,minimal,scripts","All files in a single directory or minimal nesting. Suitable for small projects, scripts, and prototypes.","src/\n  index.ts\n  routes.ts\n  db.ts\n  auth.ts\n  types.ts","Small apps; CLI scripts; prototypes; when project has < 10 files","Growing apps (>15 files); team projects; when navigation becomes difficult","express,fastify","Start flat, refactor when it hurts; no premature abstraction; keep it simple"
20,Domain-Driven Design (DDD),"ddd,domain,aggregate,value object,entity,bounded context","Model complex business domains with rich domain objects. Aggregates enforce invariants. Repositories abstract persistence.","src/\n  domain/\n    user/\n      user.entity.ts\n      user.value-objects.ts\n      user.repository.ts (interface)\n      user.service.ts\n    order/\n      order.aggregate.ts\n      order.events.ts\n  infrastructure/\n    persistence/\n    messaging/\n  application/\n    use-cases/","Complex business domains; when domain experts are available; enterprise applications; when behavior > CRUD","Simple CRUD apps; when domain is trivial; small prototypes; when team lacks DDD experience","@nestjs/core,tsyringe,prisma,zod","Ubiquitous language; bounded contexts; aggregates as consistency boundaries; domain events; anti-corruption layers"
