No,Use Case,Keywords,Primary Package,Secondary Packages,Architecture Pattern,Error Strategy,Key Considerations
11,Authentication (Next.js),"auth,nextauth,oauth,next,session",next-auth,"@auth/prisma-adapter,@auth/core","Next.js middleware + route handlers","Session callback error handling","Built for Next.js; OAuth providers out of box; Prisma adapter; v5 is Auth.js (framework-agnostic)"
12,Logging (Structured),"logging,pino,structured,json,fast",pino,"pino-pretty,pino-http,pino-multi-stream","Inject logger via DI or middleware","Log errors with context (req.log.error({err}))","Fastest Node.js logger; JSON output; child loggers for context; pino-http for request logging; 10x faster than winston"
13,Logging (Versatile),"logging,winston,transport,format",winston,"winston-daily-rotate-file,winston-transport","Inject via DI or global singleton","winston.error({message, stack, context})","Multiple transports; custom formats; log levels; file rotation; widely used but slower than pino"
14,Caching (Redis),"cache,redis,ioredis,session,pubsub",ioredis,"@upstash/redis,cache-manager","Cache-aside pattern in service layer","Catch ConnectionError; fallback to DB on cache miss","Cluster support; Lua scripting; pub/sub; pipeline; Upstash for serverless; connection pooling built-in"
15,Job Queue,"queue,background,job,bullmq,worker",bullmq,"bull-board,@bull-board/api","Worker pattern with dedicated queue processors","Job retry with exponential backoff; dead letter queue","Redis-backed; repeatable jobs; priority queues; rate limiting; bull-board for monitoring; concurrency control"
16,WebSocket (Feature-Rich),"websocket,realtime,socket.io,rooms,events",socket.io,"@socket.io/admin-ui,@socket.io/redis-adapter","Event-driven with rooms and namespaces","socket.on('error') + middleware error handling","Auto-reconnection; rooms; namespaces; binary support; Redis adapter for scaling; fallback to polling"
17,WebSocket (Lightweight),"websocket,ws,raw,performance",ws,"@types/ws,bufferutil,utf-8-validate","Raw WebSocket with custom protocol","ws.on('error') handler per connection","Fastest WS implementation; raw protocol; no abstraction overhead; good for custom protocols"
18,File Upload,"upload,file,multer,multipart,storage",multer,"@types/multer,multer-s3,sharp","Middleware in Express routes","Check file size/type in fileFilter callback","Multipart form handling; disk/memory/S3 storage; file size limits; type filtering; use sharp for image processing"
19,Email,"email,smtp,nodemailer,template",nodemailer,"@react-email/render,mjml,handlebars","Service pattern with template rendering","Catch SMTP errors; retry transient failures","SMTP/SES/Sendgrid transport; HTML templates; attachments; connection pooling; use react-email for modern templates"
20,PDF Generation,"pdf,generate,document,pdfkit",pdfkit,"@react-pdf/renderer,puppeteer","Service pattern with stream output","Pipe errors on writable stream","Programmatic PDF creation; streaming output; fonts/images; alternative: puppeteer for HTML→PDF"
21,Rate Limiting,"rate limit,throttle,ddos,protection",express-rate-limit,"@fastify/rate-limit,rate-limiter-flexible,ioredis","Middleware at route or global level","429 Too Many Requests response","IP-based or user-based; Redis store for distributed; sliding window; skip for trusted IPs"
22,GraphQL Server,"graphql,apollo,schema,resolver",@apollo/server,"graphql,@graphql-tools/schema,graphql-yoga","Schema-first or code-first resolvers","formatError hook for error sanitization","Apollo: most ecosystem; Yoga: lightweight alternative; DataLoader for N+1; subscription support"
23,Testing Framework,"test,vitest,unit,integration,mock",vitest,"@vitest/coverage-v8,@vitest/ui,happy-dom","Test files colocated with source","expect().toThrow() for error assertions","Vite-powered; Jest-compatible API; faster than Jest; native ESM; built-in coverage; watch mode"
24,E2E Testing,"e2e,browser,playwright,automation",@playwright/test,"playwright,@playwright/experimental-ct-react","Page Object Model pattern","expect(page).toHaveURL() + screenshot on failure","Multi-browser; auto-wait; trace viewer; parallel execution; component testing; codegen for recording"
25,CLI Framework,"cli,command,argument,commander",commander,"inquirer,chalk,ora","Command pattern with subcommands","exitOverride() for testable error handling","Most popular CLI framework; subcommands; options; auto-help; combine with inquirer for interactive prompts"
26,CLI Framework (Advanced),"cli,oclif,plugin,enterprise",oclif,"@oclif/core,@oclif/plugin-help","Plugin architecture with hooks","this.error() with exit codes","Salesforce-backed; plugin system; auto-generated docs; TypeScript-first; multi-command CLI"
27,Dependency Injection,"di,container,inject,tsyringe,ioc",tsyringe,"inversify,awilix,reflect-metadata","Constructor injection with decorators","Container resolution errors caught at startup","Lightweight DI; decorators-based; singleton/transient scopes; works with any framework; needs reflect-metadata"
28,HTTP Client,"http client,fetch,axios,request",ky,"axios,ofetch,undici","Service pattern wrapping HTTP calls","Interceptors for retry + error transformation","ky: tiny fetch wrapper; axios: feature-rich; ofetch: nuxt/nitro; undici: Node.js built-in HTTP/1.1 client"
29,Task Scheduling,"cron,schedule,recurring,job",node-cron,"cron,agenda,@nestjs/schedule","Scheduler service with job registry","Try/catch per job execution; log failures","Cron syntax; timezone support; use BullMQ for distributed cron; @nestjs/schedule for NestJS integration"
30,Monitoring (Metrics),"metrics,prometheus,monitoring,apm",prom-client,"@opentelemetry/sdk-node,newrelic,dd-trace","Middleware for request metrics + custom counters","Metric collection doesn't throw; fire-and-forget","Prometheus format; histogram for latency; counter for requests; OpenTelemetry for distributed tracing"
