No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
11,Module Pattern (Barrel Exports),Structural,"barrel, index, exports, public API, encapsulation","Uses index.ts files to re-export only the public API of a module, hiding internal implementation details.","When organizing library or module boundaries; when you want to control what consumers can import; when creating clean public APIs.","When a module is tiny with a single file; when barrel files cause circular dependency issues.","// file: src/auth/internals/hash.ts
import { scrypt, randomBytes, timingSafeEqual } from 'crypto';
import { promisify } from 'util';

const scryptAsync = promisify(scrypt);

export async function hashPassword(password: string): Promise<string> {
  const salt = randomBytes(16).toString('hex');
  const buf = (await scryptAsync(password, salt, 64)) as Buffer;
  return `${buf.toString('hex')}.${salt}`;
}

export async function verifyPassword(password: string, hash: string): Promise<boolean> {
  const [hashedPw, salt] = hash.split('.');
  const buf = (await scryptAsync(password, salt, 64)) as Buffer;
  return timingSafeEqual(buf, Buffer.from(hashedPw, 'hex'));
}

// file: src/auth/internals/token.ts
import { randomBytes } from 'crypto';

export function generateToken(length: number = 32): string {
  return randomBytes(length).toString('base64url');
}

// file: src/auth/auth.service.ts
import { hashPassword, verifyPassword } from './internals/hash';
import { generateToken } from './internals/token';

export class AuthService {
  async register(email: string, password: string): Promise<{ token: string }> {
    const hash = await hashPassword(password);
    console.log(`Registered ${email} with hash ${hash.slice(0, 10)}...`);
    return { token: generateToken() };
  }

  async login(email: string, password: string, storedHash: string): Promise<{ token: string }> {
    const valid = await verifyPassword(password, storedHash);
    if (!valid) throw new Error('Invalid credentials');
    return { token: generateToken() };
  }
}

// file: src/auth/index.ts (barrel)
export { AuthService } from './auth.service';
// Internals are NOT exported - hash.ts and token.ts stay private

// Consumer only sees the clean public API:
// import { AuthService } from './auth';","Exposing every internal helper and utility from a module, allowing consumers to depend on implementation details that break on refactoring.",Low,Negligible,eslint-plugin-import,https://www.typescriptlang.org/docs/handbook/modules.html
12,Composite,Structural,"composite, tree, hierarchy, recursive","Composes objects into tree structures to represent part-whole hierarchies, letting clients treat individual objects and compositions uniformly.","When you need to represent hierarchies (file systems, menus, org charts); when clients should treat leaves and branches the same way.","When the hierarchy is flat; when composite operations do not make sense for leaf nodes.","interface PermissionNode {
  readonly name: string;
  check(userPermissions: Set<string>): boolean;
  list(): string[];
}

class Permission implements PermissionNode {
  constructor(readonly name: string) {}

  check(userPermissions: Set<string>): boolean {
    return userPermissions.has(this.name);
  }

  list(): string[] {
    return [this.name];
  }
}

class PermissionGroup implements PermissionNode {
  private children: PermissionNode[] = [];

  constructor(
    readonly name: string,
    private mode: 'all' | 'any' = 'all'
  ) {}

  add(...nodes: PermissionNode[]): this {
    this.children.push(...nodes);
    return this;
  }

  check(userPermissions: Set<string>): boolean {
    if (this.children.length === 0) return true;
    if (this.mode === 'all') {
      return this.children.every((child) => child.check(userPermissions));
    }
    return this.children.some((child) => child.check(userPermissions));
  }

  list(): string[] {
    return this.children.flatMap((child) => child.list());
  }
}

// Build permission tree
const adminPermissions = new PermissionGroup('admin', 'all')
  .add(
    new Permission('users:read'),
    new Permission('users:write'),
    new PermissionGroup('content-management', 'all')
      .add(
        new Permission('posts:read'),
        new Permission('posts:write'),
        new Permission('posts:delete')
      )
  );

const editorPermissions = new PermissionGroup('editor', 'all')
  .add(
    new Permission('posts:read'),
    new Permission('posts:write')
  );

// Check permissions uniformly
const userPerms = new Set(['users:read', 'users:write', 'posts:read', 'posts:write', 'posts:delete']);
console.log('Admin access:', adminPermissions.check(userPerms));   // true
console.log('Editor access:', editorPermissions.check(userPerms)); // true
console.log('All admin perms:', adminPermissions.list());","Using flat arrays of permission strings with complex nested conditional checks scattered across the codebase.",Medium,Negligible,"react (component tree), file-system utilities",https://refactoring.guru/design-patterns/composite
13,Strategy,Behavioral,"strategy, algorithm, swap, interface, polymorphism","Defines a family of interchangeable algorithms behind a common interface, allowing the algorithm to vary independently from clients.","When you have multiple ways to perform an operation and want to switch between them; when you want to eliminate conditional branching on algorithm type.","When there is only one algorithm and no variation is expected; when the strategy interface is too broad.","interface CompressionStrategy {
  compress(data: Buffer): Promise<Buffer>;
  decompress(data: Buffer): Promise<Buffer>;
  readonly encoding: string;
}

class GzipStrategy implements CompressionStrategy {
  readonly encoding = 'gzip';

  async compress(data: Buffer): Promise<Buffer> {
    const { promisify } = await import('util');
    const { gzip } = await import('zlib');
    return promisify(gzip)(data);
  }

  async decompress(data: Buffer): Promise<Buffer> {
    const { promisify } = await import('util');
    const { gunzip } = await import('zlib');
    return promisify(gunzip)(data);
  }
}

class BrotliStrategy implements CompressionStrategy {
  readonly encoding = 'br';

  async compress(data: Buffer): Promise<Buffer> {
    const { promisify } = await import('util');
    const { brotliCompress } = await import('zlib');
    return promisify(brotliCompress)(data);
  }

  async decompress(data: Buffer): Promise<Buffer> {
    const { promisify } = await import('util');
    const { brotliDecompress } = await import('zlib');
    return promisify(brotliDecompress)(data);
  }
}

class NoCompressionStrategy implements CompressionStrategy {
  readonly encoding = 'identity';
  async compress(data: Buffer): Promise<Buffer> { return data; }
  async decompress(data: Buffer): Promise<Buffer> { return data; }
}

class FileProcessor {
  constructor(private strategy: CompressionStrategy) {}

  setStrategy(strategy: CompressionStrategy): void {
    this.strategy = strategy;
  }

  async process(input: Buffer): Promise<{ data: Buffer; encoding: string; ratio: number }> {
    const compressed = await this.strategy.compress(input);
    const ratio = compressed.length / input.length;
    return { data: compressed, encoding: this.strategy.encoding, ratio };
  }

  async restore(compressed: Buffer): Promise<Buffer> {
    return this.strategy.decompress(compressed);
  }
}

// Usage
const processor = new FileProcessor(new GzipStrategy());
const input = Buffer.from('Hello World!'.repeat(1000));
const result = await processor.process(input);
console.log(`${result.encoding}: ratio ${(result.ratio * 100).toFixed(1)}%`);

processor.setStrategy(new BrotliStrategy());
const result2 = await processor.process(input);
console.log(`${result2.encoding}: ratio ${(result2.ratio * 100).toFixed(1)}%`);","Giant if/else or switch statements selecting compression logic inline, duplicating algorithm selection at every call site.",Medium,Varies by strategy,"passport (auth strategies), multer (storage strategies)",https://refactoring.guru/design-patterns/strategy
14,Observer / EventEmitter,Behavioral,"observer, events, EventEmitter, pub-sub, reactive","Defines a one-to-many dependency so that when one object changes state, all dependents are notified and updated automatically.","When multiple components need to react to state changes; when you want loose coupling between producer and consumers; event-driven architectures.","When there are few listeners and direct calls are simpler; when event chains become hard to debug (event spaghetti).","import { EventEmitter } from 'events';

interface OrderEvents {
  'order:created': [order: { id: string; userId: string; total: number }];
  'order:paid': [order: { id: string; transactionId: string }];
  'order:shipped': [order: { id: string; trackingNumber: string }];
  'order:failed': [order: { id: string; reason: string }];
}

class TypedEventEmitter<T extends Record<string, unknown[]>> {
  private emitter = new EventEmitter();

  on<K extends keyof T & string>(event: K, listener: (...args: T[K]) => void): this {
    this.emitter.on(event, listener as (...args: unknown[]) => void);
    return this;
  }

  off<K extends keyof T & string>(event: K, listener: (...args: T[K]) => void): this {
    this.emitter.off(event, listener as (...args: unknown[]) => void);
    return this;
  }

  emit<K extends keyof T & string>(event: K, ...args: T[K]): boolean {
    return this.emitter.emit(event, ...args);
  }

  once<K extends keyof T & string>(event: K, listener: (...args: T[K]) => void): this {
    this.emitter.once(event, listener as (...args: unknown[]) => void);
    return this;
  }
}

// Usage
const orderBus = new TypedEventEmitter<OrderEvents>();

// Subscriber: send confirmation email
orderBus.on('order:created', (order) => {
  console.log(`[Email] Sending confirmation for order ${order.id} to user ${order.userId}`);
});

// Subscriber: update analytics
orderBus.on('order:created', (order) => {
  console.log(`[Analytics] New order: $${order.total}`);
});

// Subscriber: notify shipping on payment
orderBus.on('order:paid', (order) => {
  console.log(`[Shipping] Preparing order ${order.id}, txn: ${order.transactionId}`);
});

// Publisher
orderBus.emit('order:created', { id: 'ord-1', userId: 'u-1', total: 99.99 });
orderBus.emit('order:paid', { id: 'ord-1', transactionId: 'txn-abc' });","Tight coupling where the order service directly calls email, analytics, and shipping services, making it impossible to add new reactions without modifying the core.",Low,Negligible,"events, eventemitter3, rxjs, mitt",https://nodejs.org/api/events.html
15,Command,Behavioral,"command, undo, redo, queue, encapsulation","Encapsulates a request as an object, allowing parameterization, queuing, logging, and undo/redo of operations.","When you need undo/redo functionality; when operations should be queued or logged; when you want to decouple invocation from execution.","When operations are simple and do not need undo or queuing; when the command objects add unnecessary complexity.","interface Command {
  execute(): Promise<void>;
  undo(): Promise<void>;
  describe(): string;
}

interface TextDocument {
  content: string;
}

class InsertTextCommand implements Command {
  private previousContent = '';

  constructor(
    private doc: TextDocument,
    private position: number,
    private text: string
  ) {}

  async execute(): Promise<void> {
    this.previousContent = this.doc.content;
    this.doc.content =
      this.doc.content.slice(0, this.position) +
      this.text +
      this.doc.content.slice(this.position);
  }

  async undo(): Promise<void> {
    this.doc.content = this.previousContent;
  }

  describe(): string {
    return `Insert ""${this.text}"" at position ${this.position}`;
  }
}

class DeleteTextCommand implements Command {
  private deletedText = '';

  constructor(
    private doc: TextDocument,
    private position: number,
    private length: number
  ) {}

  async execute(): Promise<void> {
    this.deletedText = this.doc.content.slice(this.position, this.position + this.length);
    this.doc.content =
      this.doc.content.slice(0, this.position) +
      this.doc.content.slice(this.position + this.length);
  }

  async undo(): Promise<void> {
    this.doc.content =
      this.doc.content.slice(0, this.position) +
      this.deletedText +
      this.doc.content.slice(this.position);
  }

  describe(): string {
    return `Delete ${this.length} chars at position ${this.position}`;
  }
}

class CommandHistory {
  private executed: Command[] = [];
  private undone: Command[] = [];

  async execute(command: Command): Promise<void> {
    await command.execute();
    this.executed.push(command);
    this.undone = [];
    console.log(`Executed: ${command.describe()}`);
  }

  async undo(): Promise<void> {
    const command = this.executed.pop();
    if (!command) throw new Error('Nothing to undo');
    await command.undo();
    this.undone.push(command);
    console.log(`Undone: ${command.describe()}`);
  }

  async redo(): Promise<void> {
    const command = this.undone.pop();
    if (!command) throw new Error('Nothing to redo');
    await command.execute();
    this.executed.push(command);
    console.log(`Redone: ${command.describe()}`);
  }
}

// Usage
const doc: TextDocument = { content: 'Hello World' };
const history = new CommandHistory();

await history.execute(new InsertTextCommand(doc, 5, ' Beautiful'));
console.log(doc.content); // Hello Beautiful World

await history.execute(new DeleteTextCommand(doc, 0, 6));
console.log(doc.content); // Beautiful World

await history.undo();
console.log(doc.content); // Hello Beautiful World

await history.redo();
console.log(doc.content); // Beautiful World","Directly mutating state without recording operations, making undo impossible and debugging state changes a nightmare.",High,Negligible,"redux (actions as commands), ioredis (command queue)",https://refactoring.guru/design-patterns/command
16,Middleware Chain,Behavioral,"middleware, chain, Express, Fastify, pipeline","Processes requests through a chain of handler functions, each able to modify context, short-circuit, or pass to the next handler.","When building HTTP servers; when cross-cutting concerns need to be composed; when request processing has multiple stages.","When the middleware chain becomes too long and hard to debug; when a simpler function composition suffices.","import { IncomingMessage, ServerResponse, createServer } from 'http';

interface Context {
  req: IncomingMessage;
  res: ServerResponse;
  state: Record<string, unknown>;
  startTime?: number;
}

type NextFunction = () => Promise<void>;
type Middleware = (ctx: Context, next: NextFunction) => Promise<void>;

function compose(middlewares: Middleware[]): Middleware {
  return async function (ctx: Context, next: NextFunction): Promise<void> {
    let index = -1;

    async function dispatch(i: number): Promise<void> {
      if (i <= index) throw new Error('next() called multiple times');
      index = i;
      const fn = i < middlewares.length ? middlewares[i] : next;
      await fn(ctx, () => dispatch(i + 1));
    }

    await dispatch(0);
  };
}

// Middleware: request timing
const timing: Middleware = async (ctx, next) => {
  ctx.startTime = Date.now();
  await next();
  const duration = Date.now() - (ctx.startTime ?? 0);
  ctx.res.setHeader('X-Response-Time', `${duration}ms`);
  console.log(`${ctx.req.method} ${ctx.req.url} - ${duration}ms`);
};

// Middleware: error handling
const errorHandler: Middleware = async (ctx, next) => {
  try {
    await next();
  } catch (err) {
    const message = err instanceof Error ? err.message : 'Internal Server Error';
    ctx.res.writeHead(500, { 'Content-Type': 'application/json' });
    ctx.res.end(JSON.stringify({ error: message }));
  }
};

// Middleware: body parser
const bodyParser: Middleware = async (ctx, next) => {
  if (ctx.req.method === 'POST' || ctx.req.method === 'PUT') {
    const chunks: Buffer[] = [];
    for await (const chunk of ctx.req) chunks.push(chunk as Buffer);
    ctx.state.body = JSON.parse(Buffer.concat(chunks).toString());
  }
  await next();
};

// Handler
const handler: Middleware = async (ctx) => {
  ctx.res.writeHead(200, { 'Content-Type': 'application/json' });
  ctx.res.end(JSON.stringify({ message: 'OK', path: ctx.req.url }));
};

// Compose and run
const app = compose([errorHandler, timing, bodyParser, handler]);
const server = createServer(async (req, res) => {
  const ctx: Context = { req, res, state: {} };
  await app(ctx, async () => {});
});

server.listen(3000, () => console.log('Server on :3000'));","Embedding logging, auth, parsing, and error handling all in a single monolithic request handler function.",Medium,Negligible,"express, koa, fastify, hono",https://expressjs.com/en/guide/using-middleware.html
17,Pipeline (Streams),Behavioral,"pipeline, streams, transform, ETL, data processing","Processes data through a sequence of transformation stages using Node.js Streams, enabling efficient memory usage for large datasets.","When processing large files or data streams; when building ETL pipelines; when memory efficiency matters.","When data fits comfortably in memory; when the pipeline adds complexity without performance benefit.","import { Transform, Readable, pipeline as streamPipeline } from 'stream';
import { promisify } from 'util';

const pipelineAsync = promisify(streamPipeline);

interface LogEntry {
  timestamp: string;
  level: string;
  message: string;
  service: string;
}

// Stage 1: Parse JSON lines
class JsonParser extends Transform {
  constructor() {
    super({ objectMode: true });
  }

  _transform(chunk: Buffer, _encoding: string, callback: (err?: Error | null, data?: LogEntry) => void): void {
    try {
      const entry = JSON.parse(chunk.toString().trim()) as LogEntry;
      callback(null, entry);
    } catch {
      callback(); // Skip malformed lines
    }
  }
}

// Stage 2: Filter by level
class LevelFilter extends Transform {
  constructor(private minLevel: string) {
    super({ objectMode: true });
  }

  private readonly levelOrder: Record<string, number> = {
    debug: 0, info: 1, warn: 2, error: 3, fatal: 4,
  };

  _transform(entry: LogEntry, _encoding: string, callback: (err?: Error | null, data?: LogEntry) => void): void {
    const entryLevel = this.levelOrder[entry.level] ?? 0;
    const minLevel = this.levelOrder[this.minLevel] ?? 0;
    if (entryLevel >= minLevel) {
      callback(null, entry);
    } else {
      callback();
    }
  }
}

// Stage 3: Format output
class Formatter extends Transform {
  constructor() {
    super({ objectMode: true, writableObjectMode: true });
  }

  _transform(entry: LogEntry, _encoding: string, callback: (err?: Error | null, data?: string) => void): void {
    const line = `[${entry.timestamp}] [${entry.level.toUpperCase()}] [${entry.service}] ${entry.message}\n`;
    callback(null, line);
  }
}

// Usage: process log entries through pipeline
const logs = [
  '{ ""timestamp"": ""2024-01-01T00:00:00Z"", ""level"": ""debug"", ""message"": ""Starting up"", ""service"": ""api"" }',
  '{ ""timestamp"": ""2024-01-01T00:00:01Z"", ""level"": ""info"", ""message"": ""Server listening on 3000"", ""service"": ""api"" }',
  '{ ""timestamp"": ""2024-01-01T00:00:02Z"", ""level"": ""error"", ""message"": ""Database connection failed"", ""service"": ""db"" }',
  '{ ""timestamp"": ""2024-01-01T00:00:03Z"", ""level"": ""warn"", ""message"": ""High memory usage"", ""service"": ""api"" }',
];

const source = Readable.from(logs.map((l) => l + '\n'));

await pipelineAsync(
  source,
  new JsonParser(),
  new LevelFilter('warn'),
  new Formatter(),
  process.stdout
);","Loading entire large files into memory, parsing everything at once, and filtering afterward, causing out-of-memory crashes on large datasets.",High,Positive — constant memory usage,"stream, through2, csv-parse, ndjson",https://nodejs.org/api/stream.html
18,Chain of Responsibility,Behavioral,"chain, handler, responsibility, validation, processing","Passes a request along a chain of handlers, where each handler decides to process the request or pass it to the next handler.","When multiple handlers can process a request; when the handler chain should be configurable at runtime; when you want to decouple senders from receivers.","When a single handler always handles the request; when the chain ordering becomes fragile and hard to debug.","interface ValidationResult {
  valid: boolean;
  errors: string[];
}

interface RegistrationData {
  email: string;
  password: string;
  username: string;
  age: number;
}

abstract class ValidationHandler {
  private nextHandler: ValidationHandler | null = null;

  setNext(handler: ValidationHandler): ValidationHandler {
    this.nextHandler = handler;
    return handler;
  }

  async validate(data: RegistrationData, errors: string[]): Promise<string[]> {
    await this.check(data, errors);
    if (this.nextHandler) {
      return this.nextHandler.validate(data, errors);
    }
    return errors;
  }

  protected abstract check(data: RegistrationData, errors: string[]): Promise<void>;
}

class EmailValidationHandler extends ValidationHandler {
  protected async check(data: RegistrationData, errors: string[]): Promise<void> {
    const emailRegex = /^[^\s@]+@[^\s@]+\.[^\s@]+$/;
    if (!emailRegex.test(data.email)) {
      errors.push('Invalid email format');
    }
  }
}

class PasswordStrengthHandler extends ValidationHandler {
  protected async check(data: RegistrationData, errors: string[]): Promise<void> {
    if (data.password.length < 8) {
      errors.push('Password must be at least 8 characters');
    }
    if (!/[A-Z]/.test(data.password)) {
      errors.push('Password must contain an uppercase letter');
    }
    if (!/[0-9]/.test(data.password)) {
      errors.push('Password must contain a digit');
    }
  }
}

class UsernameValidationHandler extends ValidationHandler {
  private reserved = new Set(['admin', 'root', 'system', 'moderator']);

  protected async check(data: RegistrationData, errors: string[]): Promise<void> {
    if (data.username.length < 3 || data.username.length > 20) {
      errors.push('Username must be 3-20 characters');
    }
    if (!/^[a-zA-Z0-9_]+$/.test(data.username)) {
      errors.push('Username can only contain letters, numbers, and underscores');
    }
    if (this.reserved.has(data.username.toLowerCase())) {
      errors.push('Username is reserved');
    }
  }
}

class AgeValidationHandler extends ValidationHandler {
  protected async check(data: RegistrationData, errors: string[]): Promise<void> {
    if (!Number.isInteger(data.age) || data.age < 13 || data.age > 150) {
      errors.push('Age must be an integer between 13 and 150');
    }
  }
}

// Build chain
const emailValidator = new EmailValidationHandler();
emailValidator
  .setNext(new PasswordStrengthHandler())
  .setNext(new UsernameValidationHandler())
  .setNext(new AgeValidationHandler());

// Usage
const errors = await emailValidator.validate(
  { email: 'bad-email', password: 'short', username: 'admin', age: 10 },
  []
);
console.log(errors.length === 0 ? 'Valid!' : `Errors: ${errors.join('; ')}`);","A single massive validation function with dozens of nested if-statements, making it impossible to reuse or reorder individual checks.",Medium,Negligible,"express-validator, joi, celebrate",https://refactoring.guru/design-patterns/chain-of-responsibility
19,Async Iterator,Behavioral,"async iterator, generator, lazy, pagination, streaming","Produces values asynchronously on demand using async generators, enabling lazy evaluation of async data sequences.","When fetching paginated API data; when processing items one at a time from a stream; when you want backpressure-aware lazy sequences.","When all data is already available in memory; when the overhead of async iteration is not justified for small collections.","interface Page<T> {
  data: T[];
  cursor: string | null;
}

interface User {
  id: string;
  name: string;
  email: string;
}

// Simulated paginated API
async function fetchUsersPage(cursor: string | null, limit: number): Promise<Page<User>> {
  // Simulate API call
  const pageNum = cursor ? parseInt(cursor, 10) : 0;
  const users: User[] = Array.from({ length: limit }, (_, i) => ({
    id: `user-${pageNum * limit + i}`,
    name: `User ${pageNum * limit + i}`,
    email: `user${pageNum * limit + i}@example.com`,
  }));

  const hasMore = pageNum < 4; // 5 pages total
  return {
    data: users,
    cursor: hasMore ? String(pageNum + 1) : null,
  };
}

// Async generator for paginated data
async function* paginatedUsers(pageSize: number = 10): AsyncGenerator<User, void, undefined> {
  let cursor: string | null = null;

  do {
    const page = await fetchUsersPage(cursor, pageSize);
    for (const user of page.data) {
      yield user;
    }
    cursor = page.cursor;
  } while (cursor !== null);
}

// Transform: async filter
async function* asyncFilter<T>(
  source: AsyncIterable<T>,
  predicate: (item: T) => boolean | Promise<boolean>
): AsyncGenerator<T> {
  for await (const item of source) {
    if (await predicate(item)) {
      yield item;
    }
  }
}

// Transform: async take
async function* asyncTake<T>(source: AsyncIterable<T>, count: number): AsyncGenerator<T> {
  let taken = 0;
  for await (const item of source) {
    if (taken >= count) return;
    yield item;
    taken++;
  }
}

// Usage: lazily paginate, filter, and take
const evenUsers = asyncFilter(paginatedUsers(10), (u) => parseInt(u.id.split('-')[1]) % 2 === 0);
const firstTen = asyncTake(evenUsers, 10);

for await (const user of firstTen) {
  console.log(`${user.id}: ${user.name}`);
}","Fetching all pages eagerly into a massive array before processing, wasting memory and delaying time-to-first-result.",Medium,Positive — lazy memory usage,"@databases/pg, mongoose cursor, node-fetch",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/for-await...of
20,State Machine,Behavioral,"state machine, finite state, transition, workflow","Models an object that changes behavior when its internal state changes, with explicit state transitions and guards.","When modeling workflows (orders, payments, approvals); when state transitions have rules and side effects; when you need audit trails.","When state logic is trivially simple (boolean toggle); when the number of states is very small and unlikely to grow.","type OrderState = 'draft' | 'submitted' | 'paid' | 'shipped' | 'delivered' | 'cancelled';

type OrderEvent =
  | { type: 'SUBMIT' }
  | { type: 'PAY'; transactionId: string }
  | { type: 'SHIP'; trackingNumber: string }
  | { type: 'DELIVER' }
  | { type: 'CANCEL'; reason: string };

interface OrderContext {
  orderId: string;
  state: OrderState;
  transactionId?: string;
  trackingNumber?: string;
  cancelReason?: string;
  history: Array<{ from: OrderState; to: OrderState; event: string; at: Date }>;
}

type TransitionMap = {
  [S in OrderState]?: {
    [E in OrderEvent['type']]?: {
      target: OrderState;
      guard?: (ctx: OrderContext, event: OrderEvent) => boolean;
      action?: (ctx: OrderContext, event: OrderEvent) => void;
    };
  };
};

const transitions: TransitionMap = {
  draft: {
    SUBMIT: { target: 'submitted' },
    CANCEL: {
      target: 'cancelled',
      action: (ctx, event) => {
        if (event.type === 'CANCEL') ctx.cancelReason = event.reason;
      },
    },
  },
  submitted: {
    PAY: {
      target: 'paid',
      action: (ctx, event) => {
        if (event.type === 'PAY') ctx.transactionId = event.transactionId;
      },
    },
    CANCEL: {
      target: 'cancelled',
      action: (ctx, event) => {
        if (event.type === 'CANCEL') ctx.cancelReason = event.reason;
      },
    },
  },
  paid: {
    SHIP: {
      target: 'shipped',
      action: (ctx, event) => {
        if (event.type === 'SHIP') ctx.trackingNumber = event.trackingNumber;
      },
    },
  },
  shipped: {
    DELIVER: { target: 'delivered' },
  },
};

function sendEvent(ctx: OrderContext, event: OrderEvent): OrderContext {
  const stateTransitions = transitions[ctx.state];
  if (!stateTransitions) throw new Error(`No transitions from state: ${ctx.state}`);

  const transition = stateTransitions[event.type];
  if (!transition) throw new Error(`Invalid event ${event.type} in state ${ctx.state}`);

  if (transition.guard && !transition.guard(ctx, event)) {
    throw new Error(`Guard rejected ${event.type} in state ${ctx.state}`);
  }

  const from = ctx.state;
  ctx.state = transition.target;
  transition.action?.(ctx, event);
  ctx.history.push({ from, to: ctx.state, event: event.type, at: new Date() });

  return ctx;
}

// Usage
let order: OrderContext = { orderId: 'ord-1', state: 'draft', history: [] };
order = sendEvent(order, { type: 'SUBMIT' });
order = sendEvent(order, { type: 'PAY', transactionId: 'txn-123' });
order = sendEvent(order, { type: 'SHIP', trackingNumber: 'TRACK-456' });
order = sendEvent(order, { type: 'DELIVER' });
console.log('Final state:', order.state);
console.log('History:', order.history);","Using scattered boolean flags (isPaid, isShipped, isCancelled) with inconsistent checking logic, allowing impossible state combinations.",High,Negligible,"xstate, robot, stately",https://xstate.js.org/docs/
21,Discriminated Unions,TypeScript-Specific,"discriminated union, tagged union, type narrowing, ADT","Uses a common literal property (discriminant) to distinguish between union members, enabling exhaustive type-safe handling.","When modeling values that can be one of several shapes; when you need exhaustive switch/case handling; when replacing class hierarchies.","When there is only one shape; when the discriminant adds no clarity.","type Shape =
  | { kind: 'circle'; radius: number }
  | { kind: 'rectangle'; width: number; height: number }
  | { kind: 'triangle'; base: number; height: number };

function calculateArea(shape: Shape): number {
  switch (shape.kind) {
    case 'circle':
      return Math.PI * shape.radius ** 2;
    case 'rectangle':
      return shape.width * shape.height;
    case 'triangle':
      return (shape.base * shape.height) / 2;
    default: {
      // Exhaustiveness check: if a new shape is added without handling,
      // this line will produce a compile-time error.
      const _exhaustive: never = shape;
      throw new Error(`Unknown shape: ${JSON.stringify(_exhaustive)}`);
    }
  }
}

function describeShape(shape: Shape): string {
  switch (shape.kind) {
    case 'circle':
      return `Circle with radius ${shape.radius}`;
    case 'rectangle':
      return `Rectangle ${shape.width}x${shape.height}`;
    case 'triangle':
      return `Triangle base=${shape.base} height=${shape.height}`;
  }
}

// Usage
const shapes: Shape[] = [
  { kind: 'circle', radius: 5 },
  { kind: 'rectangle', width: 10, height: 3 },
  { kind: 'triangle', base: 6, height: 4 },
];

for (const s of shapes) {
  console.log(`${describeShape(s)}: area = ${calculateArea(s).toFixed(2)}`);
}","Using a single object with many optional fields and checking which ones are defined, leading to runtime errors when fields are unexpectedly undefined.",Low,Negligible,typescript (built-in),https://www.typescriptlang.org/docs/handbook/2/narrowing.html#discriminated-unions
22,Type Guards,TypeScript-Specific,"type guard, narrowing, runtime check, is keyword","Runtime functions that narrow a value's type within a conditional block, bridging the gap between runtime checks and compile-time types.","When working with unknown data (API responses, user input); when narrowing union types; when custom validation logic determines the type.","When the type is already known at compile time; when simple typeof or instanceof checks suffice without a custom guard.","interface ApiSuccessResponse<T> {
  status: 'success';
  data: T;
  timestamp: string;
}

interface ApiErrorResponse {
  status: 'error';
  error: {
    code: string;
    message: string;
    details?: Record<string, string[]>;
  };
  timestamp: string;
}

type ApiResponse<T> = ApiSuccessResponse<T> | ApiErrorResponse;

// Type guard for API response
function isApiError<T>(response: ApiResponse<T>): response is ApiErrorResponse {
  return response.status === 'error';
}

// Type guard for non-null
function isNotNull<T>(value: T | null | undefined): value is T {
  return value !== null && value !== undefined;
}

// Type guard with validation for unknown data
interface UserProfile {
  id: string;
  email: string;
  age: number;
}

function isUserProfile(value: unknown): value is UserProfile {
  if (typeof value !== 'object' || value === null) return false;
  const obj = value as Record<string, unknown>;
  return (
    typeof obj.id === 'string' &&
    typeof obj.email === 'string' &&
    typeof obj.age === 'number' &&
    Number.isInteger(obj.age) &&
    obj.age >= 0
  );
}

// Assertion function (throws if invalid)
function assertIsUserProfile(value: unknown): asserts value is UserProfile {
  if (!isUserProfile(value)) {
    throw new TypeError(`Invalid UserProfile: ${JSON.stringify(value)}`);
  }
}

// Usage
async function fetchUser(id: string): Promise<UserProfile> {
  const response: ApiResponse<unknown> = {
    status: 'success',
    data: { id, email: 'alice@example.com', age: 30 },
    timestamp: new Date().toISOString(),
  };

  if (isApiError(response)) {
    throw new Error(`API error: ${response.error.message}`);
  }

  // response is narrowed to ApiSuccessResponse<unknown>
  assertIsUserProfile(response.data);

  // response.data is now UserProfile
  console.log(`Fetched user: ${response.data.email}, age: ${response.data.age}`);
  return response.data;
}

// Filter nulls type-safely
const maybeUsers: (UserProfile | null)[] = [
  { id: '1', email: 'a@b.com', age: 25 },
  null,
  { id: '2', email: 'c@d.com', age: 30 },
];
const users: UserProfile[] = maybeUsers.filter(isNotNull);
console.log(users);
await fetchUser('1');","Using 'as' type assertions everywhere to silence the compiler without actual runtime validation, leading to crashes on unexpected data.",Low,Negligible,typescript (built-in),https://www.typescriptlang.org/docs/handbook/2/narrowing.html
