No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
11,Network,HTTP Keep-Alive,"keep-alive,connection reuse,agent,tcp,http client","By default Node.js http.Agent creates a new TCP connection for each request to external services. Enabling keep-alive reuses connections, eliminating TCP handshake and TLS negotiation overhead on subsequent requests.","Use http.Agent or https.Agent with keepAlive: true. Set maxSockets and maxFreeSockets appropriately. Use undici for even better performance with HTTP/1.1 connection pooling.","Never create a new Agent per request. Never set maxSockets too low (causes queuing) or too high (overwhelms the target server). Never forget to destroy the agent on process shutdown.","import { Agent } from 'https';
import { request } from 'undici';

// GOOD: Reuse connections with built-in agent
const agent = new Agent({
  keepAlive: true,
  maxSockets: 50,
  maxFreeSockets: 10,
  timeout: 60000,
});

// Or use undici for superior performance
async function fetchData(url: string): Promise<unknown> {
  const { body } = await request(url);
  return body.json();
}","import https from 'https';

// BAD: New connection per request (default behavior)
function fetchData(url: string): Promise<string> {
  return new Promise((resolve, reject) => {
    https.get(url, { agent: false }, (res) => {
      let data = '';
      res.on('data', (chunk) => (data += chunk));
      res.on('end', () => resolve(data));
    }).on('error', reject);
  });
}",high,"ss -s showing TIME_WAIT connections, autocannon latency to external service, undici diagnostics_channel metrics"
12,Network,Response Compression (gzip/brotli),"compression,gzip,brotli,transfer,encoding","Uncompressed JSON or HTML responses waste bandwidth and increase transfer times. gzip typically reduces payload size by 70-90%. Brotli achieves 15-20% better compression than gzip at similar speeds for text content.","Use compression middleware (e.g., @fastify/compress, compression for Express). Prefer brotli for static assets and gzip for dynamic responses. Set a minimum size threshold (typically 1KB). Cache compressed responses when possible.","Never compress already-compressed content (images, videos, zip files). Never use highest brotli compression level for dynamic responses (too slow). Never skip the Content-Encoding header.","import Fastify from 'fastify';
import compress from '@fastify/compress';

const app = Fastify();

await app.register(compress, {
  global: true,
  encodings: ['br', 'gzip'],
  threshold: 1024,
});

app.get('/data', async () => {
  return { items: generateLargeDataset() };
  // Response automatically compressed based on Accept-Encoding
});","import express from 'express';

const app = express();

// BAD: No compression, sends raw JSON
app.get('/data', (req, res) => {
  const data = generateLargeDataset();
  // 500KB JSON sent uncompressed over the wire
  res.json(data);
});",high,"curl -H 'Accept-Encoding: br' -w '%{size_download}' to compare sizes, lighthouse performance audit, network tab transfer vs actual size"
13,Database,Database Indexing,"index,query plan,explain,btree,compound","Queries without proper indexes force full table scans, reading every row to find matches. An index creates a B-tree or hash structure enabling O(log n) lookups instead of O(n) scans, reducing query time from seconds to milliseconds.","Create indexes on columns used in WHERE, JOIN, ORDER BY, and GROUP BY clauses. Use compound indexes matching query patterns (leftmost prefix rule). Analyze queries with EXPLAIN ANALYZE. Add partial indexes for filtered subsets.","Never create indexes on every column (each index slows writes and consumes storage). Never ignore index maintenance (REINDEX, VACUUM ANALYZE). Never rely solely on ORM auto-generated queries without checking their plans.","import { Pool } from 'pg';

const pool = new Pool();

// GOOD: Query leveraging compound index
// CREATE INDEX idx_orders_user_status ON orders (user_id, status, created_at DESC);
async function getUserOrders(userId: number, status: string): Promise<Order[]> {
  const { rows } = await pool.query(
    'SELECT id, total, created_at FROM orders WHERE user_id = $1 AND status = $2 ORDER BY created_at DESC LIMIT 20',
    [userId, status],
  );
  return rows;
}","import { Pool } from 'pg';

const pool = new Pool();

// BAD: No index on (user_id, status) causes full table scan
async function getUserOrders(userId: number): Promise<Order[]> {
  const { rows } = await pool.query(
    'SELECT * FROM orders WHERE user_id = $1 AND status = $2 ORDER BY created_at DESC',
    [userId, 'active'],
  );
  return rows;
}",critical,"EXPLAIN ANALYZE query execution time and scan type, pg_stat_user_indexes for index usage, pg_stat_user_tables seq_scan vs idx_scan ratio"
14,Memory,Avoiding Memory Leaks in EventEmitter,"eventemitter,listener,leak,removeListener,maxListeners","Adding event listeners without removing them (e.g., in request handlers or recurring operations) causes listener count to grow unboundedly. Each listener retains a reference to its callback and closure scope, preventing garbage collection.","Always remove listeners when they are no longer needed (removeListener, off, AbortController). Use once() for one-time listeners. Set emitter.setMaxListeners() as a safety net. Use AbortSignal for cleanup.","Never add listeners in a loop or request handler without corresponding removal. Never ignore the MaxListenersExceededWarning (it signals a real leak). Never rely on process exit to clean up listeners.","import { EventEmitter } from 'events';

const emitter = new EventEmitter();

// GOOD: Use once() for single-use listeners
emitter.once('config-change', (newConfig: Config) => {
  applyConfig(newConfig);
});

// GOOD: Use AbortController for cleanup
function subscribe(emitter: EventEmitter, signal: AbortSignal): void {
  const handler = (data: unknown) => process(data);
  emitter.on('data', handler);
  signal.addEventListener('abort', () => emitter.off('data', handler));
}","import { EventEmitter } from 'events';

const emitter = new EventEmitter();

// BAD: Adds a new listener on every request, never removed
app.get('/stream', (req, res) => {
  emitter.on('update', (data) => {
    res.write(JSON.stringify(data));
  });
  // Listener persists after response ends!
});",high,"process.memoryUsage().heapUsed over time, emitter.listenerCount('event'), --inspect heap snapshot comparing listener arrays"
15,Async,Promise.all for Parallel I/O,"promise.all,parallel,concurrent,async,await","Using await sequentially for independent I/O operations means total time equals the sum of all operation durations. Promise.all runs them concurrently, so total time equals only the slowest operation.","Use Promise.all for independent I/O (parallel API calls, parallel DB queries, parallel file reads). Use Promise.allSettled when you need results even if some fail. Limit concurrency with p-limit for large batches.","Never use Promise.all for dependent operations (where one result feeds into the next). Never await in a loop for independent operations. Never Promise.all an unbounded array without concurrency limits.","import pLimit from 'p-limit';

const limit = pLimit(10); // max 10 concurrent

// GOOD: Parallel fetch with concurrency limit
async function fetchAllUsers(ids: number[]): Promise<User[]> {
  const tasks = ids.map((id) => limit(() => fetchUser(id)));
  return Promise.all(tasks);
}

// GOOD: Parallel independent queries
async function getDashboard(userId: number) {
  const [profile, orders, notifications] = await Promise.all([
    getProfile(userId),
    getOrders(userId),
    getNotifications(userId),
  ]);
  return { profile, orders, notifications };
}","// BAD: Sequential await for independent operations
async function getDashboard(userId: number) {
  const profile = await getProfile(userId);       // 50ms
  const orders = await getOrders(userId);          // 80ms
  const notifications = await getNotifications(userId); // 30ms
  // Total: 160ms instead of ~80ms
  return { profile, orders, notifications };
}",high,"console.time/console.timeEnd around the parallel block, clinic.js bubbleprof showing async gaps, OpenTelemetry span durations"
16,Observability,Efficient Logging (Pino),"logging,pino,async,console.log,structured","console.log is synchronous and blocks the event loop on every call. In production under high throughput it becomes a significant bottleneck. Pino uses asynchronous writing and low-overhead JSON serialization.","Use pino with pino.destination() for async file or stdout writing. Use structured JSON logging. Set appropriate log levels per environment. Pipe to pino-pretty only in development. Use child loggers for request context.","Never use console.log in production hot paths. Never log entire request/response bodies at info level. Never use synchronous transports (like writing to files with writeFileSync in a custom logger).","import pino from 'pino';

const logger = pino({
  level: process.env.LOG_LEVEL ?? 'info',
  transport: process.env.NODE_ENV === 'development'
    ? { target: 'pino-pretty' }
    : undefined,
});

// GOOD: Structured async logging with child context
app.use((req, res, next) => {
  req.log = logger.child({ requestId: req.id, method: req.method, url: req.url });
  req.log.info('request started');
  next();
});","// BAD: console.log blocks event loop, unstructured output
app.use((req, res, next) => {
  console.log('Request:', req.method, req.url, new Date().toISOString());
  console.log('Headers:', JSON.stringify(req.headers));
  console.log('Body:', JSON.stringify(req.body));
  next();
});",medium,"autocannon throughput with/without logging, clinic.js flame showing console.log blocking, pino.destination() benchmark vs console"
17,Protection,Rate Limiting,"rate limit,throttle,ddos,brute force,token bucket","Without rate limiting a single client can exhaust server resources with rapid requests, causing denial of service for all users. Rate limiting caps the number of requests per client per time window.","Use a token bucket or sliding window algorithm. Store counters in Redis for distributed deployments. Apply different limits per endpoint (stricter for auth, looser for reads). Return 429 with Retry-After header.","Never rely solely on in-memory rate limiting in clustered/multi-instance deployments. Never rate limit by IP only behind a shared proxy (use API keys or user IDs). Never set limits so high they provide no protection.","import Fastify from 'fastify';
import rateLimit from '@fastify/rate-limit';

const app = Fastify();

await app.register(rateLimit, {
  max: 100,
  timeWindow: '1 minute',
  redis: redisClient,
  keyGenerator: (req) => req.headers['x-api-key'] as string ?? req.ip,
});

app.get('/api/data', async (req) => {
  return { data: await fetchData() };
});","import express from 'express';

const app = express();

// BAD: No rate limiting, vulnerable to abuse
app.post('/api/login', async (req, res) => {
  // Attacker can try millions of passwords
  const result = await authenticate(req.body.email, req.body.password);
  res.json(result);
});",high,"redis-cli monitor showing rate limit key operations, 429 response rate in access logs, autocannon testing rate limit boundaries"
18,Database,Query Optimization (SELECT fields),"select,columns,projection,bandwidth,transfer","SELECT * fetches all columns including large text fields, BLOBs, and unused data. This wastes database I/O, network bandwidth, and application memory. Selecting only needed columns can reduce data transfer by 80%+.","Always specify the exact columns you need. Use TypeScript interfaces to enforce the shape. Create database views for common projections. Use ORMs select/pick methods.","Never use SELECT * in production code. Never fetch BLOB or large TEXT columns unless explicitly needed. Never ignore the cost of serializing and deserializing unused columns.","import { Pool } from 'pg';

const pool = new Pool();

interface UserSummary {
  id: number;
  name: string;
  email: string;
}

// GOOD: Select only the columns needed for the list view
async function getUserList(): Promise<UserSummary[]> {
  const { rows } = await pool.query(
    'SELECT id, name, email FROM users WHERE active = true ORDER BY name LIMIT 50',
  );
  return rows;
}","import { Pool } from 'pg';

const pool = new Pool();

// BAD: SELECT * fetches bio (TEXT), avatar (BYTEA), metadata (JSONB)
async function getUserList(): Promise<unknown[]> {
  const { rows } = await pool.query('SELECT * FROM users WHERE active = true');
  // Transfers megabytes of unused blob and text data
  return rows;
}",medium,"EXPLAIN ANALYZE showing I/O cost difference, network bytes transferred per query, pg_stat_user_tables n_tup_read vs returned"
19,I/O,Image/Asset Optimization,"image,sharp,cdn,resize,webp,lazy load","Serving unoptimized images (original resolution, uncompressed format) wastes bandwidth and degrades user experience. Processing images on-the-fly without caching wastes CPU. A CDN with optimized variants solves both.","Use sharp for server-side image processing (resize, format conversion to webp/avif). Generate multiple size variants at upload time. Serve through a CDN with proper cache headers. Use lazy loading on the client.","Never process images on every request without caching. Never serve original multi-megabyte uploads directly to clients. Never block the main thread with image processing (use worker threads or a separate service).","import sharp from 'sharp';
import { resolve } from 'path';

interface ImageVariant {
  width: number;
  suffix: string;
}

const VARIANTS: ImageVariant[] = [
  { width: 200, suffix: 'thumb' },
  { width: 800, suffix: 'medium' },
  { width: 1600, suffix: 'large' },
];

async function processUpload(inputPath: string, outputDir: string): Promise<void> {
  await Promise.all(
    VARIANTS.map((v) =>
      sharp(inputPath).resize(v.width).webp({ quality: 80 }).toFile(resolve(outputDir, `${v.suffix}.webp`)),
    ),
  );
}","// BAD: Serve original 5MB image, resize on every request
app.get('/image/:id', async (req, res) => {
  const original = await fs.readFile(`/uploads/${req.params.id}.png`);
  const resized = await sharp(original).resize(800).toBuffer();
  res.type('image/png').send(resized);
});",medium,"lighthouse image audit score, network transfer size before/after, sharp.cache() statistics, CDN cache hit ratio"
20,Debugging,Profiling with clinic.js,"clinic,flamegraph,bubbleprof,profiling,bottleneck","Without profiling you are guessing where bottlenecks are. clinic.js provides three tools: Doctor (overall health), Flame (CPU flamegraphs), and Bubbleprof (async flow visualization), each targeting different performance issues.","Run clinic doctor first for an overview. Use clinic flame to identify CPU hotspots. Use clinic bubbleprof for async bottlenecks. Profile under realistic load (use autocannon). Compare before/after profiles.","Never profile in production without understanding the overhead. Never optimize based on gut feeling without profiling data. Never ignore the event loop delay metric from clinic doctor.","import { monitorEventLoopDelay } from 'perf_hooks';

// Programmatic event loop monitoring
const histogram = monitorEventLoopDelay({ resolution: 20 });
histogram.enable();

setInterval(() => {
  console.log({
    min: histogram.min / 1e6,
    max: histogram.max / 1e6,
    mean: histogram.mean / 1e6,
    p99: histogram.percentile(99) / 1e6,
  });
  histogram.reset();
}, 5000);

// CLI: clinic doctor -- node server.js
// CLI: clinic flame -- node server.js","// BAD: Guessing at performance issues
// ""I think the database is slow, let me add caching everywhere""
// No profiling data, no baseline measurement

app.get('/slow', async (req, res) => {
  // Add random caching without knowing what is actually slow
  const cached = cache.get('data');
  if (cached) return res.json(cached);
  const data = await getDataThatIsNotActuallyTheProblem();
  cache.set('data', data, 60);
  res.json(data);
});",medium,"clinic doctor summary score, clinic flame CPU time per function, monitorEventLoopDelay p99 values, autocannon latency percentiles"
21,Memory,Buffer Pooling,"buffer,pool,allocation,reuse,gc","Allocating new Buffers for every operation creates GC pressure. For high-throughput scenarios (network protocols, file processing), reusing pre-allocated buffers from a pool eliminates repeated allocation and garbage collection overhead.","Pre-allocate a pool of buffers for known sizes. Use Buffer.allocUnsafe() when you will fill the entire buffer. Implement acquire/release semantics. Track pool utilization metrics.","Never use Buffer.alloc() in hot paths when you will immediately overwrite the contents (use allocUnsafe). Never forget to release buffers back to the pool. Never share buffers across async boundaries without copying.","class BufferPool {
  private pool: Buffer[] = [];
  constructor(private size: number, private prealloc: number) {
    for (let i = 0; i < prealloc; i++) {
      this.pool.push(Buffer.allocUnsafe(size));
    }
  }
  acquire(): Buffer {
    return this.pool.pop() ?? Buffer.allocUnsafe(this.size);
  }
  release(buf: Buffer): void {
    if (buf.length === this.size && this.pool.length < this.prealloc * 2) {
      this.pool.push(buf);
    }
  }
}

const pool = new BufferPool(4096, 100);","// BAD: Allocate new buffer for every packet
function handlePacket(data: Uint8Array): Buffer {
  const buf = Buffer.alloc(4096); // zeroed allocation every time
  data.forEach((byte, i) => (buf[i] = byte));
  return buf;
  // buf becomes garbage immediately after use
}",medium,"process.memoryUsage().heapUsed stability under load, --trace-gc output frequency, v8.getHeapStatistics() external_memory"
22,CPU,Avoiding Regex Catastrophic Backtracking,"regex,backtracking,redos,safe,catastrophic","Poorly written regular expressions with nested quantifiers can cause exponential backtracking on certain inputs. An attacker can craft a malicious string that causes a regex to run for minutes or hours, blocking the event loop completely (ReDoS attack).","Use safe-regex or rxxr2 to validate patterns. Prefer atomic groups or possessive quantifiers where supported. Use re2 (Google RE2) for untrusted input, which guarantees linear-time matching. Set timeouts on regex operations.","Never use nested quantifiers like (a+)+ or (a|b+)* on untrusted input. Never assume a regex is safe without testing with adversarial inputs. Never apply complex regex to unbounded input strings.","import RE2 from 're2';

// GOOD: Use RE2 for guaranteed linear-time matching
const safeEmailRegex = new RE2('^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,}$');

function validateEmail(input: string): boolean {
  return safeEmailRegex.test(input);
}

// GOOD: Bounded input + simple pattern
function parseLogLine(line: string): string | null {
  if (line.length > 10000) return null; // bound input
  const match = /^\[(\d{4}-\d{2}-\d{2})\]/.exec(line);
  return match?.[1] ?? null;
}","// BAD: Catastrophic backtracking vulnerability
const emailRegex = /^([a-zA-Z0-9]+)*@([a-zA-Z0-9]+)*\.([a-zA-Z]+)*$/;

function validateEmail(input: string): boolean {
  // Attacker sends: 'aaaaaaaaaaaaaaaaaaaaaaaa!'
  // Regex engine backtracks exponentially
  return emailRegex.test(input);
}",critical,"safe-regex npm package check, time regex execution with performance.now(), clinic.js flame showing regex CPU time, re2 benchmark comparison"
23,Network,HTTP/2 Server Push,"http2,multiplexing,server push,latency,protocol","HTTP/1.1 suffers from head-of-line blocking and requires multiple TCP connections for parallelism. HTTP/2 multiplexes streams over a single connection and supports server push, reducing latency and connection overhead significantly.","Use Node.js built-in http2 module. Enable ALPN negotiation for HTTP/2 with TLS. Use multiplexing for API microservices communication. Configure proper flow control settings.","Never use HTTP/2 server push blindly (browsers are deprecating it). Never assume HTTP/2 is always faster for single small requests. Never forget TLS is essentially required for HTTP/2 in browsers.","import { createSecureServer } from 'http2';
import { readFileSync } from 'fs';

const server = createSecureServer({
  key: readFileSync('server.key'),
  cert: readFileSync('server.crt'),
  allowHTTP1: true,
});

server.on('stream', (stream, headers) => {
  const path = headers[':path'];
  if (path === '/') {
    stream.respond({ ':status': 200, 'content-type': 'text/html' });
    stream.end('<html><script src=""/app.js""></script></html>');
  } else if (path === '/app.js') {
    stream.respond({ ':status': 200, 'content-type': 'application/javascript' });
    stream.end('console.log(""loaded"");');
  }
});

server.listen(8443);","import { createServer } from 'http';

// BAD: HTTP/1.1 with head-of-line blocking
const server = createServer((req, res) => {
  if (req.url === '/') {
    res.end('<html><script src=""/app.js""></script></html>');
  }
  // Client must wait for HTML, parse, then make separate request for app.js
});

server.listen(3000);",medium,"h2load benchmarking tool, curl --http2 timing, lighthouse protocol audit, network waterfall comparison in DevTools"
