No,Pattern Name,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
11,JoinSet,"JoinSet, spawn, collect, concurrent tasks","Use tokio::task::JoinSet to manage a dynamic set of spawned tasks and collect their results","Use JoinSet when spawning a variable number of tasks; call .join_next().await to collect results as they complete","Use Vec<JoinHandle> when JoinSet provides cleaner task management and automatic cleanup","use tokio::task::JoinSet;\n\nlet mut set = JoinSet::new();\n\nfor url in urls {\n    set.spawn(async move {\n        reqwest::get(&url).await?.text().await\n    });\n}\n\nwhile let Some(result) = set.join_next().await {\n    match result {\n        Ok(Ok(body)) => println!(""got {} bytes"", body.len()),\n        Ok(Err(e)) => eprintln!(""request error: {e}""),\n        Err(e) => eprintln!(""task panicked: {e}""),\n    }\n}","let mut handles = Vec::new();\nfor url in urls {\n    handles.push(tokio::spawn(async move {\n        reqwest::get(&url).await?.text().await\n    }));\n}\n// must manually iterate and join all handles\n// JoinSet handles cleanup on drop automatically",Medium,https://docs.rs/tokio/latest/tokio/task/struct.JoinSet.html
12,Spawn Blocking,"spawn_blocking, blocking, threadpool, sync","Run synchronous blocking code on a dedicated thread pool without blocking async workers","Use tokio::task::spawn_blocking for CPU-heavy or blocking I/O that cannot be made async","Call blocking operations directly in async context; this blocks the Tokio worker thread","async fn hash_password(password: String) -> Result<String, argon2::Error> {\n    tokio::task::spawn_blocking(move || {\n        let salt = argon2::password_hash::SaltString::generate(&mut OsRng);\n        let hash = Argon2::default()\n            .hash_password(password.as_bytes(), &salt)?\n            .to_string();\n        Ok(hash)\n    }).await.unwrap()\n}","async fn hash_password(password: &str) -> String {\n    // CPU-intensive hashing on async worker thread\n    // blocks the entire Tokio worker, starving other tasks\n    let hash = argon2::hash_encoded(password.as_bytes(), &salt, &config).unwrap();\n    hash\n}",Critical,https://docs.rs/tokio/latest/tokio/task/fn.spawn_blocking.html
13,Rayon Data Parallelism,"rayon, par_iter, parallel, CPU bound, data parallel","Use rayon parallel iterators for CPU-bound data processing across multiple cores","Use par_iter() as a drop-in replacement for iter() on CPU-bound work; use par_sort for parallel sorting","Use rayon for I/O-bound work; mix rayon with Tokio without spawn_blocking","use rayon::prelude::*;\n\nlet results: Vec<Hash> = files\n    .par_iter()\n    .map(|file| {\n        let data = std::fs::read(file).unwrap();\n        sha256::digest(&data)\n    })\n    .collect();\n\n// In async context: bridge via spawn_blocking\nasync fn parallel_hash(files: Vec<PathBuf>) -> Vec<Hash> {\n    tokio::task::spawn_blocking(move || {\n        files.par_iter().map(|f| hash_file(f)).collect()\n    }).await.unwrap()\n}","let results: Vec<Hash> = files\n    .iter()\n    .map(|file| {\n        let data = std::fs::read(file).unwrap();\n        sha256::digest(&data)\n    })\n    .collect();\n// single-threaded: wastes available CPU cores",Medium,https://docs.rs/rayon/latest/rayon/
14,Deadlock Prevention,"Mutex, order, lock, deadlock, hierarchy","Prevent deadlocks by acquiring locks in a consistent global order","Always acquire multiple locks in the same order; use try_lock for timeout-based acquisition; minimize lock scope","Acquire locks in different orders across different code paths; hold locks while calling unknown code","use std::sync::Mutex;\n\nstruct Transfer {\n    accounts: Vec<Mutex<Account>>,\n}\n\nimpl Transfer {\n    fn transfer(&self, from: usize, to: usize, amount: f64) {\n        // Always lock lower index first to prevent deadlock\n        let (first, second) = if from < to { (from, to) } else { (to, from) };\n        let mut a = self.accounts[first].lock().unwrap();\n        let mut b = self.accounts[second].lock().unwrap();\n        if from < to {\n            a.balance -= amount;\n            b.balance += amount;\n        } else {\n            b.balance -= amount;\n            a.balance += amount;\n        }\n    }\n}","fn transfer(from: &Mutex<Account>, to: &Mutex<Account>, amount: f64) {\n    let mut a = from.lock().unwrap();\n    let mut b = to.lock().unwrap(); // deadlock if another thread locks in reverse\n    a.balance -= amount;\n    b.balance += amount;\n}",Critical,https://doc.rust-lang.org/book/ch16-03-shared-state.html
15,Async Stream,"Stream, async iterator, yield, async-stream","Use async streams to produce a sequence of values asynchronously, similar to async iterators","Use the async-stream crate or implement Stream manually; use StreamExt for combinators like .next() and .map()","Collect all values into a Vec when lazy streaming would save memory and reduce latency","use async_stream::stream;\nuse tokio_stream::StreamExt;\n\nfn page_results(client: &Client) -> impl Stream<Item = Vec<Record>> + '_ {\n    stream! {\n        let mut page = 1;\n        loop {\n            let records = client.fetch_page(page).await;\n            if records.is_empty() { break; }\n            yield records;\n            page += 1;\n        }\n    }\n}\n\n// Consumer:\nlet mut stream = std::pin::pin!(page_results(&client));\nwhile let Some(batch) = stream.next().await {\n    process(batch);\n}","async fn all_results(client: &Client) -> Vec<Record> {\n    let mut all = Vec::new();\n    let mut page = 1;\n    loop {\n        let records = client.fetch_page(page).await;\n        if records.is_empty() { break; }\n        all.extend(records);\n        page += 1;\n    }\n    all // loads everything into memory before processing\n}",Medium,https://docs.rs/async-stream/latest/async_stream/
16,Actor Pattern,"actor, message, handle, mpsc, state","Encapsulate mutable state in a task that processes messages sequentially via a channel","Spawn a task with an mpsc receiver loop; expose a handle struct with async methods that send messages","Share mutable state with Arc<Mutex<T>> across many tasks when actor pattern is cleaner","struct CounterHandle {\n    tx: mpsc::Sender<CounterMsg>,\n}\n\nenum CounterMsg {\n    Increment,\n    Get(oneshot::Sender<u64>),\n}\n\nimpl CounterHandle {\n    fn new() -> Self {\n        let (tx, mut rx) = mpsc::channel(32);\n        tokio::spawn(async move {\n            let mut count: u64 = 0;\n            while let Some(msg) = rx.recv().await {\n                match msg {\n                    CounterMsg::Increment => count += 1,\n                    CounterMsg::Get(reply) => { let _ = reply.send(count); }\n                }\n            }\n        });\n        Self { tx }\n    }\n    async fn increment(&self) { self.tx.send(CounterMsg::Increment).await.unwrap(); }\n    async fn get(&self) -> u64 {\n        let (tx, rx) = oneshot::channel();\n        self.tx.send(CounterMsg::Get(tx)).await.unwrap();\n        rx.await.unwrap()\n    }\n}","let counter = Arc::new(Mutex::new(0u64));\n// every access requires locking\n// high contention with many tasks\n// no message batching or prioritization",Medium,https://ryhl.io/blog/actors-with-tokio/
17,Scoped Threads,"thread::scope, scoped, borrowing, std::thread","Use std::thread::scope to spawn threads that can borrow from the enclosing stack frame","Use thread::scope when spawned threads need to reference local data; threads are guaranteed to join before scope exits","Spawn threads with std::thread::spawn and clone data unnecessarily; use Arc when scope would suffice","use std::thread;\n\nlet mut data = vec![1, 2, 3, 4, 5];\n\nthread::scope(|s| {\n    let chunk_size = data.len() / 2;\n    let (left, right) = data.split_at_mut(chunk_size);\n    s.spawn(|| {\n        for x in left.iter_mut() { *x *= 2; }\n    });\n    s.spawn(|| {\n        for x in right.iter_mut() { *x *= 3; }\n    });\n});\n// data is now modified: [2, 4, 9, 12, 15]","let data = vec![1, 2, 3, 4, 5];\nlet data = Arc::new(Mutex::new(data));\nlet d1 = data.clone();\nlet d2 = data.clone();\nlet h1 = thread::spawn(move || { /* lock and modify */ });\nlet h2 = thread::spawn(move || { /* lock and modify */ });\n// unnecessary Arc, Mutex, and cloning",Medium,https://doc.rust-lang.org/std/thread/fn.scope.html
18,Atomic Operations,"AtomicU64, AtomicBool, Ordering, lock-free","Use atomic types for simple counters and flags without mutex overhead","Use AtomicU64/AtomicBool for counters and flags; choose appropriate Ordering (Relaxed for counters, SeqCst when unsure)","Use Mutex for a single counter; use Relaxed ordering when you need happens-before guarantees","use std::sync::atomic::{AtomicU64, Ordering};\n\nstruct Metrics {\n    requests: AtomicU64,\n    errors: AtomicU64,\n}\n\nimpl Metrics {\n    fn new() -> Self {\n        Self {\n            requests: AtomicU64::new(0),\n            errors: AtomicU64::new(0),\n        }\n    }\n    fn record_request(&self) { self.requests.fetch_add(1, Ordering::Relaxed); }\n    fn record_error(&self) { self.errors.fetch_add(1, Ordering::Relaxed); }\n    fn snapshot(&self) -> (u64, u64) {\n        (self.requests.load(Ordering::Relaxed), self.errors.load(Ordering::Relaxed))\n    }\n}","use std::sync::Mutex;\nstruct Metrics {\n    requests: Mutex<u64>,\n    errors: Mutex<u64>,\n}\nimpl Metrics {\n    fn record_request(&self) {\n        *self.requests.lock().unwrap() += 1; // mutex overhead for a simple counter\n    }\n}",Medium,https://doc.rust-lang.org/std/sync/atomic/index.html
19,Cooperative Cancellation,"CancellationToken, cancel, cooperative, graceful","Use CancellationToken from tokio-util for cooperative cancellation across task hierarchies","Create child tokens from parent tokens; check cancellation in loops; use select! with token.cancelled()","Use abrupt task abort which may leave resources in inconsistent state","use tokio_util::sync::CancellationToken;\n\nasync fn worker(token: CancellationToken) {\n    loop {\n        tokio::select! {\n            _ = token.cancelled() => {\n                println!(""shutting down gracefully"");\n                break;\n            }\n            _ = do_work() => {}\n        }\n    }\n}\n\nlet parent = CancellationToken::new();\nlet child = parent.child_token();\ntokio::spawn(worker(child));\n// parent.cancel() cancels all children","async fn worker(handle: tokio::task::JoinHandle<()>) {\n    // later:\n    handle.abort(); // abrupt cancellation\n    // resources may be left in inconsistent state\n    // no cleanup opportunity\n}",High,https://docs.rs/tokio-util/latest/tokio_util/sync/struct.CancellationToken.html
20,Buffered Futures,"FuturesUnordered, buffer_unordered, bounded, concurrent","Process many futures concurrently with bounded parallelism using StreamExt::buffer_unordered","Use .buffer_unordered(n) to limit concurrency; use FuturesUnordered for manual control","Await futures sequentially when they are independent; spawn unbounded tasks","use futures::stream::{self, StreamExt};\n\nasync fn fetch_all(urls: Vec<String>) -> Vec<String> {\n    stream::iter(urls)\n        .map(|url| async move {\n            reqwest::get(&url).await.unwrap().text().await.unwrap()\n        })\n        .buffer_unordered(10) // max 10 concurrent\n        .collect()\n        .await\n}","async fn fetch_all(urls: Vec<String>) -> Vec<String> {\n    let mut results = Vec::new();\n    for url in urls {\n        // sequential: each request waits for the previous\n        let body = reqwest::get(&url).await.unwrap().text().await.unwrap();\n        results.push(body);\n    }\n    results\n}",High,https://docs.rs/futures/latest/futures/stream/trait.StreamExt.html#method.buffer_unordered
21,Async Mutex vs Std Mutex,"tokio::sync::Mutex, std::sync::Mutex, async, blocking","Choose the right mutex type based on whether the lock is held across .await points","Use std::sync::Mutex for short synchronous critical sections even in async code; use tokio::sync::Mutex only when guard must be held across .await","Always use tokio::sync::Mutex in async code (it has higher overhead); use std::sync::Mutex across .await points","use std::sync::Mutex;\n\n// Good: short critical section, no .await while locked\nlet cache = Arc::new(Mutex::new(HashMap::new()));\n\nasync fn get_cached(cache: &Mutex<HashMap<String, String>>, key: &str) -> Option<String> {\n    let map = cache.lock().unwrap(); // lock held briefly\n    map.get(key).cloned()\n    // lock released here before any .await\n}","use std::sync::Mutex;\n\nasync fn update_cache(\n    cache: &Mutex<HashMap<String, String>>,\n    key: &str,\n) {\n    let mut map = cache.lock().unwrap();\n    let value = fetch_from_db(key).await; // .await with std Mutex held!\n    // holds the lock across .await, blocking the tokio worker\n    map.insert(key.to_string(), value);\n}",Critical,https://docs.rs/tokio/latest/tokio/sync/struct.Mutex.html
22,DashMap for Concurrent Maps,"DashMap, concurrent, hashmap, lock-free, sharded","Use DashMap for a concurrent hash map with fine-grained locking through sharding","Use DashMap for shared caches accessed by many tasks; use entry API for atomic insert-or-update; avoid holding refs across .await","Use Arc<Mutex<HashMap>> when DashMap provides better concurrency; hold DashMap refs across .await points","use dashmap::DashMap;\nuse std::sync::Arc;\n\nlet cache: Arc<DashMap<String, Vec<u8>>> = Arc::new(DashMap::new());\n\n// Insert:\ncache.insert(""key"".into(), vec![1, 2, 3]);\n\n// Get:\nif let Some(entry) = cache.get(""key"") {\n    println!(""{:?}"", entry.value());\n}\n\n// Entry API for atomic operations:\ncache.entry(""counter"".into())\n    .and_modify(|v| v.push(4))\n    .or_insert_with(|| vec![4]);","let cache = Arc::new(Mutex::new(HashMap::new()));\n// single lock for entire map\n// high contention with many concurrent readers/writers\n// DashMap uses sharded locks for much better throughput",Medium,https://docs.rs/dashmap/latest/dashmap/
23,Barrier,"Barrier, sync point, phase, rendezvous","Use a Barrier to synchronize multiple tasks/threads at a common point before proceeding","Use Barrier when all participants must reach a checkpoint before any can proceed; for phased parallel algorithms","Use Barrier when tasks can proceed independently; when the number of participants is dynamic","use std::sync::{Arc, Barrier};\nuse std::thread;\n\nlet barrier = Arc::new(Barrier::new(3));\n\nfor i in 0..3 {\n    let b = barrier.clone();\n    thread::spawn(move || {\n        println!(""thread {i} working..."");\n        // Phase 1 complete\n        b.wait(); // all threads sync here\n        println!(""thread {i} phase 2"");\n    });\n}","// No synchronization between phases:\nfor i in 0..3 {\n    thread::spawn(move || {\n        phase1(i);\n        phase2(i); // may start before other threads finish phase1\n    });\n}",Low,https://doc.rust-lang.org/std/sync/struct.Barrier.html
24,Notify,"tokio::sync::Notify, signal, wake, event","Use Notify to signal one or all waiting tasks to wake up without sending data","Use Notify for simple wake-up signals; use notify_one() for single-consumer or notify_waiters() for broadcast","Use a channel just to send an empty message for signaling; over-engineer simple wake-up patterns","use tokio::sync::Notify;\nuse std::sync::Arc;\n\nlet notify = Arc::new(Notify::new());\n\n// Waiter:\nlet n = notify.clone();\ntokio::spawn(async move {\n    n.notified().await;\n    println!(""got signal, starting work"");\n});\n\n// Signaler:\ntokio::time::sleep(Duration::from_secs(1)).await;\nnotify.notify_one();","let (tx, mut rx) = mpsc::channel::<()>(1);\n\ntokio::spawn(async move {\n    rx.recv().await; // using a channel just for a signal\n});\n\ntx.send(()).await.unwrap(); // overcomplicated for a simple wake-up",Low,https://docs.rs/tokio/latest/tokio/sync/struct.Notify.html
25,Async Drop Workaround,"drop, cleanup, async, spawn","Work around the lack of async Drop by explicitly calling cleanup methods or using a shutdown task","Provide an explicit async shutdown/close method; use a background task for async cleanup; use AbortOnDrop wrappers","Assume Drop will run async cleanup (it cannot); block in Drop with block_on (panics inside Tokio)","struct DbPool {\n    pool: sqlx::PgPool,\n}\n\nimpl DbPool {\n    async fn close(self) {\n        self.pool.close().await;\n        println!(""pool closed cleanly"");\n    }\n}\n\n// Usage:\nlet pool = DbPool::new().await;\n// ... use pool ...\npool.close().await; // explicit async cleanup","struct DbPool {\n    pool: sqlx::PgPool,\n}\n\nimpl Drop for DbPool {\n    fn drop(&mut self) {\n        // Cannot .await in Drop!\n        // This panics inside a Tokio runtime:\n        tokio::runtime::Handle::current().block_on(async {\n            self.pool.close().await;\n        });\n    }\n}",High,https://doc.rust-lang.org/std/ops/trait.Drop.html
