No,Guideline,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
11,AsRef and AsMut,Conversion,"AsRef, AsMut, reference, generic, flexible","Accept AsRef<T> or AsMut<T> in function signatures for maximum flexibility with reference types","Use impl AsRef<Path> for path arguments; use impl AsRef<str> for string-like arguments; use impl AsRef<[u8]> for byte-like arguments","Require specific types like &str or &Path when AsRef would make the function more flexible","fn read_file(path: impl AsRef<std::path::Path>) -> std::io::Result<String> {\n    std::fs::read_to_string(path)\n}\n\n// Can now call with any of:\nread_file(""config.toml"");           // &str\nread_file(String::from(""config"")); // String\nread_file(Path::new(""config""));     // &Path\nread_file(PathBuf::from(""config"")); // PathBuf","fn read_file(path: &str) -> std::io::Result<String> {\n    std::fs::read_to_string(path)\n}\n\n// Cannot pass PathBuf or &Path directly\n// Forces callers to convert: read_file(path.to_str().unwrap())",High,https://doc.rust-lang.org/std/convert/trait.AsRef.html
12,Display vs Debug,Formatting,"Display, Debug, fmt, user-facing, developer","Display is for end-user-facing output; Debug is for developer diagnostics. Implement both when appropriate","Derive Debug for all types; implement Display for types shown to users; use # for pretty Debug formatting","Implement only Debug and use it for user-facing output; implement Display that shows internal fields","use std::fmt;\n\n#[derive(Debug)]\nstruct Money {\n    amount: i64,\n    currency: &'static str,\n}\n\nimpl fmt::Display for Money {\n    fn fmt(&self, f: &mut fmt::Formatter<'_>) -> fmt::Result {\n        let dollars = self.amount as f64 / 100.0;\n        write!(f, ""{}{:.2}"", self.currency, dollars)\n    }\n}\n\nlet price = Money { amount: 1999, currency: ""$"" };\nprintln!(""{price}"");   // $19.99 (user-friendly)\nprintln!(""{price:?}""); // Money { amount: 1999, currency: ""$"" }","let price = Money { amount: 1999, currency: ""$"" };\nprintln!(""{:?}"", price);\n// Money { amount: 1999, currency: ""$"" }\n// not user-friendly, shows internal representation",Medium,https://doc.rust-lang.org/std/fmt/trait.Display.html
13,Iterator Trait Implementation,Core,"Iterator, next, IntoIterator, custom","Implement Iterator for custom types to enable for loops and iterator combinators","Implement Iterator with type Item and fn next(); implement IntoIterator for owned and borrowed iteration","Return a Vec and force callers to iterate over it; implement Iterator on the collection itself instead of a separate iterator type","struct Fibonacci {\n    a: u64,\n    b: u64,\n}\n\nimpl Fibonacci {\n    fn new() -> Self { Self { a: 0, b: 1 } }\n}\n\nimpl Iterator for Fibonacci {\n    type Item = u64;\n    fn next(&mut self) -> Option<u64> {\n        let val = self.a;\n        self.a = self.b;\n        self.b = val + self.b;\n        Some(val)\n    }\n}\n\nlet fibs: Vec<u64> = Fibonacci::new().take(10).collect();","struct Fibonacci;\nimpl Fibonacci {\n    fn generate(n: usize) -> Vec<u64> {\n        let mut result = Vec::new();\n        // computes all values upfront\n        // no lazy evaluation, no composability\n        result\n    }\n}",Medium,https://doc.rust-lang.org/std/iter/trait.Iterator.html
14,Deref and DerefMut,Conversion,"Deref, DerefMut, smart pointer, transparent","Implement Deref for types that wrap a single inner value and should transparently expose its methods","Implement Deref for smart pointers and newtype wrappers; example: String derefs to str, Vec<T> derefs to [T]","Implement Deref for types that are not logically a smart pointer or wrapper; abuse Deref for inheritance-like behavior","use std::ops::Deref;\n\nstruct SortedVec<T: Ord>(Vec<T>);\n\nimpl<T: Ord> Deref for SortedVec<T> {\n    type Target = [T];\n    fn deref(&self) -> &[T] { &self.0 }\n}\n\nimpl<T: Ord> SortedVec<T> {\n    fn insert(&mut self, val: T) {\n        let pos = self.0.binary_search(&val).unwrap_or_else(|i| i);\n        self.0.insert(pos, val);\n    }\n}\n\nlet sv = SortedVec(vec![1, 3, 5]);\nassert_eq!(sv.len(), 3); // via Deref to [T]\nassert!(sv.contains(&3));","struct Config(HashMap<String, String>);\nimpl Deref for Config {\n    type Target = HashMap<String, String>;\n    fn deref(&self) -> &HashMap<String, String> { &self.0 }\n}\n// Config is not a smart pointer to HashMap\n// exposes all HashMap methods (remove, drain) breaking encapsulation",High,https://doc.rust-lang.org/std/ops/trait.Deref.html
15,Trait Bounds with where Clauses,Syntax,"where, trait bound, constraint, readable","Use where clauses for complex trait bounds to keep function signatures clean","Use where clauses when bounds are complex or reference multiple type parameters; keep simple single bounds inline","Cram complex bounds into the generic parameter list making the signature unreadable","fn process<T, U>(input: T, config: U) -> String\nwhere\n    T: AsRef<str> + Send + Sync,\n    U: serde::Serialize + Clone + Default,\n{\n    let s = input.as_ref();\n    let c = serde_json::to_string(&config).unwrap();\n    format!(""{s}: {c}"")\n}","fn process<T: AsRef<str> + Send + Sync, U: serde::Serialize + Clone + Default>(input: T, config: U) -> String {\n    // bounds inline makes the signature very hard to read\n    todo!()\n}",Medium,https://doc.rust-lang.org/book/ch10-02-traits.html#clearer-trait-bounds-with-where-clauses
16,Operator Overloading,Core,"Add, Sub, Mul, ops, operator, overload","Implement operator traits from std::ops to enable natural syntax for domain types","Implement operators when the semantics are clear and expected; implement both owned and reference versions","Overload operators with surprising semantics; implement Add for types where addition is not intuitive","use std::ops::Add;\n\n#[derive(Debug, Clone, Copy, PartialEq)]\nstruct Vec2 { x: f64, y: f64 }\n\nimpl Add for Vec2 {\n    type Output = Self;\n    fn add(self, rhs: Self) -> Self {\n        Vec2 { x: self.x + rhs.x, y: self.y + rhs.y }\n    }\n}\n\nimpl Add for &Vec2 {\n    type Output = Vec2;\n    fn add(self, rhs: &Vec2) -> Vec2 {\n        Vec2 { x: self.x + rhs.x, y: self.y + rhs.y }\n    }\n}\n\nlet a = Vec2 { x: 1.0, y: 2.0 };\nlet b = Vec2 { x: 3.0, y: 4.0 };\nlet c = a + b;","impl Add for User {\n    type Output = User;\n    fn add(self, rhs: User) -> User {\n        // what does adding two users mean?\n        // confusing and misleading\n        User { name: format!(""{} {}"", self.name, rhs.name) }\n    }\n}",Medium,https://doc.rust-lang.org/book/appendix-02-operators.html
17,Derive Macros for Traits,Automation,"derive, macro, proc_macro, custom derive","Use proc macro derives to automatically implement traits for custom types","Use derive macros for repetitive trait implementations; use popular crates like serde and thiserror; create custom derives for domain traits","Manually implement traits that could be derived; create derive macros for non-repetitive or complex logic","#[derive(Debug, Clone, PartialEq, Eq, Hash, serde::Serialize, serde::Deserialize)]\nstruct Config {\n    host: String,\n    port: u16,\n    #[serde(default = ""default_retries"")]\n    retries: u32,\n}\n\nfn default_retries() -> u32 { 3 }\n\n// 7 traits implemented in one line!","struct Config {\n    host: String,\n    port: u16,\n    retries: u32,\n}\n\nimpl Clone for Config {\n    fn clone(&self) -> Self {\n        Config {\n            host: self.host.clone(),\n            port: self.port,\n            retries: self.retries,\n        }\n    }\n}\n// manually implementing what #[derive(Clone)] does automatically",Low,https://doc.rust-lang.org/book/ch19-06-macros.html#how-to-write-a-custom-derive-macro
18,Send and Sync Traits,Concurrency,"Send, Sync, thread safety, marker, auto","Send means a type can be transferred across threads. Sync means a type can be shared via references across threads","Design types to be Send + Sync when possible; use Arc for shared ownership; understand when these auto traits are not implemented","Manually implement Send/Sync with unsafe without understanding the implications; use Rc<RefCell<T>> when Arc<Mutex<T>> is needed","use std::sync::Arc;\n\n// Automatically Send + Sync:\nstruct AppState {\n    db: Arc<sqlx::PgPool>,\n    config: Arc<Config>,\n}\n\nfn assert_thread_safe<T: Send + Sync>() {}\nassert_thread_safe::<AppState>(); // compiles!\n\n// Use in async context:\nasync fn handler(state: Arc<AppState>) {\n    // Can be sent across .await points\n}","use std::rc::Rc;\nuse std::cell::RefCell;\n\nstruct AppState {\n    cache: Rc<RefCell<HashMap<String, String>>>,\n    // Rc is not Send, RefCell is not Sync\n}\n\n// tokio::spawn(async move { use_state(state) });\n// ERROR: Rc<RefCell<...>> is not Send",Critical,https://doc.rust-lang.org/book/ch16-04-extensible-concurrency-sync-and-send.html
19,Conditional Trait Implementation,Advanced,"conditional, impl, where, specialized","Implement methods or traits conditionally based on trait bounds of generic parameters","Add trait implementations or methods that are only available when generic parameters satisfy specific bounds","Require all trait bounds upfront even when only some methods need them","struct Wrapper<T>(T);\n\nimpl<T> Wrapper<T> {\n    fn new(val: T) -> Self { Self(val) }\n    fn into_inner(self) -> T { self.0 }\n}\n\n// Only available when T: Display\nimpl<T: std::fmt::Display> Wrapper<T> {\n    fn print(&self) { println!(""{}"", self.0); }\n}\n\n// Only available when T: Clone\nimpl<T: Clone> Clone for Wrapper<T> {\n    fn clone(&self) -> Self { Self(self.0.clone()) }\n}\n\nlet w = Wrapper::new(42);\nw.print(); // works: i32 implements Display","struct Wrapper<T: Display + Clone + Debug>(T);\n// forces ALL users of Wrapper to have T: Display + Clone + Debug\n// even if they only need to store the value\nlet w = Wrapper(my_non_display_type); // ERROR",Medium,https://doc.rust-lang.org/book/ch10-02-traits.html#using-trait-bounds-to-conditionally-implement-methods
20,Trait Aliases and Bounds Shorthand,Convenience,"trait alias, bound, shorthand, type alias","Create type aliases for complex trait bound combinations to reduce repetition","Use trait aliases for bounds used in multiple places; document what the combined bound means","Repeat complex bounds across many function signatures","// Trait alias (stable via supertrait):\ntrait Handler: Send + Sync + 'static {\n    fn handle(&self, req: Request) -> Response;\n}\n\n// Or use a type alias for boxed trait objects:\ntype BoxHandler = Box<dyn Fn(Request) -> Response + Send + Sync>;\n\n// Shorthand for common bounds:\ntrait AsyncService: Clone + Send + Sync + 'static {}\nimpl<T: Clone + Send + Sync + 'static> AsyncService for T {}","fn route1(h: impl Fn(Request) -> Response + Send + Sync + 'static) {}\nfn route2(h: impl Fn(Request) -> Response + Send + Sync + 'static) {}\nfn route3(h: impl Fn(Request) -> Response + Send + Sync + 'static) {}\n// bounds repeated everywhere, hard to change",Medium,https://doc.rust-lang.org/reference/items/traits.html
