No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
11,Exhaustive Pattern Matching,Safety,"match, exhaustive, enum, non_exhaustive, wildcard","Match all enum variants explicitly to get compiler warnings when new variants are added","Match all variants explicitly; use #[non_exhaustive] for public enums that may grow; handle _ wildcard last","Use _ as the first resort which silently handles new variants","enum Command {\n    Start,\n    Stop,\n    Restart,\n    Status,\n}\n\nfn handle(cmd: Command) {\n    match cmd {\n        Command::Start => start(),\n        Command::Stop => stop(),\n        Command::Restart => { stop(); start(); }\n        Command::Status => print_status(),\n    }\n    // adding a new variant produces a compile error here\n}","fn handle(cmd: Command) {\n    match cmd {\n        Command::Start => start(),\n        Command::Stop => stop(),\n        _ => {} // silently ignores Restart and Status\n        // new variants are also silently ignored\n    }\n}",https://doc.rust-lang.org/book/ch06-02-match.html#matches-are-exhaustive
12,Use .copied() and .cloned() on Iterators,Iteration,"copied, cloned, iter, reference, owned","Use .copied() for Copy types and .cloned() for Clone types to convert &T to T in iterator chains","Use .copied() for &i32 -> i32 etc; use .cloned() for &String -> String; prefer copied when available","Use .map(|x| *x) or .map(|x| x.clone()) when .copied() or .cloned() is more idiomatic","let values: Vec<i32> = data.iter().copied().collect();\n\nlet names: Vec<String> = users\n    .iter()\n    .map(|u| &u.name)\n    .cloned()\n    .collect();\n\nlet max = numbers.iter().copied().max();","let values: Vec<i32> = data.iter().map(|x| *x).collect();\n\nlet names: Vec<String> = users\n    .iter()\n    .map(|u| u.name.clone())\n    .collect();\n// less idiomatic, copied/cloned express intent",https://doc.rust-lang.org/std/iter/trait.Iterator.html#method.copied
13,Use impl Into<T> for Flexible APIs,API Design,"Into, impl, flexible, ergonomic, generic","Accept impl Into<T> in function parameters to allow callers to pass any convertible type","Use impl Into<String> for owned string parameters; use impl Into<PathBuf> for path parameters","Force callers to convert types manually before calling the function","fn set_name(&mut self, name: impl Into<String>) {\n    self.name = name.into();\n}\n\nobj.set_name(""Alice"");           // &str\nobj.set_name(String::from(""Bob"")); // String\nobj.set_name(username);          // String variable","fn set_name(&mut self, name: String) {\n    self.name = name;\n}\n\nobj.set_name(""Alice"".to_string()); // forced conversion\nobj.set_name(String::from(""Bob""));\n// callers must always create String",https://rust-lang.github.io/api-guidelines/flexibility.html#c-generic
14,Turbofish Syntax for Type Inference,Syntax,"turbofish, ::<>, type annotation, parse","Use the turbofish ::<T> syntax to specify generic types when the compiler cannot infer them","Use turbofish on the method: ""42"".parse::<i32>(); use type annotation on the variable when turbofish is awkward","Let type inference fail and wonder why; place type annotations in random positions","let n = ""42"".parse::<i32>().unwrap();\n\nlet items = vec![1, 2, 3];\nlet first = items.iter().copied().collect::<Vec<_>>();\n\nlet map = entries.into_iter().collect::<HashMap<_, _>>();","let n: Result<i32, _> = ""42"".parse();\n// type annotation on result is awkward when turbofish is cleaner\n\nlet items: Vec<i32> = vec![1, 2, 3].iter().copied().collect();\n// annotation on the variable works but turbofish shows intent at call site",https://doc.rust-lang.org/reference/expressions/method-call-expr.html
15,Use todo!() and unimplemented!() as Placeholders,Prototyping,"todo!, unimplemented!, placeholder, stub","Use todo!() to mark code that needs implementation and unimplemented!() for deliberately unsupported paths","Use todo!() for work in progress; use unimplemented!() for paths that should never be reached; both return ! (never type)","Return dummy values that hide incomplete code; use panic!(""not implemented"") without semantic meaning","fn calculate_tax(amount: f64, region: &str) -> f64 {\n    match region {\n        ""US"" => amount * 0.08,\n        ""EU"" => todo!(""implement EU VAT calculation""),\n        _ => unimplemented!(""region {region} not supported""),\n    }\n}","fn calculate_tax(amount: f64, region: &str) -> f64 {\n    match region {\n        ""US"" => amount * 0.08,\n        _ => 0.0, // silently returns 0, hiding missing implementation\n    }\n}",https://doc.rust-lang.org/std/macro.todo.html
16,Shadowing for Type Conversion,Conversion,"shadow, let, rebind, transform, type change","Shadow a variable to convert its type while keeping the same name for readability","Shadow when the new binding replaces the old one completely; use shadowing for parse -> validate -> use flows","Shadow variables with unrelated meanings; shadow mut bindings when the original is still needed","let input = ""42"";\nlet input: u32 = input.parse().expect(""invalid number"");\nlet input = input * 2; // now u32, clear progression\n\nlet config = read_config_file()?; // String\nlet config: Config = serde_json::from_str(&config)?; // Config","let input_str = ""42"";\nlet input_num: u32 = input_str.parse().unwrap();\nlet doubled_input = input_num * 2;\n// three variable names for the same conceptual value",https://doc.rust-lang.org/book/ch03-01-variables-and-mutability.html#shadowing
17,Use dbg!() for Quick Debugging,Debugging,"dbg!, debug, inspect, stderr","Use dbg!() for quick debug printing that shows the expression, value, file, and line number","Use dbg!() for temporary debugging; it prints to stderr and returns the value so it can be used inline","Leave dbg!() in production code; use println! for debugging","let result = dbg!(calculate(x, y));\n// prints: [src/main.rs:42] calculate(x, y) = 128\n\nlet filtered = data\n    .iter()\n    .filter(|x| dbg!(x.value > 10))\n    .collect::<Vec<_>>();","println!(""calculate result: {}"", calculate(x, y));\n// no file/line info\n// must manually format\n// goes to stdout not stderr",https://doc.rust-lang.org/std/macro.dbg.html
18,Use Type Aliases for Complex Types,Readability,"type alias, type, readability, simplify","Create type aliases to simplify complex generic types and improve readability","Use type aliases for frequently used complex types; name them descriptively","Create type aliases for simple types; alias standard types with confusing names","type Result<T> = std::result::Result<T, AppError>;\ntype BoxFuture<T> = std::pin::Pin<Box<dyn std::future::Future<Output = T> + Send>>;\ntype HandlerFn = Box<dyn Fn(Request) -> Response + Send + Sync>;\n\nfn get_user(id: u64) -> Result<User> {\n    // AppError is implied\n    todo!()\n}","fn get_user(id: u64) -> std::result::Result<User, AppError> { todo!() }\nfn list_users() -> std::result::Result<Vec<User>, AppError> { todo!() }\nfn delete_user(id: u64) -> std::result::Result<(), AppError> { todo!() }\n// repeated complex type everywhere",https://doc.rust-lang.org/book/ch19-04-advanced-types.html#creating-type-synonyms-with-type-aliases
19,Prefer collect with turbofish,Conversion,"collect, turbofish, Result, Option, transpose","Use .collect() with turbofish to transform iterators into various collection types including Result<Vec<T>>","Use .collect::<Result<Vec<_>, _>>() to short-circuit on first error; use .collect::<String>() for char iterators","Use manual loops to build collections from iterators; forget that collect can transform Result iterators","// Collect into Result<Vec<T>, E>: stops at first error\nlet numbers: Result<Vec<i32>, _> = strings\n    .iter()\n    .map(|s| s.parse::<i32>())\n    .collect();\n\n// Collect chars into String:\nlet upper: String = s.chars().map(|c| c.to_uppercase().next().unwrap()).collect();\n\n// Collect into HashMap:\nlet map: HashMap<_, _> = pairs.into_iter().collect();","let mut numbers = Vec::new();\nfor s in &strings {\n    match s.parse::<i32>() {\n        Ok(n) => numbers.push(n),\n        Err(e) => return Err(e),\n    }\n}\n// manual loop when collect::<Result<Vec<_>, _>>() does this",https://doc.rust-lang.org/std/iter/trait.Iterator.html#method.collect
20,Use #[must_use] for Important Return Values,Safety,"must_use, warning, return value, annotation","Annotate functions and types whose return values should not be silently discarded","Add #[must_use] to Result-returning functions, builders, and any function where ignoring the return is likely a bug","Apply #[must_use] to void-like functions; ignore must_use warnings","#[must_use = ""this returns a new string and does not modify in place""]\nfn to_uppercase(s: &str) -> String {\n    s.to_uppercase()\n}\n\n#[must_use]\nfn validate(input: &str) -> Result<(), ValidationError> {\n    // ...\n    Ok(())\n}\n\n// Compiler warns if result is not used:\n// validate(input); // warning: unused Result","fn validate(input: &str) -> Result<(), ValidationError> {\n    Ok(())\n}\n\nvalidate(input); // no warning!\n// error is silently ignored",https://doc.rust-lang.org/reference/attributes/diagnostics.html#the-must_use-attribute
