No,Project_Category,Recommended_Architecture,Package_Priority,Error_Strategy,Concurrency_Strategy,Testing_Strategy,Decision_Rules,Anti_Patterns,Severity
12,Data Pipeline Batch,"cmd/ internal/extract/ internal/transform/ internal/load/ internal/pipeline/","database/sql, encoding/csv, encoding/json, errgroup, log/slog",Collect errors per record; continue processing; report summary at end,Fan-out/fan-in with bounded worker pools; use semaphore pattern for resource limits,Test each stage independently; use golden files for transform output,"{""if_large_files"": ""add-streaming-reader"", ""if_retryable"": ""add-retry-per-record"", ""if_checkpoint"": ""add-checkpoint-resume"", ""if_monitoring"": ""add-prometheus-metrics""}","Loading entire files into memory, unbounded parallelism, no progress reporting, silent data loss on errors",high
13,Data Pipeline Streaming,"cmd/ internal/source/ internal/processor/ internal/sink/","sarama, watermill, protobuf, otel, log/slog",Circuit breakers on sink failures; backpressure via buffered channels; DLQ for poison pills,Pipeline of channels with bounded buffers; graceful drain on shutdown,Test with in-memory channels; load test with synthetic data generators,"{""if_backpressure"": ""add-bounded-channels"", ""if_late_data"": ""add-watermark-tracking"", ""if_state"": ""add-state-store"", ""if_scale"": ""add-partition-parallelism""}","Unbounded channels causing OOM, dropping messages silently, not handling backpressure, no graceful shutdown",critical
14,Background Worker Queue,"cmd/worker/ internal/worker/ internal/handler/ internal/queue/","asynq or machinery, redis, log/slog, otel",Retry with exponential backoff; dead letter after max retries; structured error logging,Worker pool with configurable concurrency; graceful shutdown with drain,Test handlers as pure functions; integration test with real Redis via testcontainers,"{""if_priority"": ""add-priority-queues"", ""if_scheduled"": ""add-scheduled-tasks"", ""if_unique"": ""add-deduplication"", ""if_monitoring"": ""add-asynqmon-dashboard""}","Unbounded retries, no idempotency on handlers, losing tasks on crash, no dead letter queue",high
15,Background Worker Cron,"cmd/worker/ internal/jobs/ internal/scheduler/","robfig/cron/v3, log/slog, database/sql",Log errors with job context; alert on consecutive failures; track last success time,Mutex to prevent overlapping runs; use context for cancellation on shutdown,Test job functions independently; test schedule parsing; integration test timing,"{""if_distributed"": ""add-distributed-lock"", ""if_overlap"": ""add-skip-if-running"", ""if_audit"": ""add-job-history-table"", ""if_alert"": ""add-failure-notification""}","Overlapping job runs, no distributed locking in multi-instance deployments, panicking inside cron handlers",medium
16,Serverless AWS Lambda,"cmd/lambda/ internal/handler/ internal/service/","aws-lambda-go, aws-sdk-go-v2, log/slog",Return API Gateway-compatible error responses; log errors with request ID,Lambda handles concurrency; minimize goroutines; reuse clients across invocations,Test handler functions locally with events/fixtures; use localstack for integration,"{""if_cold_start"": ""minimize-init-time"", ""if_vpc"": ""add-provisioned-concurrency"", ""if_large_payload"": ""use-s3-presigned"", ""if_timeout"": ""set-context-deadline""}","Importing heavy SDKs unnecessarily, not reusing clients in init(), large deployment packages, ignoring cold starts",medium
17,Serverless GCP Cloud Functions,"cmd/function/ internal/handler/ internal/service/","functions-framework-go, cloud.google.com/go, log/slog",Return HTTP status codes with structured JSON error bodies; log to Cloud Logging format,Cloud Functions manages concurrency; reuse clients in module-level init,Test with httptest; use emulators for GCP services,"{""if_cold_start"": ""minimize-dependencies"", ""if_pubsub"": ""use-push-subscription"", ""if_storage"": ""use-signed-urls"", ""if_auth"": ""use-identity-platform""}","Creating clients per request, large dependency trees, not setting memory limits, ignoring function timeout",medium
18,K8s Operator,"cmd/operator/ internal/controller/ internal/api/ config/ hack/","controller-runtime, client-go, kubebuilder, log/slog (via logr)",Return ctrl.Result with RequeueAfter on transient errors; set status conditions on CR,Controller-runtime manages concurrency; use work queues; limit concurrent reconciles,envtest for integration; use fake client for unit tests; e2e with kind cluster,"{""if_finalizer"": ""add-finalizer-for-cleanup"", ""if_webhook"": ""add-validating-webhook"", ""if_status"": ""add-status-subresource"", ""if_rbac"": ""generate-rbac-markers""}","Reconciling without idempotency, not handling finalizers, missing RBAC permissions, not setting owner references",critical
19,K8s Controller,"cmd/controller/ internal/controller/ internal/informer/","client-go, informers, workqueue, log/slog",Requeue on transient errors with rate limiting; log permanent failures and skip,SharedInformers with work queue pattern; limit concurrent workers,Test with fake clientset; integration with envtest; e2e with kind,"{""if_custom_resource"": ""switch-to-operator-pattern"", ""if_leader"": ""add-leader-election"", ""if_ha"": ""add-multi-replica"", ""if_metrics"": ""add-prometheus-collector""}","Polling API server instead of using informers, not using work queues, missing leader election in multi-replica",critical
20,Web App with Templates,"cmd/web/ internal/handler/ internal/service/ web/templates/ web/static/","html/template, chi, embed, log/slog",Flash messages for user-facing errors; log internal errors; custom error pages,Standard request-per-goroutine; use context for request-scoped values,Test handlers with httptest; test templates render without errors; browser tests with chromedp,"{""if_dynamic"": ""add-htmx"", ""if_session"": ""add-gorilla-sessions"", ""if_csrf"": ""add-csrf-middleware"", ""if_i18n"": ""add-go-i18n""}","Template injection via unescaped input, not using embed for templates, session fixation, missing CSRF protection",medium
21,WebSocket Real-time,"cmd/server/ internal/hub/ internal/client/ internal/handler/","gorilla/websocket or nhooyr/websocket, chi, log/slog",Send error frames to client; close connection with appropriate close codes; log server-side errors,Hub pattern: one goroutine per connection for read/write; broadcast via hub goroutine,Test with websocket test client; load test concurrent connections; test reconnection logic,"{""if_scale"": ""add-redis-pubsub-for-multi-node"", ""if_auth"": ""authenticate-on-upgrade"", ""if_heartbeat"": ""add-ping-pong"", ""if_rooms"": ""add-room-based-routing""}","Blocking the write goroutine, no ping/pong heartbeat, unbounded send buffers, not handling connection drops",high
22,File Processing Service,"cmd/processor/ internal/processor/ internal/storage/ internal/converter/","io, os, filepath, errgroup, minio-go or s3, log/slog",Per-file error tracking; continue batch on individual failures; report summary,Bounded worker pool for parallel file processing; stream large files to avoid OOM,Test with temp directories and fixture files; test edge cases like empty files and large files,"{""if_large_files"": ""stream-not-buffer"", ""if_virus_scan"": ""add-clamav-integration"", ""if_thumbnails"": ""add-image-processing-worker"", ""if_s3"": ""add-multipart-upload""}","Reading entire large files into memory, not cleaning up temp files, ignoring file permissions, no file type validation",high
23,Auth Service,"cmd/auth/ internal/handler/ internal/service/ internal/token/ internal/store/","golang-jwt/jwt/v5, bcrypt, chi, pgx, log/slog, otel",Never leak auth details in errors; generic messages to client; detailed internal logging,Request-scoped; rate limit login attempts; background token cleanup goroutine,Test token generation/validation; test password hashing; integration test full auth flow,"{""if_oauth"": ""add-oauth2-provider"", ""if_mfa"": ""add-totp-support"", ""if_session"": ""add-session-store"", ""if_api_keys"": ""add-api-key-management""}","Storing plaintext passwords, JWT with none algorithm, no token expiration, leaking user existence in error messages",critical
24,Payment Service,"cmd/payment/ internal/handler/ internal/service/ internal/gateway/ internal/ledger/","stripe-go, pgx, log/slog, otel",Idempotent error handling; retry transient gateway errors; alert on payment failures,Sequential for payment flow; background reconciliation workers,Mock payment gateway in tests; test webhook signature verification; test idempotency,"{""if_multi_gateway"": ""add-gateway-abstraction"", ""if_refund"": ""add-refund-flow"", ""if_subscription"": ""add-recurring-billing"", ""if_pci"": ""never-store-card-data""}","Storing raw card numbers, non-idempotent charges, ignoring webhook verification, missing audit trail",critical
25,Notification Service,"cmd/notifier/ internal/handler/ internal/sender/ internal/template/ internal/queue/","gomail, firebase-admin-go, twilio-go, log/slog, asynq",Retry transient failures with backoff; track delivery status; DLQ for permanent failures,Worker pool per channel (email/sms/push); priority queues for urgent notifications,Test template rendering; mock external providers; integration test delivery pipeline,"{""if_bulk"": ""add-batch-sending"", ""if_preference"": ""add-user-preferences"", ""if_template"": ""add-template-engine"", ""if_track"": ""add-delivery-tracking""}","Sending notifications synchronously in request path, no rate limiting to providers, no unsubscribe mechanism",medium
26,Search Service,"cmd/search/ internal/handler/ internal/indexer/ internal/query/","olivere/elastic or typesense-go, chi, log/slog, otel",Fallback to degraded results on search engine failure; timeout queries,Background indexer goroutines; bounded concurrent search queries,Test query building; integration test with testcontainers elasticsearch; test relevance,"{""if_autocomplete"": ""add-suggest-endpoint"", ""if_facets"": ""add-aggregation-queries"", ""if_sync"": ""add-change-data-capture"", ""if_ranking"": ""add-custom-scoring""}","Re-indexing entire dataset on every change, unbounded query complexity, not paginating results, missing search analytics",medium
27,Chat Application,"cmd/chat/ internal/hub/ internal/room/ internal/message/ internal/auth/","gorilla/websocket, chi, pgx, redis, protobuf, log/slog",Graceful degradation on storage failure; notify client of delivery status; retry sends,Hub pattern for room management; goroutine per connection; Redis PubSub for multi-node,Test message delivery; test room join/leave; load test concurrent users; test message ordering,"{""if_history"": ""add-message-persistence"", ""if_typing"": ""add-typing-indicators"", ""if_media"": ""add-file-upload-s3"", ""if_presence"": ""add-presence-tracking-redis""}","Storing all messages in memory, no message ordering guarantees, blocking broadcasts, no connection cleanup on disconnect",high
28,API Gateway,"cmd/gateway/ internal/proxy/ internal/middleware/ internal/ratelimit/ internal/discovery/","net/http/httputil, chi, redis, otel, log/slog",Pass through backend errors with correlation ID; circuit break on backend failures,High-concurrency reverse proxy; connection pooling per backend; rate limiter goroutine,Test routing rules; test rate limiting; test circuit breaker state transitions; load test,"{""if_auth"": ""add-jwt-validation-middleware"", ""if_ratelimit"": ""add-sliding-window-redis"", ""if_transform"": ""add-request-response-transform"", ""if_canary"": ""add-weighted-routing""}","Single point of failure without HA, no circuit breakers, unbounded connections to backends, not propagating tracing headers",critical
29,Monitoring Dashboard,"cmd/dashboard/ internal/handler/ internal/collector/ internal/alert/ web/","prometheus/client_golang, grafana-api, chi, html/template, embed, log/slog",Degrade gracefully when metrics source unavailable; cache last known good state,Background collectors on intervals; fan-in metrics from multiple sources,Test metric collection; test alert rule evaluation; test dashboard rendering,"{""if_custom_metrics"": ""add-custom-collector"", ""if_alerting"": ""add-alertmanager-integration"", ""if_historical"": ""add-time-series-storage"", ""if_slo"": ""add-slo-tracking""}","Collecting metrics too frequently, unbounded metric cardinality, alerting without deduplication, no dashboard caching",medium
30,ETL Pipeline,"cmd/etl/ internal/extract/ internal/transform/ internal/load/ internal/schedule/","database/sql, pgx, encoding/csv, encoding/json, errgroup, log/slog",Per-record error tracking; checkpoint on batch boundaries; resumable on failure,Fan-out extract to bounded transform workers; sequential load with batch inserts,Test transforms as pure functions; integration test full pipeline with fixture data; test resume from checkpoint,"{""if_large_dataset"": ""add-streaming-extract"", ""if_schema_drift"": ""add-schema-validation"", ""if_incremental"": ""add-change-tracking"", ""if_audit"": ""add-lineage-tracking""}","Loading entire dataset into memory, no checkpointing, silent data corruption, ignoring schema changes between runs",high
