No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
11,Concurrency,Atomic operations vs mutex,"atomic, mutex, sync/atomic, lock-free","For simple counters and flags, atomic operations are significantly faster than mutexes because they use CPU-level instructions without OS-level locking or goroutine parking.","Use sync/atomic for simple numeric counters, boolean flags, and pointer swaps. Atomic operations avoid context switches and lock contention.","Do not use a full sync.Mutex to protect a single integer counter or boolean flag. The mutex overhead is disproportionate for such simple operations.","type Counter struct {
	count atomic.Int64
}

func (c *Counter) Increment() {
	c.count.Add(1)
}

func (c *Counter) Value() int64 {
	return c.count.Load()
}","type Counter struct {
	mu    sync.Mutex
	count int64
}

func (c *Counter) Increment() {
	c.mu.Lock()
	c.count++
	c.mu.Unlock()
}

func (c *Counter) Value() int64 {
	c.mu.Lock()
	defer c.mu.Unlock()
	return c.count
}",Medium,"go test -bench=. -cpu=1,4,8,16; compare ns/op for atomic vs mutex under contention"
12,IO,Buffered IO with bufio,"bufio, Reader, Writer, IO performance","Reading or writing one byte at a time from disk or network is extremely slow due to syscall overhead. bufio.Reader and bufio.Writer batch IO operations into larger chunks, dramatically reducing syscall count.","Wrap os.File or net.Conn with bufio.NewReader or bufio.NewWriter with an appropriate buffer size. Always call Flush on buffered writers before closing.","Do not read or write files byte-by-byte or line-by-line without buffering. Each small read or write triggers a system call with significant overhead.","func readLines(path string) ([]string, error) {
	f, err := os.Open(path)
	if err != nil {
		return nil, err
	}
	defer f.Close()
	var lines []string
	scanner := bufio.NewScanner(f)
	scanner.Buffer(make([]byte, 1024*1024), 1024*1024)
	for scanner.Scan() {
		lines = append(lines, scanner.Text())
	}
	return lines, scanner.Err()
}","func readLines(path string) ([]string, error) {
	data, err := os.ReadFile(path)
	if err != nil {
		return nil, err
	}
	lines := strings.Split(string(data), ""\n"")
	return lines, nil
}",High,"go test -bench=. -benchmem; use strace or dtrace to count syscalls; compare wall time"
13,IO,io.Copy for stream transfer,"io.Copy, stream, zero-copy, transfer","io.Copy efficiently transfers data between an io.Reader and io.Writer using a shared buffer. It avoids loading the entire content into memory and leverages OS-level optimizations like sendfile when available.","Use io.Copy or io.CopyBuffer for transferring data between streams. This handles large files efficiently without loading them entirely into memory.","Do not read an entire file or response body into memory with io.ReadAll when you only need to transfer it to another writer. This wastes memory for large payloads.","func downloadToFile(url string, dest string) error {
	resp, err := http.Get(url)
	if err != nil {
		return err
	}
	defer resp.Body.Close()
	f, err := os.Create(dest)
	if err != nil {
		return err
	}
	defer f.Close()
	_, err = io.Copy(f, resp.Body)
	return err
}","func downloadToFile(url string, dest string) error {
	resp, err := http.Get(url)
	if err != nil {
		return err
	}
	defer resp.Body.Close()
	data, err := io.ReadAll(resp.Body)
	if err != nil {
		return err
	}
	return os.WriteFile(dest, data, 0644)
}",Critical,"go test -bench=. -benchmem; monitor RSS memory usage with large files; compare B/op"
14,IO,HTTP connection pooling,"http.Transport, connection pool, keep-alive, reuse","Creating a new http.Client or http.Transport per request prevents TCP connection reuse. Reusing connections avoids the overhead of TCP handshake and TLS negotiation on every request.","Reuse a single http.Client with a properly configured http.Transport. Set MaxIdleConnsPerHost and IdleConnTimeout to match your workload.","Do not create a new http.Client for every request. Do not forget to close response bodies, as unclosed bodies prevent connection reuse.","var client = &http.Client{
	Transport: &http.Transport{
		MaxIdleConns:        100,
		MaxIdleConnsPerHost: 10,
		IdleConnTimeout:     90 * time.Second,
	},
	Timeout: 30 * time.Second,
}

func fetchData(url string) ([]byte, error) {
	resp, err := client.Get(url)
	if err != nil {
		return nil, err
	}
	defer resp.Body.Close()
	return io.ReadAll(resp.Body)
}","func fetchData(url string) ([]byte, error) {
	client := &http.Client{}
	resp, err := client.Get(url)
	if err != nil {
		return nil, err
	}
	defer resp.Body.Close()
	return io.ReadAll(resp.Body)
}",Critical,"go test -bench=.; use netstat to observe TIME_WAIT connections; measure latency per request"
15,JSON,encoding/json vs easyjson performance,"encoding/json, easyjson, marshal, unmarshal","The standard encoding/json package uses reflection at runtime, which is slow for high-throughput services. Code generation tools like easyjson produce type-specific marshalers that avoid reflection entirely.","Use code generation based JSON libraries like easyjson or go-json for performance-critical JSON serialization. They generate type-specific code that avoids reflection overhead.","Do not rely solely on encoding/json in hot paths handling thousands of requests per second. The reflection overhead becomes a significant bottleneck at scale.","//go:generate easyjson -all model.go

//easyjson:json
type APIResponse struct {
	Status  string  `json:""status""`
	Data    []Item  `json:""data""`
	Count   int     `json:""count""`
}

func handleRequest(w http.ResponseWriter, r *http.Request) {
	resp := APIResponse{Status: ""ok"", Count: 42}
	data, _ := resp.MarshalJSON()
	w.Write(data)
}","type APIResponse struct {
	Status  string  `json:""status""`
	Data    []Item  `json:""data""`
	Count   int     `json:""count""`
}

func handleRequest(w http.ResponseWriter, r *http.Request) {
	resp := APIResponse{Status: ""ok"", Count: 42}
	data, _ := json.Marshal(resp)
	w.Write(data)
}",High,"go test -bench=BenchmarkMarshal -benchmem; compare ns/op and allocs/op between libraries"
16,JSON,Struct tags optimization,"json, struct tags, omitempty, marshaling","Using omitempty on struct tags prevents marshaling zero-value fields, reducing payload size. Choosing short JSON key names reduces bandwidth usage for high-volume APIs.","Use omitempty for optional fields to reduce JSON payload size. Order struct fields from largest to smallest to minimize padding and improve cache performance.","Do not marshal large structs with many zero-value fields without omitempty. Sending unnecessary null or zero fields wastes bandwidth and parsing time.","type Event struct {
	ID        int64   `json:""id""`
	Type      string  `json:""type""`
	Timestamp int64   `json:""ts""`
	UserID    int64   `json:""uid,omitempty""`
	Metadata  string  `json:""meta,omitempty""`
	Tags      []string `json:""tags,omitempty""`
}

func encodeEvent(e Event) ([]byte, error) {
	return json.Marshal(e)
}","type Event struct {
	ID        int64    `json:""id""`
	Type      string   `json:""type""`
	Timestamp int64    `json:""timestamp""`
	UserID    int64    `json:""user_id""`
	Metadata  string   `json:""metadata""`
	Tags      []string `json:""tags""`
}

func encodeEvent(e Event) ([]byte, error) {
	return json.Marshal(e)
}",Low,"Compare JSON payload sizes with and without omitempty; go test -bench=. -benchmem"
17,String,strings.Builder for concatenation,"strings.Builder, concatenation, performance, WriteString","strings.Builder uses an internal byte slice that grows efficiently. Unlike string concatenation with +, it avoids creating intermediate string copies on each append operation.","Use strings.Builder with Grow() for known sizes. Call WriteString for each piece. This is the idiomatic and fastest way to build strings in Go.","Do not use fmt.Sprintf or string concatenation with + in performance-critical code paths. Both create unnecessary intermediate allocations.","func formatRecord(fields []string) string {
	var b strings.Builder
	b.Grow(len(fields) * 20)
	for i, f := range fields {
		if i > 0 {
			b.WriteByte('|')
		}
		b.WriteString(f)
	}
	return b.String()
}","func formatRecord(fields []string) string {
	result := """"
	for i, f := range fields {
		if i > 0 {
			result = result + ""|"" + f
		} else {
			result = f
		}
	}
	return result
}",High,"go test -bench=BenchmarkFormat -benchmem; compare allocs/op and ns/op"
18,String,String interning and byte slice reuse,"string, interning, byte slice, reuse, conversion","Converting between string and []byte creates a copy each time. In hot loops processing the same strings repeatedly, this causes excessive allocations. Reusing byte slices avoids repeated allocation.","Reuse byte slices across iterations using a buffer. Use unsafe.String or unsafe.Slice for zero-copy conversions only when the data is guaranteed not to be mutated.","Do not convert between string and []byte repeatedly inside tight loops. Each conversion allocates a new backing array and copies the data.","func processLines(r io.Reader) error {
	scanner := bufio.NewScanner(r)
	buf := make([]byte, 0, 4096)
	scanner.Buffer(buf, 4096)
	for scanner.Scan() {
		line := scanner.Bytes()
		if len(line) > 0 && line[0] == '#' {
			continue
		}
		processBytes(line)
	}
	return scanner.Err()
}","func processLines(r io.Reader) error {
	scanner := bufio.NewScanner(r)
	for scanner.Scan() {
		line := scanner.Text()
		if len(line) > 0 && line[0] == '#' {
			continue
		}
		processBytes([]byte(line))
	}
	return scanner.Err()
}",Medium,"go test -bench=. -benchmem; compare B/op to see reduced allocation bytes"
19,GC,GOGC tuning,"GOGC, garbage collection, tuning, GOMEMLIMIT","GOGC controls how aggressively the garbage collector runs. The default value of 100 means GC triggers when heap grows by 100% since last collection. Higher values reduce GC frequency at the cost of more memory usage.","Tune GOGC based on your application profile. For latency-sensitive services, increase GOGC (e.g., 200-400) and set GOMEMLIMIT to cap memory. Use runtime/debug.SetGCPercent for dynamic tuning.","Do not leave GOGC at default for all workloads. Memory-constrained environments may need lower values, while latency-sensitive services benefit from higher values with GOMEMLIMIT set.","func main() {
	debug.SetGCPercent(200)
	debug.SetMemoryLimit(2 * 1024 * 1024 * 1024)
	log.Println(""GC tuned: GOGC=200, GOMEMLIMIT=2GiB"")
	if err := run(); err != nil {
		log.Fatal(err)
	}
}","func main() {
	// Uses default GOGC=100 with no memory limit
	// GC runs too frequently under high allocation rate
	// causing excessive CPU usage for GC
	if err := run(); err != nil {
		log.Fatal(err)
	}
}",High,"GODEBUG=gctrace=1 ./app; monitor GC pause times and frequency; runtime.ReadMemStats()"
20,GC,Reduce pointer-heavy structures,"GC, pointer, struct layout, value types","The Go garbage collector must scan every pointer in live objects to determine reachability. Structures with many pointers increase GC scan time. Using value types and flat data layouts reduces GC overhead.","Use flat struct layouts with value types instead of pointers. Store indices into slices instead of pointers. Use arrays of structs rather than structs of pointer-laden fields.","Do not create deeply nested pointer-heavy data structures in performance-critical code. Each pointer is an additional root the GC must trace during marking.","type Particle struct {
	X, Y, Z    float64
	VX, VY, VZ float64
	Mass       float64
}

type Simulation struct {
	Particles []Particle
	Count     int
}","type Particle struct {
	X, Y, Z    *float64
	VX, VY, VZ *float64
	Mass       *float64
}

type Simulation struct {
	Particles []*Particle
	Count     int
}",High,"GODEBUG=gctrace=1; runtime.ReadMemStats() to compare GC pause duration and total scan work"
21,Profiling,pprof CPU profiling,"pprof, CPU, profiling, runtime/pprof","CPU profiling identifies which functions consume the most CPU time. The Go runtime samples the call stack at regular intervals and records which functions are executing, enabling data-driven optimization.","Import net/http/pprof in your application and expose it on a debug endpoint. Use go tool pprof to analyze CPU profiles and focus optimization on the hottest functions.","Do not optimize code without profiling first. Guessing which functions are slow leads to wasted effort on code that is not actually a bottleneck.","import (
	""log""
	""net/http""
	_ ""net/http/pprof""
)

func main() {
	go func() {
		log.Println(http.ListenAndServe(""localhost:6060"", nil))
	}()
	runApplication()
}

// Profile with:
// go tool pprof http://localhost:6060/debug/pprof/profile?seconds=30","func main() {
	start := time.Now()
	runApplication()
	elapsed := time.Since(start)
	fmt.Printf(""Total time: %s\n"", elapsed)
	// No way to identify which functions are slow
	// Only measures total elapsed wall time
}",Critical,"go tool pprof http://localhost:6060/debug/pprof/profile?seconds=30; analyze top and flamegraph"
22,Profiling,Memory profiling,"pprof, memory, heap, allocs, profiling","Memory profiling tracks heap allocations to identify which code paths allocate the most memory. This helps reduce GC pressure and overall memory usage by pinpointing allocation-heavy functions.","Use go tool pprof with the allocs or heap profile to identify top allocators. Focus on reducing allocations in hot paths identified by the allocs profile.","Do not ignore memory profiles when debugging high GC CPU usage. High allocation rates directly cause frequent GC cycles and increased latency.","import (
	""os""
	""runtime""
	""runtime/pprof""
)

func captureHeapProfile() error {
	f, err := os.Create(""heap.prof"")
	if err != nil {
		return err
	}
	defer f.Close()
	runtime.GC()
	return pprof.WriteHeapProfile(f)
}

// Analyze with:
// go tool pprof -alloc_space heap.prof","func debugMemory() {
	var m runtime.MemStats
	runtime.ReadMemStats(&m)
	fmt.Printf(""Alloc: %d MB\n"", m.Alloc/1024/1024)
	fmt.Printf(""Sys: %d MB\n"", m.Sys/1024/1024)
	// Only shows aggregate numbers
	// Cannot identify which functions allocate most
}",Critical,"go tool pprof -alloc_space -alloc_objects heap.prof; use top and list commands"
23,Compilation,Build flags for smaller binaries,"ldflags, build, binary size, strip","Go binaries include debug information and symbol tables by default. Using linker flags to strip this data and omit the symbol table reduces binary size significantly, which improves deployment times.","Use -ldflags=""-s -w"" to strip debug information and symbol tables. Consider using upx for further compression of deployment binaries.","Do not deploy unstripped binaries to production when binary size matters. Debug symbols and DWARF info can add 20-30% to binary size.","// Build command for production
// go build -ldflags=""-s -w"" -trimpath -o app ./cmd/server
//
// Makefile example:
// build:
//     go build -ldflags=""-s -w -X main.version=$(VERSION)"" \
//         -trimpath -o bin/app ./cmd/server

package main

var version string

func main() {
	fmt.Println(""Version:"", version)
	run()
}","// Build command with defaults
// go build -o app ./cmd/server
//
// Includes full debug info, symbol table, and DWARF
// Binary is 20-30% larger than necessary

package main

func main() {
	fmt.Println(""Version: dev"")
	run()
}",Low,"ls -lh on binaries before and after; go build with and without ldflags; compare sizes"
24,Database,Prepared statements,"database/sql, prepared statement, query plan, reuse","Prepared statements allow the database to parse and plan a query once and execute it many times with different parameters. This avoids repeated parsing overhead and enables query plan caching.","Use db.Prepare once and reuse the *sql.Stmt across multiple calls. Prepared statements also provide protection against SQL injection by separating query logic from parameters.","Do not call db.Query with string formatting to build SQL queries on every request. This forces the database to parse and plan each query from scratch and risks SQL injection.","var getUserStmt *sql.Stmt

func initDB(db *sql.DB) error {
	var err error
	getUserStmt, err = db.Prepare(
		""SELECT id, name, email FROM users WHERE id = $1"",
	)
	return err
}

func getUser(ctx context.Context, id int64) (*User, error) {
	var u User
	err := getUserStmt.QueryRowContext(ctx, id).Scan(
		&u.ID, &u.Name, &u.Email,
	)
	if err != nil {
		return nil, err
	}
	return &u, nil
}","func getUser(ctx context.Context, db *sql.DB, id int64) (*User, error) {
	query := fmt.Sprintf(
		""SELECT id, name, email FROM users WHERE id = %d"", id,
	)
	var u User
	err := db.QueryRowContext(ctx, query).Scan(
		&u.ID, &u.Name, &u.Email,
	)
	if err != nil {
		return nil, err
	}
	return &u, nil
}",High,"go test -bench=. comparing prepared vs unprepared; monitor database query plan cache hit rate"
25,HTTP,http.Client reuse and transport tuning,"http.Client, Transport, connection pool, timeout","The default http.Transport has conservative connection pool settings. Tuning MaxIdleConnsPerHost, setting proper timeouts, and disabling keep-alive only when necessary ensures optimal HTTP client performance.","Create a single http.Client with a tuned Transport at package level. Set appropriate timeouts for dial, TLS handshake, response header, and overall request. Read and close all response bodies.","Do not use http.DefaultClient in production. It has no timeout set, which means requests can hang indefinitely. Do not create new transports per request.","var httpClient = &http.Client{
	Timeout: 30 * time.Second,
	Transport: &http.Transport{
		DialContext: (&net.Dialer{
			Timeout:   5 * time.Second,
			KeepAlive: 30 * time.Second,
		}).DialContext,
		MaxIdleConns:          100,
		MaxIdleConnsPerHost:   20,
		IdleConnTimeout:       90 * time.Second,
		TLSHandshakeTimeout:  5 * time.Second,
		ResponseHeaderTimeout: 10 * time.Second,
	},
}

func callAPI(ctx context.Context, url string) (*Response, error) {
	req, err := http.NewRequestWithContext(ctx, http.MethodGet, url, nil)
	if err != nil {
		return nil, err
	}
	resp, err := httpClient.Do(req)
	if err != nil {
		return nil, err
	}
	defer resp.Body.Close()
	var result Response
	return &result, json.NewDecoder(resp.Body).Decode(&result)
}","func callAPI(url string) (*Response, error) {
	resp, err := http.Get(url)
	if err != nil {
		return nil, err
	}
	defer resp.Body.Close()
	var result Response
	return &result, json.NewDecoder(resp.Body).Decode(&result)
}",Critical,"go test -bench=. with concurrent requests; monitor TCP connection count with netstat; measure p99 latency"
