No,Pattern Name,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
11,Atomic Operations,"atomic, int64, value, load, store, cas","The sync/atomic package provides low-level atomic memory primitives; since Go 1.19 typed wrappers like atomic.Int64 and atomic.Bool provide a safer API.","Use atomic.Int64, atomic.Bool, or atomic.Value for simple counters and flags; prefer higher-level synchronization for complex invariants spanning multiple variables.","Do not use raw atomic.AddInt64 with unaligned fields in structs on 32-bit platforms; do not mix atomic and non-atomic access to the same variable.","type Metrics struct {
	requests atomic.Int64
	errors   atomic.Int64
}

func (m *Metrics) RecordRequest() {
	m.requests.Add(1)
}

func (m *Metrics) RecordError() {
	m.errors.Add(1)
}

func (m *Metrics) Snapshot() (int64, int64) {
	return m.requests.Load(), m.errors.Load()
}","type Metrics struct {
	requests int64
	errors   int64
}

func (m *Metrics) RecordRequest() {
	m.requests++ // data race
}

func (m *Metrics) RecordError() {
	m.errors++ // data race
}

func (m *Metrics) Snapshot() (int64, int64) {
	return m.requests, m.errors // data race
}",High,https://pkg.go.dev/sync/atomic
12,Fan-out Fan-in,"fan-out, fan-in, distribute, merge, parallel","Fan-out distributes work across multiple goroutines; fan-in collects results from multiple channels into a single channel, enabling parallel processing with a single consumer.","Use fan-out to parallelize CPU-bound or IO-bound work; use fan-in with a WaitGroup to close the merged channel once all producers finish.","Do not forget to close the output channel after all fan-out workers complete; do not create an unbounded number of fan-out goroutines.","func fanOut(in <-chan int, workers int) <-chan int {
	out := make(chan int)
	var wg sync.WaitGroup
	for i := 0; i < workers; i++ {
		wg.Add(1)
		go func() {
			defer wg.Done()
			for v := range in {
				out <- v * v
			}
		}()
	}
	go func() {
		wg.Wait()
		close(out)
	}()
	return out
}","func fanOut(in <-chan int, workers int) <-chan int {
	out := make(chan int)
	for i := 0; i < workers; i++ {
		go func() {
			for v := range in {
				out <- v * v
			}
		}()
	}
	// out is never closed
	// consumers block forever on range
	return out
}",High,https://go.dev/blog/pipelines
13,Worker Pool,"worker, pool, bounded, concurrency, jobs","A worker pool starts a fixed number of goroutines that consume jobs from a shared channel, providing bounded concurrency and controlled resource usage.","Size the pool based on the nature of the work: use runtime.NumCPU for CPU-bound tasks; use higher counts for IO-bound tasks; always close the jobs channel to signal completion.","Do not create one goroutine per task when the number of tasks is unbounded; do not forget to close the jobs channel so workers can exit.","func workerPool(jobs <-chan int, results chan<- int, numWorkers int) {
	var wg sync.WaitGroup
	for i := 0; i < numWorkers; i++ {
		wg.Add(1)
		go func() {
			defer wg.Done()
			for job := range jobs {
				results <- job * 2
			}
		}()
	}
	go func() {
		wg.Wait()
		close(results)
	}()
}","func processAll(tasks []int) []int {
	results := make([]int, len(tasks))
	var wg sync.WaitGroup
	// one goroutine per task: unbounded
	for i, t := range tasks {
		wg.Add(1)
		go func(idx, task int) {
			defer wg.Done()
			results[idx] = task * 2
		}(i, t)
	}
	wg.Wait()
	return results
}",High,https://go.dev/doc/effective_go#goroutines
14,Pipeline,"pipeline, stages, channel, compose","A pipeline is a series of stages connected by channels where each stage is a group of goroutines running the same function, reading from upstream and sending downstream.","Design each stage to accept an input channel and return an output channel; close the output channel when the input is drained; propagate context for cancellation.","Do not skip closing channels between stages; do not ignore context cancellation in pipeline stages; do not create pipelines when a simple loop suffices.","func gen(ctx context.Context, nums ...int) <-chan int {
	out := make(chan int)
	go func() {
		defer close(out)
		for _, n := range nums {
			select {
			case out <- n:
			case <-ctx.Done():
				return
			}
		}
	}()
	return out
}

func square(ctx context.Context, in <-chan int) <-chan int {
	out := make(chan int)
	go func() {
		defer close(out)
		for n := range in {
			select {
			case out <- n * n:
			case <-ctx.Done():
				return
			}
		}
	}()
	return out
}","func gen(nums ...int) <-chan int {
	out := make(chan int)
	go func() {
		for _, n := range nums {
			out <- n // blocks forever if consumer stops
		}
		// never closes out
	}()
	return out
}

func square(in <-chan int) <-chan int {
	out := make(chan int)
	go func() {
		for n := range in {
			out <- n * n
		}
		// never closes out
	}()
	return out
}",Medium,https://go.dev/blog/pipelines
15,Generator,"generator, yield, produce, channel","A generator is a goroutine that produces a sequence of values and sends them on a channel, allowing the caller to consume values lazily via range.","Return a receive-only channel from the generator; close the channel when generation is complete; support context cancellation so the generator can be stopped early.","Do not forget to close the channel in the generator; do not create generators without cancellation support for potentially infinite sequences.","func fibonacci(ctx context.Context, n int) <-chan int {
	ch := make(chan int)
	go func() {
		defer close(ch)
		a, b := 0, 1
		for i := 0; i < n; i++ {
			select {
			case ch <- a:
				a, b = b, a+b
			case <-ctx.Done():
				return
			}
		}
	}()
	return ch
}","func fibonacci(n int) <-chan int {
	ch := make(chan int)
	go func() {
		a, b := 0, 1
		for i := 0; i < n; i++ {
			ch <- a // no cancellation support
			a, b = b, a+b
		}
		// forgot to close(ch)
		// range over ch blocks forever
	}()
	return ch
}",Medium,https://go.dev/doc/effective_go#channels
16,Semaphore,"semaphore, buffered channel, limit, throttle","A buffered channel can act as a counting semaphore to limit the number of concurrent operations by acquiring (sending) and releasing (receiving) tokens.","Use a buffered channel with capacity equal to the desired concurrency limit; acquire a token before starting work and release it when work is done using defer.","Do not forget to release the semaphore token on all code paths; do not use an unbuffered channel as a semaphore; do not set the capacity too high defeating the purpose.","func processWithLimit(ctx context.Context, items []string, limit int) {
	sem := make(chan struct{}, limit)
	var wg sync.WaitGroup
	for _, item := range items {
		wg.Add(1)
		sem <- struct{}{} // acquire
		go func(it string) {
			defer wg.Done()
			defer func() { <-sem }() // release
			handle(it)
		}(item)
	}
	wg.Wait()
}","func processAll(items []string) {
	for _, item := range items {
		go func(it string) {
			// no concurrency limit
			// may spawn thousands of goroutines
			handle(it)
		}(item)
	}
	// no WaitGroup either
	// function returns before work completes
}",High,https://pkg.go.dev/golang.org/x/sync/semaphore
17,Pub Sub,"pubsub, publish, subscribe, broadcast, channel","A publish/subscribe system uses channels to broadcast messages from publishers to multiple subscribers, decoupling producers from consumers.","Use a mutex-protected subscriber registry; close or remove subscriber channels on unsubscribe; use non-blocking sends or buffered channels to avoid slow subscribers blocking publishers.","Do not send on a closed subscriber channel; do not let a slow subscriber block all other subscribers; do not forget to unsubscribe to avoid goroutine leaks.","type PubSub struct {
	mu   sync.RWMutex
	subs map[string][]chan string
}

func (ps *PubSub) Subscribe(topic string) <-chan string {
	ps.mu.Lock()
	defer ps.mu.Unlock()
	ch := make(chan string, 16)
	ps.subs[topic] = append(ps.subs[topic], ch)
	return ch
}

func (ps *PubSub) Publish(topic, msg string) {
	ps.mu.RLock()
	defer ps.mu.RUnlock()
	for _, ch := range ps.subs[topic] {
		select {
		case ch <- msg:
		default: // drop if subscriber is slow
		}
	}
}","type PubSub struct {
	subs map[string][]chan string // no mutex: data race
}

func (ps *PubSub) Subscribe(topic string) <-chan string {
	ch := make(chan string) // unbuffered
	ps.subs[topic] = append(ps.subs[topic], ch)
	return ch
}

func (ps *PubSub) Publish(topic, msg string) {
	for _, ch := range ps.subs[topic] {
		ch <- msg // blocks if any subscriber is slow
	}
}",Medium,https://go.dev/doc/effective_go#channels
18,Rate Limiting,"rate, limit, ticker, throttle, time.Ticker","Rate limiting controls how frequently operations are performed using time.Ticker or the x/time/rate package to prevent overwhelming downstream services.","Use time.NewTicker for fixed-rate limiting; use rate.NewLimiter from x/time/rate for token-bucket limiting with burst support; always stop tickers when done.","Do not use time.Sleep in a loop for rate limiting as it does not account for work duration; do not forget to stop the ticker to avoid resource leaks.","func rateLimitedProcess(ctx context.Context, items []string) {
	limiter := rate.NewLimiter(rate.Every(100*time.Millisecond), 5)
	for _, item := range items {
		if err := limiter.Wait(ctx); err != nil {
			return
		}
		process(item)
	}
}

func tickerBased(ctx context.Context, items <-chan string) {
	ticker := time.NewTicker(100 * time.Millisecond)
	defer ticker.Stop()
	for item := range items {
		select {
		case <-ticker.C:
			process(item)
		case <-ctx.Done():
			return
		}
	}
}","func processAll(items []string) {
	for _, item := range items {
		go process(item) // no rate limiting
		// hammers downstream service
	}
}

func badRateLimit(items []string) {
	for _, item := range items {
		time.Sleep(100 * time.Millisecond)
		process(item)
		// sleep does not account for process duration
	}
}",Medium,https://pkg.go.dev/golang.org/x/time/rate
19,Timeout Pattern,"timeout, time.After, select, deadline","Using select with time.After or context.WithTimeout prevents goroutines from blocking indefinitely on channel operations or long-running tasks.","Use context.WithTimeout for most timeout needs; use select with time.After for simple one-off timeouts; prefer context over raw timers for propagation.","Do not use time.After in a loop as it creates a new timer each iteration that is not garbage collected until it fires; use time.NewTimer and reset it instead.","func queryWithTimeout(ctx context.Context) (string, error) {
	ctx, cancel := context.WithTimeout(ctx, 3*time.Second)
	defer cancel()
	ch := make(chan string, 1)
	go func() {
		result := slowQuery()
		ch <- result
	}()
	select {
	case result := <-ch:
		return result, nil
	case <-ctx.Done():
		return """", ctx.Err()
	}
}","func queryWithTimeout() (string, error) {
	ch := make(chan string)
	go func() {
		result := slowQuery()
		ch <- result // leaks if timeout fires first
	}()
	select {
	case result := <-ch:
		return result, nil
	case <-time.After(3 * time.Second):
		return """", errors.New(""timeout"")
		// goroutine leaks: blocked on unbuffered ch
	}
}",Critical,https://pkg.go.dev/context#WithTimeout
20,Graceful Shutdown,"shutdown, signal, os.Signal, interrupt, SIGTERM","Graceful shutdown listens for OS termination signals and uses context cancellation to stop all goroutines cleanly before the process exits.","Use signal.NotifyContext or signal.Notify to catch SIGINT/SIGTERM; cancel a root context to propagate shutdown; use a timeout to force exit if cleanup takes too long.","Do not call os.Exit directly without cleaning up resources; do not ignore the second signal which should force an immediate exit.","func main() {
	ctx, stop := signal.NotifyContext(context.Background(), os.Interrupt, syscall.SIGTERM)
	defer stop()
	srv := &http.Server{Addr: "":8080""}
	go func() {
		if err := srv.ListenAndServe(); err != http.ErrServerClosed {
			log.Fatal(err)
		}
	}()
	<-ctx.Done()
	shutdownCtx, cancel := context.WithTimeout(context.Background(), 10*time.Second)
	defer cancel()
	if err := srv.Shutdown(shutdownCtx); err != nil {
		log.Fatal(err)
	}
}","func main() {
	srv := &http.Server{Addr: "":8080""}
	log.Fatal(srv.ListenAndServe())
	// os.Exit from log.Fatal
	// no signal handling
	// no graceful shutdown
	// connections dropped abruptly
}",Critical,https://pkg.go.dev/os/signal#NotifyContext
21,Channel Closing Rules,"close, channel, sender, receiver, panic","Only the sender should close a channel, never the receiver; closing a channel signals to all receivers that no more values will be sent.","Close channels from the sender side only; use sync.Once or a dedicated goroutine to ensure a channel is closed exactly once; use the comma-ok idiom to detect closed channels.","Do not close a channel from the receiver side; do not close a channel more than once; do not send on a closed channel as it panics.","func produce(items []int) <-chan int {
	ch := make(chan int)
	go func() {
		defer close(ch) // sender closes
		for _, item := range items {
			ch <- item
		}
	}()
	return ch
}

func consume(ch <-chan int) {
	for val := range ch {
		fmt.Println(val)
	}
	// range exits when channel is closed
}","func produce(items []int) chan int {
	ch := make(chan int)
	go func() {
		for _, item := range items {
			ch <- item
		}
		// forgot to close: receivers block forever
	}()
	return ch
}

func consume(ch chan int) {
	go func() {
		for val := range ch {
			fmt.Println(val)
		}
	}()
	close(ch) // receiver closes: panic if sender writes
}",Critical,https://go.dev/ref/spec#Close
22,Goroutine Leak Detection,"goleak, leak, testing, goroutine","The go.uber.org/goleak package detects goroutine leaks in tests by verifying that no unexpected goroutines remain after a test completes.","Use goleak.VerifyNone in tests to catch goroutine leaks; run it at the end of each test or as a TestMain wrapper for the whole package.","Do not ignore goroutine leak test failures; do not skip goleak checks in tests that launch goroutines; do not filter out leaked goroutines without investigation.","func TestNoLeak(t *testing.T) {
	defer goleak.VerifyNone(t)
	ctx, cancel := context.WithCancel(context.Background())
	ch := make(chan int)
	go func() {
		defer close(ch)
		for {
			select {
			case ch <- 1:
			case <-ctx.Done():
				return
			}
		}
	}()
	<-ch
	cancel()
}","func TestLeaky(t *testing.T) {
	ch := make(chan int)
	go func() {
		for {
			ch <- 1 // no way to stop this goroutine
		}
	}()
	<-ch
	// test passes but goroutine leaks
	// no goleak check to catch it
}",High,https://pkg.go.dev/go.uber.org/goleak
23,Singleflight,"singleflight, dedup, cache, concurrent","The singleflight package deduplicates concurrent function calls so that only one execution occurs for a given key, and all callers share the result.","Use singleflight.Group.Do to deduplicate cache fills, database queries, or API calls that multiple goroutines request simultaneously with the same key.","Do not use singleflight for operations with side effects that must execute per caller; do not cache the singleflight.Group in a way that prevents garbage collection.","var group singleflight.Group

func getUser(id string) (*User, error) {
	val, err, _ := group.Do(id, func() (interface{}, error) {
		// only one goroutine fetches per id
		return db.QueryUser(id)
	})
	if err != nil {
		return nil, err
	}
	return val.(*User), nil
}","func getUser(id string) (*User, error) {
	// 100 goroutines call this concurrently
	// all 100 hit the database
	// no deduplication
	return db.QueryUser(id)
}

// wastes database resources
// causes unnecessary load",Medium,https://pkg.go.dev/golang.org/x/sync/singleflight
24,Bounded Concurrency,"bounded, concurrency, limit, semaphore, pool","Bounded concurrency limits the number of goroutines running simultaneously to prevent resource exhaustion using semaphores, worker pools, or errgroup.SetLimit.","Use errgroup with SetLimit, a semaphore channel, or a fixed worker pool to bound the number of concurrent goroutines to a sensible limit.","Do not launch one goroutine per item in an unbounded collection; do not rely on the runtime scheduler to handle thousands of goroutines performing IO.","func processItems(ctx context.Context, items []string) error {
	g, ctx := errgroup.WithContext(ctx)
	g.SetLimit(10) // at most 10 concurrent goroutines
	for _, item := range items {
		item := item
		g.Go(func() error {
			return process(ctx, item)
		})
	}
	return g.Wait()
}","func processItems(items []string) {
	for _, item := range items {
		go func(it string) {
			// unbounded: may launch millions
			// of goroutines
			processBlocking(it)
		}(item)
	}
	// no wait, no limit, no error handling
}",High,https://pkg.go.dev/golang.org/x/sync/errgroup#Group.SetLimit
25,Done Channel,"done, channel, signal, completion, close","A done channel is a channel of empty structs used purely for signaling completion or cancellation; closing it broadcasts the signal to all listeners simultaneously.","Use chan struct{} for done channels; close the channel to broadcast the signal; select on the done channel alongside other operations for cancellation.","Do not send a value on the done channel instead of closing it as that only signals one listener; do not use chan bool when no data needs to be transmitted.","func worker(done <-chan struct{}, tasks <-chan int) {
	for {
		select {
		case <-done:
			fmt.Println(""shutting down"")
			return
		case task, ok := <-tasks:
			if !ok {
				return
			}
			fmt.Println(""processing"", task)
		}
	}
}

func main() {
	done := make(chan struct{})
	tasks := make(chan int, 10)
	go worker(done, tasks)
	tasks <- 1
	tasks <- 2
	close(done) // broadcasts to all workers
}","func worker(done chan bool, tasks <-chan int) {
	for {
		select {
		case <-done:
			return
		case task := <-tasks:
			fmt.Println(""processing"", task)
		}
	}
}

func main() {
	done := make(chan bool)
	tasks := make(chan int)
	go worker(done, tasks)
	go worker(done, tasks)
	done <- true // only signals ONE worker
	// second worker still running: leak
}",Medium,https://go.dev/doc/effective_go#channels
